file,class,method,ATFD,ATLD,LAA,FDP
C:\Users\sugii syuji\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\jdk8\OptionalTest3.java,com.alibaba.json.bvt.jdk8.OptionalTest3$UserExt,"getValue/0[]",0.0,1.0,1.0,0.0
C:\Users\sugii syuji\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\jdk8\OptionalTest3.java,com.alibaba.json.bvt.jdk8.OptionalTest3$UserExt,"setValue/1[java.util.Optional]",0.0,1.0,1.0,0.0
C:\Users\sugii syuji\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\serializer\JSONFieldTest_unwrapped_2.java,com.alibaba.json.bvt.serializer.JSONFieldTest_unwrapped_2$VO,"setProperty/2[java.lang.String, java.lang.Object]",0.0,0.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\issue_3300\Issue3344.java,com.alibaba.json.bvt.issue_3300.Issue3344,"test_for_issue_timeZone/0[]",4.0,0.0,0.0,2.0
C:\Users\sugii syuji\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\JSONTypeTest1.java,com.alibaba.json.bvt.JSONTypeTest1$A,"getF1/0[]",0.0,1.0,1.0,0.0
C:\Users\sugii syuji\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\JSONTypeTest1.java,com.alibaba.json.bvt.JSONTypeTest1$A,"getF2/0[]",0.0,1.0,1.0,0.0
C:\Users\sugii syuji\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\JSONTypeTest1.java,com.alibaba.json.bvt.JSONTypeTest1$A,"getF3/0[]",0.0,1.0,1.0,0.0
C:\Users\sugii syuji\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\JSONTypeTest1.java,com.alibaba.json.bvt.JSONTypeTest1$A,"setF1/1[int]",0.0,1.0,1.0,0.0
C:\Users\sugii syuji\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\JSONTypeTest1.java,com.alibaba.json.bvt.JSONTypeTest1$A,"setF2/1[int]",0.0,1.0,1.0,0.0
C:\Users\sugii syuji\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\JSONTypeTest1.java,com.alibaba.json.bvt.JSONTypeTest1$A,"setF3/1[int]",0.0,1.0,1.0,0.0
C:\Users\sugii syuji\gitProject\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath$RlikeSegement,"apply/4[com.alibaba.fastjson.JSONPath, java.lang.Object, java.lang.Object, java.lang.Object]",1.0,1.0,0.5,1.0
C:\Users\sugii syuji\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\issue_1400\Issue1429.java,com.alibaba.json.bvt.issue_1400.Issue1429,"test_for_issue/0[]",8.0,0.0,0.0,2.0
C:\Users\sugii syuji\gitProject\fastjson\src\test\java\data\media\writeAsArray\MediaContentSerializer.java,data.media.writeAsArray.MediaContentSerializer,"write/5[com.alibaba.fastjson.serializer.JSONSerializer, java.lang.Object, java.lang.Object, java.lang.reflect.Type, int]",6.0,0.0,0.0,4.0
