file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\RegularImmutableMultiset.java,com.google.common.collect.RegularImmutableMultiset.SerializedForm,0.0,-1.0,2.0,2.0,0.5,-1.0,1.0,innerclass,1,0,6,1.0,0.16666667,23,0,6,0,3,2,4
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap.InverseEntrySet,0.0,0.33333334,8.0,1.0,0.11111111,-1.0,2.0,innerclass,4,0,8,0.0,0.0,32,0,7,0,0,4,8
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\TreeTraverser.java,com.google.common.collect.TreeTraverser.3,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,3,,0.0,5,0,1,0,0,1,1
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\RegularImmutableMultiset.java,com.google.common.collect.RegularImmutableMultiset.ElementSet,0.0,0.75,1.0,0.0,0.0,-1.0,1.0,innerclass,5,0,6,0.0,0.0,14,0,3,0,0,4,4
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap.View,0.0,0.0,28.0,0.0,0.0,-1.0,2.0,innerclass,3,0,5,0.1,0.4,51,0,1,0,1,5,5
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\RegularImmutableMap.java,com.google.common.collect.RegularImmutableMap.KeysOrValuesAsList,0.0,0.33333334,0.0,4.0,1.0,-1.0,0.0,innerclass,4,0,2,0.5,0.41666666,20,0,1,0,3,4,4
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap.EntryForValue,0.0,0.75,7.0,13.0,0.65,-1.0,1.0,innerclass,2,0,6,1.0,0.2,34,0,5,0,3,5,11
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\ObjectCountLinkedHashMap.java,com.google.common.collect.ObjectCountLinkedHashMap,0.0,0.53333336,1.0,43.0,0.97727275,-1.0,1.0,class,2,3,6,0.16483517,0.68421054,97,0,20,0,4,19,26
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap.ValueSet,0.0,0.33333334,2.0,0.0,0.0,-1.0,1.0,innerclass,4,0,6,0.0,0.0,22,0,4,0,0,4,5
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap.EntrySet,0.0,0.33333334,8.0,0.0,0.0,-1.0,2.0,innerclass,4,0,8,0.0,0.0,32,0,7,0,0,4,8
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\ObjectCountHashMap.java,com.google.common.collect.ObjectCountHashMap.MapEntry,0.0,0.0,4.0,13.0,0.7647059,-1.0,1.0,innerclass,2,0,6,1.0,0.2,32,0,5,0,2,5,10
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\RegularImmutableMap.java,com.google.common.collect.RegularImmutableMap.EntrySet,0.0,0.8333333,3.0,7.0,0.7,-1.0,2.0,innerclass,4,0,7,0.14285715,0.78571427,50,0,7,0,4,7,8
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\util\concurrent\AtomicLongMap.java,com.google.common.util.concurrent.AtomicLongMap.1,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,anonymous,1,0,0,,0.0,5,0,1,0,0,1,1
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\ImmutableCollection.java,com.google.common.collect.ImmutableCollection.ArrayBasedBuilder,0.0,0.6,3.0,20.0,0.8695652,-1.0,2.0,innerclass,2,0,8,0.6,0.44444442,49,0,12,0,3,6,10
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\ObjectCountHashMap.java,com.google.common.collect.ObjectCountHashMap,0.0,-1.0,10.0,116.0,0.9206349,-1.0,3.0,class,2,12,14,0.64615387,0.8020409,324,0,37,1,14,35,67
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\RegularImmutableMap.java,com.google.common.collect.RegularImmutableMap.EntrySet.1,0.0,0.33333334,6.0,0.0,0.0,-1.0,1.0,anonymous,1,0,3,0.0,0.0,14,0,1,0,0,3,3
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\ImmutableList.java,com.google.common.collect.ImmutableList.Itr,1.0,1.0,1.0,0.0,0.0,0.0,1.0,innerclass,4,0,3,1.0,0.0,10,0,2,0,1,2,2
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap.View.1,0.0,-1.0,7.0,16.0,0.6956522,-1.0,1.0,anonymous,1,0,5,1.0,0.4375,35,0,5,0,4,4,10
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap.EntryForKey,0.0,0.75,7.0,13.0,0.65,-1.0,1.0,innerclass,2,0,6,1.0,0.2,32,0,5,0,2,5,11
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\AbstractMapBasedMultiset.java,com.google.common.collect.AbstractMapBasedMultiset.Itr,0.0,-1.0,3.0,14.0,0.8235294,-1.0,2.0,innerclass,1,0,4,1.0,0.4666667,32,0,8,0,3,5,9
C:\Users\sugii syuji\gitProject\guava\android\guava-testlib\test\com\google\common\testing\NullPointerTesterTest.java,com.google.common.testing.NullPointerTesterTest.TwoArg.Action.2,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,1,,0.0,5,0,0,0,0,1,1
C:\Users\sugii syuji\gitProject\guava\android\guava-testlib\test\com\google\common\testing\NullPointerTesterTest.java,com.google.common.testing.NullPointerTesterTest.TwoArg.Action.1,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,0,,0.0,5,0,0,0,0,1,1
C:\Users\sugii syuji\gitProject\guava\android\guava-tests\benchmark\com\google\common\collect\MapsMemoryBenchmark.java,com.google.common.collect.MapsMemoryBenchmark,0.0,-1.0,3.0,8.0,0.72727275,-1.0,3.0,class,1,0,10,1.0,0.60714287,35,0,17,0,7,4,7
C:\Users\sugii syuji\gitProject\guava\android\guava-tests\test\com\google\common\collect\ImmutableMapTest.java,com.google.common.collect.ImmutableMapTest.CreationTests.1,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,anonymous,1,0,0,0.0,0.0,8,0,0,0,0,2,2
