file,class,method,ATFD,ATLD,LAA,FDP,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\RegularImmutableMap.java,com.google.common.collect.RegularImmutableMap.EntrySet.1,get/1[int],5.0,0.0,0.0,1.0,0,20,1,6,1,2,1,0,0,0
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap.EntrySet,contains/1[java.lang.Object],4.0,0.0,0.0,2.0,0,2,2,10,2,4,1,0,0,0
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap.EntrySet,forEntry/1[int],0.0,0.0,-1.0,0.0,0,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap.EntrySet,remove/1[java.lang.Object],4.0,0.0,0.0,2.0,0,4,4,14,2,5,1,0,0,0
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\ImmutableList.java,com.google.common.collect.ImmutableList.Itr,get/1[int],1.0,0.0,0.0,1.0,0,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\RegularImmutableMap.java,com.google.common.collect.RegularImmutableMap.KeysOrValuesAsList,get/1[int],0.0,3.0,1.0,0.0,0,1,1,4,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap.View,forEntry/1[int],0.0,0.0,-1.0,0.0,0,0,1,1,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\ObjectCountLinkedHashMap.java,com.google.common.collect.ObjectCountLinkedHashMap,createWithExpectedSize/1[int],0.0,0.0,-1.0,0.0,0,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\ObjectCountLinkedHashMap.java,com.google.common.collect.ObjectCountLinkedHashMap,getPredecessor/1[int],0.0,1.0,1.0,0.0,0,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\guava\android\guava\src\com\google\common\collect\ObjectCountLinkedHashMap.java,com.google.common.collect.ObjectCountLinkedHashMap,getSuccessor/1[int],0.0,1.0,1.0,0.0,0,0,1,3,1,0,1,0,0,0
