file,class,method,variable,usage
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Matz.java,com.github.javafaker.Matz,Matz/1[com.github.javafaker.Faker],faker,3
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Matz.java,com.github.javafaker.Matz,quote/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Color.java,com.github.javafaker.Color,Color/1[com.github.javafaker.Faker],faker,3
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Color.java,com.github.javafaker.Color,name/0,faker,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Color.java,com.github.javafaker.Color,hex/1[boolean],faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,parent/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,any/0,faker,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,direct/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,spouse/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,extended/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,inLaw/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,Relationships/1[com.github.javafaker.Faker],faker,3
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,sibling/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\HarryPotter.java,com.github.javafaker.HarryPotter,location/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\HarryPotter.java,com.github.javafaker.HarryPotter,house/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\HarryPotter.java,com.github.javafaker.HarryPotter,book/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\HarryPotter.java,com.github.javafaker.HarryPotter,character/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\HarryPotter.java,com.github.javafaker.HarryPotter,spell/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\HarryPotter.java,com.github.javafaker.HarryPotter,HarryPotter/1[com.github.javafaker.Faker],faker,3
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\HarryPotter.java,com.github.javafaker.HarryPotter,quote/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Aviation.java,com.github.javafaker.Aviation,airport/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Aviation.java,com.github.javafaker.Aviation,Aviation/1[com.github.javafaker.Faker],faker,3
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Aviation.java,com.github.javafaker.Aviation,METAR/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Aviation.java,com.github.javafaker.Aviation,aircraft/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Educator.java,com.github.javafaker.Educator,university/0,faker,4
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Educator.java,com.github.javafaker.Educator,course/0,faker,4
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Educator.java,com.github.javafaker.Educator,secondarySchool/0,faker,4
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Educator.java,com.github.javafaker.Educator,campus/0,faker,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Educator.java,com.github.javafaker.Educator,Educator/1[com.github.javafaker.Faker],faker,3
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Animal.java,com.github.javafaker.Animal,Animal/1[com.github.javafaker.Faker],faker,3
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Animal.java,com.github.javafaker.Animal,name/0,faker,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\IdNumber.java,com.github.javafaker.IdNumber,validSvSeSsn/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\IdNumber.java,com.github.javafaker.IdNumber,ssnValid/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\IdNumber.java,com.github.javafaker.IdNumber,invalid/0,faker,3
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\IdNumber.java,com.github.javafaker.IdNumber,IdNumber/1[com.github.javafaker.Faker],faker,3
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\IdNumber.java,com.github.javafaker.IdNumber,valid/0,faker,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\IdNumber.java,com.github.javafaker.IdNumber,invalidSvSeSsn/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Music.java,com.github.javafaker.Music,chord/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Music.java,com.github.javafaker.Music,chord/0,CHORD_TYPES,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Music.java,com.github.javafaker.Music,genre/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Music.java,com.github.javafaker.Music,instrument/0,faker,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Music.java,com.github.javafaker.Music,key/0,faker,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Music.java,com.github.javafaker.Music,key/0,KEY_VARIANTS,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Music.java,com.github.javafaker.Music,key/0,KEYS,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Music.java,com.github.javafaker.Music,Music/1[com.github.javafaker.Faker],faker,3
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Options.java,com.github.javafaker.Options,Options/1[com.github.javafaker.Faker],faker,3
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Options.java,com.github.javafaker.Options,option/1[java.lang.Class<E>],faker,1
