file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\LebowskiTest.java,com.github.javafaker.LebowskiTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\RockBandTest.java,com.github.javafaker.RockBandTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\service\FakeValuesGrouping.java,com.github.javafaker.service.FakeValuesGrouping,0.0,-1.0,2.0,1.0,0.33333334,-1.0,1.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\NameTest.java,com.github.javafaker.NameTest,1.0,0.0,0.0,2.0,1.0,1.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\service\FakeValuesService.java,com.github.javafaker.service.FakeValuesService,0.0,-1.0,38.0,1.0,0.025641026,-1.0,13.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\NumberTest.java,com.github.javafaker.NumberTest$2,0.0,0.0,2.0,0.0,0.0,-1.0,1.0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Superhero.java,com.github.javafaker.Superhero,0.0,-1.0,0.0,5.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\NumberTest.java,com.github.javafaker.NumberTest,1.0,0.0,15.0,14.0,0.4827586,0.0,4.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\service\FakeValuesGroupingTest.java,com.github.javafaker.service.FakeValuesGroupingTest,0.0,-1.0,11.0,3.0,0.21428572,-1.0,3.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\CryptoTest.java,com.github.javafaker.CryptoTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\AvatarTest.java,com.github.javafaker.AvatarTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\SlackEmoji.java,com.github.javafaker.SlackEmoji,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\GameOfThronesTest.java,com.github.javafaker.GameOfThronesTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\EducatorTest.java,com.github.javafaker.EducatorTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\CommerceTest.java,com.github.javafaker.CommerceTest,1.0,0.0,0.0,6.0,1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\BookTest.java,com.github.javafaker.BookTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\IdNumberTest.java,com.github.javafaker.IdNumberTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\service\FakeValuesServiceTest.java,com.github.javafaker.service.FakeValuesServiceTest$DummyService,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Finance.java,com.github.javafaker.Finance,0.0,-1.0,5.0,1.0,0.16666667,-1.0,4.0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\AquaTeenHungerForce.java,com.github.javafaker.AquaTeenHungerForce,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\ProgrammingLanguageTest.java,com.github.javafaker.ProgrammingLanguageTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\AviationTest.java,com.github.javafaker.AviationTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\BeerTest.java,com.github.javafaker.BeerTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Number.java,com.github.javafaker.Number,0.0,-1.0,6.0,0.0,0.0,-1.0,1.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\AncientTest.java,com.github.javafaker.AncientTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\LordOfTheRings.java,com.github.javafaker.LordOfTheRings,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Hobbit.java,com.github.javafaker.Hobbit,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\BusinessTest.java,com.github.javafaker.BusinessTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\CatTest.java,com.github.javafaker.CatTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\HowIMetYourMother.java,com.github.javafaker.HowIMetYourMother,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\NumberTest.java,com.github.javafaker.NumberTest$3$1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\integration\Issue194SlashFormatRegexIT.java,com.github.javafaker.integration.Issue194SlashFormatRegexIT,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\RelationshipTest.java,com.github.javafaker.RelationshipTest,1.0,0.083333336,5.0,5.0,0.5,0.0,2.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\HarryPotterTest.java,com.github.javafaker.HarryPotterTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,0.0,-1.0,8.0,1.0,0.11111111,-1.0,4.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\LeagueOfLegendsTest.java,com.github.javafaker.LeagueOfLegendsTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\FileTest.java,com.github.javafaker.FileTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\ColorTest.java,com.github.javafaker.ColorTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Crypto.java,com.github.javafaker.Crypto,0.0,-1.0,2.0,0.0,0.0,-1.0,2.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\StarTrekTest.java,com.github.javafaker.StarTrekTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\YodaTest.java,com.github.javafaker.YodaTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\service\RandomService.java,com.github.javafaker.service.RandomService,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\FunnyNameTest.java,com.github.javafaker.FunnyNameTest,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\HarryPotter.java,com.github.javafaker.HarryPotter,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Color.java,com.github.javafaker.Color,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Medical.java,com.github.javafaker.Medical,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0
