file,class,method,variable,usage
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Matz.java,com.github.javafaker.Matz,Matz/1[com.github.javafaker.Faker],faker,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Color.java,com.github.javafaker.Color,Color/1[com.github.javafaker.Faker],faker,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Color.java,com.github.javafaker.Color,hex/1[boolean],hexString,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Color.java,com.github.javafaker.Color,hex/1[boolean],includeHashSign,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,any/0,relationships,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,any/0,e,7
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,any/0,methods,4
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,any/0,runMethod,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,any/0,indx,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,any/0,currentMethod,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,Relationships/1[com.github.javafaker.Faker],faker,2
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\repeating\RepeatRule.java,com.github.javafaker.repeating.RepeatRule,"apply/2[com.github.javafaker.repeating.Statement,com.github.javafaker.repeating.Description]",result,2
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\repeating\RepeatRule.java,com.github.javafaker.repeating.RepeatRule,"apply/2[com.github.javafaker.repeating.Statement,com.github.javafaker.repeating.Description]",times,2
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\repeating\RepeatRule.java,com.github.javafaker.repeating.RepeatRule,"apply/2[com.github.javafaker.repeating.Statement,com.github.javafaker.repeating.Description]",repeat,2
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\repeating\RepeatRule.java,com.github.javafaker.repeating.RepeatRule,"apply/2[com.github.javafaker.repeating.Statement,com.github.javafaker.repeating.Description]",statement,2
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\repeating\RepeatRule.java,com.github.javafaker.repeating.RepeatRule,"apply/2[com.github.javafaker.repeating.Statement,com.github.javafaker.repeating.Description]",description,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\HarryPotter.java,com.github.javafaker.HarryPotter,HarryPotter/1[com.github.javafaker.Faker],faker,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Aviation.java,com.github.javafaker.Aviation,Aviation/1[com.github.javafaker.Faker],faker,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Educator.java,com.github.javafaker.Educator,Educator/1[com.github.javafaker.Faker],faker,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Animal.java,com.github.javafaker.Animal,Animal/1[com.github.javafaker.Faker],faker,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\IdNumber.java,com.github.javafaker.IdNumber,validSvSeSsn/0,svSEIdNumber,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\IdNumber.java,com.github.javafaker.IdNumber,ssnValid/0,enIdNumber,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\IdNumber.java,com.github.javafaker.IdNumber,IdNumber/1[com.github.javafaker.Faker],faker,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\IdNumber.java,com.github.javafaker.IdNumber,invalidSvSeSsn/0,svSEIdNumber,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Music.java,com.github.javafaker.Music,Music/1[com.github.javafaker.Faker],faker,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Options.java,com.github.javafaker.Options,Options/1[com.github.javafaker.Faker],faker,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Options.java,com.github.javafaker.Options,option/1[java.lang.Class<E>],enumConstants,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Options.java,com.github.javafaker.Options,option/1[java.lang.Class<E>],enumeration,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Options.java,com.github.javafaker.Options,option/1[E[]],options,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Options.java,com.github.javafaker.Options,nextElement/1[java.util.List<E>],list,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Options.java,com.github.javafaker.Options,nextElement/1[E[]],array,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\PrincessBride.java,com.github.javafaker.PrincessBride,PrincessBride/1[com.github.javafaker.Faker],faker,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,macAddress/1[java.lang.String],prefixLength,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,macAddress/1[java.lang.String],prefix,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,macAddress/1[java.lang.String],tmp,3
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,macAddress/1[java.lang.String],i,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,macAddress/1[java.lang.String],out,5
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,"password/5[int,int,boolean,boolean,boolean]",special,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,"password/5[int,int,boolean,boolean,boolean]",password,3
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,"password/5[int,int,boolean,boolean,boolean]",minimumLength,3
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,"password/5[int,int,boolean,boolean,boolean]",maximumLength,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,"password/5[int,int,boolean,boolean,boolean]",includeUppercase,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,"password/5[int,int,boolean,boolean,boolean]",includeSpecial,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,"password/5[int,int,boolean,boolean,boolean]",i,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,"password/5[int,int,boolean,boolean,boolean]",includeDigit,2
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,safeEmailAddress/1[java.lang.String],localPart,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,"emailAddress/2[java.lang.String,java.lang.String]",localPart,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,"emailAddress/2[java.lang.String,java.lang.String]",domain,1
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,ipV6Address/0,tmp,6
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,ipV6Address/0,i,3
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Internet.java,com.github.javafaker.Internet,password/1[boolean],includeDigit,1
