file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\sugii syuji\gitProject\jenkins\test\src\test\java\jenkins\widgets\BuildListTableTest.java,jenkins.widgets.BuildListTableTest,class,9,9,0,9,1,1,0,20,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,31,0,0,0,0,0,12,4,15,2,11,0,0,0,0,39,1,0
C:\Users\sugii syuji\gitProject\jenkins\test\src\test\java\jenkins\model\JenkinsLocationConfigurationTest.java,JenkinsLocationConfigurationTest,class,14,14,0,14,7,1,0,40,0,0.61904764,0.0,0.0,7,0,6,1,0,0,6,0,0,0,3,0,1,2,0,0,0,0,0,92,0,0,0,1,0,34,0,28,1,34,1,1,0,4,93,1,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\test\java\hudson\util\AtomicFileWriterTest.java,hudson.util.AtomicFileWriterTest,class,10,11,1,10,15,1,0,36,5,0.6363637,0.5555556,1.0,11,2,10,1,0,0,10,0,0,0,6,3,1,2,0,3,1,0,17,96,2,0,0,3,0,13,10,20,5,19,1,0,0,0,114,1,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\hudson\model\UserPropertyDescriptor.java,hudson.model.UserPropertyDescriptor,class,3,22,19,3,4,2,16,0,6,0.0,0.0,0.0,4,0,2,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1025,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\test\java\hudson\util\ProcessTreeTest.java,hudson.util.ProcessTreeTest$ProcessCallableImpl,innerclass,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\test\java\hudson\PluginWrapperTest.java,hudson.PluginWrapperTest$Anonymous1,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,-1,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\hudson\Functions.java,hudson.Functions$ThreadGroupMap,innerclass,1,1,0,1,3,2,0,5,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,11,2,0,1,0,0,0,2,3,0,2,1,0,0,0,23,9,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\hudson\slaves\NodeProperty.java,hudson.slaves.NodeProperty,class,21,33,12,21,10,1,0,9,34,0.7777778,0.027777778,0.027777778,9,2,8,0,1,0,9,0,0,0,1,0,0,0,1,0,0,0,2,31,7,0,1,0,0,0,0,1,0,1,0,1,0,0,214,1025,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\jenkins\model\DefaultUserCanonicalIdResolver.java,jenkins.model.DefaultUserCanonicalIdResolver$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,-1,0
C:\Users\sugii syuji\gitProject\jenkins\test\src\test\java\hudson\model\ParametersTest.java,hudson.model.ParametersTest,class,25,25,0,25,11,2,0,55,0,0.4375,1.0,1.0,8,0,8,0,0,0,8,0,0,0,2,0,2,0,0,0,0,0,3,171,0,0,3,0,13,132,8,62,4,57,1,0,1,0,104,1,0
C:\Users\sugii syuji\gitProject\jenkins\test\src\test\java\hudson\slaves\NodeProvisionerTest.java,hudson.slaves.NodeProvisionerTest,class,13,14,1,13,16,1,0,26,0,0.22222222,0.0,0.0,9,0,4,5,0,0,4,0,0,0,1,0,1,0,0,0,0,0,1,101,4,6,0,5,0,6,22,22,1,21,2,0,1,0,99,1,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\hudson\util\DOSToUnixPathHelper.java,hudson.util.DOSToUnixPathHelper$Helper,interface,0,0,0,0,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\hudson\scm\PollingResult.java,hudson.scm.PollingResult$Change,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1,0
C:\Users\sugii syuji\gitProject\jenkins\test\src\test\java\hudson\cli\WaitNodeOnlineCommandTest.java,hudson.cli.WaitNodeOnlineCommandTest$Anonymous2,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,2,0,1,0,1,0,0,0,0,11,-1,0
C:\Users\sugii syuji\gitProject\jenkins\test\src\test\java\hudson\cli\WaitNodeOnlineCommandTest.java,hudson.cli.WaitNodeOnlineCommandTest$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,2,0,1,0,1,0,0,0,0,11,-1,0
C:\Users\sugii syuji\gitProject\jenkins\core\src\main\java\hudson\model\PersistentDescriptor.java,hudson.model.PersistentDescriptor,interface,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0
