file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\sugii syuji\gitProject\jenkins\cli\src\main\java\hudson\cli\PrivateKeyProvider.java,hudson.cli.PrivateKeyProvider,0.0,-1.0,6.0,1.0,0.14285715,-1.0,6.0,class,1,4,4,0.2,0.7777778,66,0,32,0,2,9,18
C:\Users\sugii syuji\gitProject\jenkins\cli\src\test\java\hudson\cli\PrivateKeyProviderTest.java,hudson.cli.PrivateKeyProviderTest,0.0,-1.0,35.0,0.0,0.0,-1.0,7.0,class,1,1,4,0.0,0.0,55,0,10,0,0,11,11
C:\Users\sugii syuji\gitProject\jenkins\cli\src\test\java\hudson\cli\PlainCLIProtocolTest.java,hudson.cli.PlainCLIProtocolTest.1Server,14.0,0.7777778,1.0,2.0,0.6666667,0.0,1.0,innerclass,3,0,3,0.0,0.8999999,36,0,8,0,3,10,10
C:\Users\sugii syuji\gitProject\jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java,hudson.cli.PlainCLIProtocol.FramedOutput,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,innerclass,1,0,2,1.0,0.0,14,0,4,0,1,3,3
C:\Users\sugii syuji\gitProject\jenkins\cli\src\main\java\hudson\cli\FullDuplexHttpStream.java,hudson.cli.FullDuplexHttpStream,0.0,-1.0,3.0,2.0,0.4,-1.0,2.0,class,1,2,3,1.0,0.68,69,0,23,0,5,5,12
C:\Users\sugii syuji\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,0.0,-1.0,49.0,4.0,0.0754717,-1.0,21.0,class,8,4,21,0.0,0.93333334,378,0,85,5,2,15,80
C:\Users\sugii syuji\gitProject\jenkins\cli\src\main\java\hudson\cli\NoCheckTrustManager.java,hudson.cli.NoCheckTrustManager,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,class,1,1,1,0.0,0.0,9,0,0,0,0,3,3
C:\Users\sugii syuji\gitProject\jenkins\cli\src\test\java\hudson\cli\PlainCLIProtocolTest.java,hudson.cli.PlainCLIProtocolTest.1Client,11.0,0.6666667,1.0,1.0,0.5,0.0,1.0,innerclass,3,0,3,0.0,0.85714287,29,0,9,0,2,7,7
C:\Users\sugii syuji\gitProject\jenkins\cli\src\main\java\hudson\cli\SSHCLI.java,hudson.cli.SSHCLI.1,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,anonymous,1,0,1,,0.0,6,0,2,0,0,1,1
C:\Users\sugii syuji\gitProject\jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java,hudson.cli.PlainCLIProtocol.FramedReader,0.0,0.0,7.0,2.0,0.22222222,-1.0,2.0,innerclass,2,0,4,1.0,0.0,62,0,9,0,4,2,11
C:\Users\sugii syuji\gitProject\jenkins\cli\src\main\java\hudson\cli\FlightRecorderInputStream.java,hudson.cli.FlightRecorderInputStream.ByteArrayRingBuffer,0.0,0.0,0.0,33.0,1.0,-1.0,0.0,innerclass,2,0,2,1.0,0.125,46,0,3,0,3,4,10
C:\Users\sugii syuji\gitProject\jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java,hudson.cli.PlainCLIProtocol.ClientSide,8.0,0.1,10.0,0.0,0.0,0.375,1.0,innerclass,2,0,5,0.0,0.0,42,0,8,0,0,11,14
C:\Users\sugii syuji\gitProject\jenkins\cli\src\main\java\hudson\cli\SSHCLI.java,hudson.cli.SSHCLI,0.0,-1.0,23.0,0.0,0.0,-1.0,12.0,class,1,2,14,,0.0,62,0,37,0,0,3,7
C:\Users\sugii syuji\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI.1Authenticator,0.0,0.0,2.0,0.0,0.0,-1.0,1.0,innerclass,2,0,1,,0.0,7,0,2,0,0,1,2
C:\Users\sugii syuji\gitProject\jenkins\cli\src\test\java\hudson\cli\CLIConnectionFactoryTest.java,hudson.cli.CLIConnectionFactoryTest,0.0,-1.0,2.0,1.0,0.33333334,-1.0,1.0,class,1,0,3,1.0,0.0,12,0,3,0,1,3,3
C:\Users\sugii syuji\gitProject\jenkins\cli\src\main\java\hudson\cli\FlightRecorderInputStream.java,hudson.cli.FlightRecorderInputStream.1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,0,,0.0,13,0,3,0,0,1,4
C:\Users\sugii syuji\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI.NotTalkingToJenkinsException,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,innerclass,4,0,0,0.0,0.0,8,0,2,0,0,2,2
C:\Users\sugii syuji\gitProject\jenkins\cli\src\test\java\hudson\cli\PlainCLIProtocolTest.java,hudson.cli.PlainCLIProtocolTest,0.0,-1.0,9.0,0.0,0.0,-1.0,3.0,class,5,0,5,,0.0,96,0,8,2,0,1,4
C:\Users\sugii syuji\gitProject\jenkins\cli\src\main\java\hudson\cli\CLIConnectionFactory.java,hudson.cli.CLIConnectionFactory,0.0,-1.0,2.0,1.0,0.33333334,-1.0,2.0,class,1,3,1,1.0,0.0,16,0,5,0,1,4,4
