file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator$IndexEvaluator,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\nodes\TextNode.java,org.jsoup.nodes.TextNode,14.0,0.35714287,0.0,4.0,1.0,0.14285715,0.0
C:\Users\sugii syuji\gitProject\jsoup\src\test\java\org\jsoup\integration\ConnectTest.java,org.jsoup.integration.ConnectTest,0.0,-1.0,95.0,22.0,0.18803419,-1.0,21.0
C:\Users\sugii syuji\gitProject\jsoup\src\test\java\org\jsoup\parser\ParserSettingsTest.java,org.jsoup.parser.ParserSettingsTest,0.0,-1.0,5.0,0.0,0.0,-1.0,3.0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$33,0.0,1.0,0.0,2.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$29,0.0,1.0,0.0,7.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\parser\Token.java,org.jsoup.parser.Token$EOF,0.0,0.5,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\nodes\DataNode.java,org.jsoup.nodes.DataNode,14.0,0.625,0.0,1.0,1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\examples\HtmlToPlainText.java,org.jsoup.examples.HtmlToPlainText,0.0,-1.0,4.0,4.0,0.5,-1.0,2.0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$54,0.0,1.0,8.0,5.0,0.3846154,-1.0,2.0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$38,0.0,1.0,1.0,5.0,0.8333333,-1.0,1.0
