file,class,method,ATFD,ATLD,LAA,FDP,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\safety\Safelist.java,org.jsoup.safety.Safelist.TypedValue,equals/1[java.lang.Object],2.0,2.0,0.5,1.0,0,0,5,10,5,1,1,0,0,0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\parser\ParseSettings.java,org.jsoup.parser.ParseSettings,normalizeAttribute/1[java.lang.String],0.0,1.0,1.0,0.0,3,1,2,5,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\parser\ParseSettings.java,org.jsoup.parser.ParseSettings,normalizeAttributes/1[org.jsoup.nodes.Attributes],0.0,1.0,1.0,0.0,5,1,3,6,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\parser\ParseSettings.java,org.jsoup.parser.ParseSettings,normalizeTag/1[java.lang.String],0.0,1.0,1.0,0.0,6,1,2,5,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\jsoup\src\test\java\org\jsoup\TextUtil.java,org.jsoup.TextUtil,stripCRs/1[java.lang.String],0.0,0.0,-1.0,0.0,0,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\jsoup\src\test\java\org\jsoup\TextUtil.java,org.jsoup.TextUtil,stripNewlines/1[java.lang.String],0.0,0.0,-1.0,0.0,109,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\jsoup\src\test\java\org\jsoup\integration\servlets\Deflateservlet.java,org.jsoup.integration.servlets.Deflateservlet,main/1[java.lang.String[]],0.0,1.0,1.0,0.0,0,1,1,4,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\jsoup\src\test\java\org\jsoup\integration\ConnectTest.java,org.jsoup.integration.ConnectTest,fetchHandlesXml/1[java.lang.String],3.0,0.0,0.0,3.0,1,10,1,10,0,4,1,0,0,0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\examples\HtmlToPlainText.java,org.jsoup.examples.HtmlToPlainText.FormattingVisitor,append/1[java.lang.String],2.0,8.0,0.8,1.0,2,1,9,24,1,4,1,1,0,0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\nodes\Element.java,org.jsoup.nodes.Element,addClass/1[java.lang.String],0.0,0.0,-1.0,0.0,3,3,1,7,1,1,1,0,0,0
