file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\runner\notification\StoppedByUserException.java,org.junit.runner.notification.StoppedByUserException,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\rules\StopwatchTest.java,org.junit.rules.StopwatchTest$DurationAfterTestTest,2.0,0.5,3.0,0.0,0.0,0.0,1.0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\framework\JUnit4TestAdapterCache.java,junit.framework.JUnit4TestAdapterCache,0.0,0.0,6.0,1.0,0.14285715,-1.0,3.0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\tests\manipulation\FilterableTest.java,org.junit.tests.manipulation.FilterableTest$FilteredTest,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\rules\ExpectedExceptionTest.java,org.junit.rules.ExpectedExceptionTest$UseNoCustomMessage,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\runner\notification\ConcurrentRunNotifierTest.java,org.junit.runner.notification.ConcurrentRunNotifierTest$AbstractConcurrentFailuresTest,0.0,-1.0,10.0,0.0,0.0,-1.0,4.0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\rules\TestRuleTest.java,org.junit.rules.TestRuleTest$MethodMultipleRuleTest$Increment$1,0.0,1.0,1.0,0.0,0.0,-1.0,1.0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\tests\validation\AllValidationTests.java,org.junit.tests.validation.AllValidationTests,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\tests\experimental\theories\runner\SuccessfulWithDataPointFields.java,org.junit.tests.experimental.theories.runner.SuccessfulWithDataPointFields$HasATwoParameterTheory,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\tests\experimental\theories\runner\UnsuccessfulWithDataPointFields.java,org.junit.tests.experimental.theories.runner.UnsuccessfulWithDataPointFields$DataPointFieldsMustBeStatic,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\tests\running\methods\TestMethodTest.java,org.junit.tests.running.methods.TestMethodTest$OnlyTestIsIgnored,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\rules\MethodRulesTest.java,org.junit.rules.MethodRulesTest$UsesCustomMethodRule,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\runners\model\Statement.java,org.junit.runners.model.Statement,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
