file,class,method,variable,usage
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\runner\notification\RunNotifierTest.java,org.junit.runner.notification.RunNotifierTest,addAndRemoveWithNonThreadSafeListener/0,fNotifier,4
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\runner\notification\RunNotifierTest.java,org.junit.runner.notification.RunNotifierTest,addFirstAndRemoveWithThreadSafeListener/0,fNotifier,4
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\runner\notification\RunNotifierTest.java,org.junit.runner.notification.RunNotifierTest,hasNoProblemsWithFailingListeners/0,fNotifier,4
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\runner\notification\RunNotifierTest.java,org.junit.runner.notification.RunNotifierTest,addFirstAndRemoveWithNonThreadSafeListener/0,fNotifier,4
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\runner\notification\RunNotifierTest.java,org.junit.runner.notification.RunNotifierTest,addAndRemoveWithThreadSafeListener/0,fNotifier,4
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\runner\notification\RunNotifierTest.java,org.junit.runner.notification.RunNotifierTest,notifiesSecondListenerIfFirstThrowsException/0,fNotifier,3
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\validator\AnnotationsValidator.java,org.junit.validator.AnnotationsValidator$AnnotatableValidator,validateAnnotatable/1[T],ANNOTATION_VALIDATOR_FACTORY,1
C:\Users\sugii syuji\gitProject\junit4\src\test\java\junit\tests\extensions\RepeatedTestTest.java,junit.tests.extensions.RepeatedTestTest,RepeatedTestTest/1[java.lang.String],fSuite,3
C:\Users\sugii syuji\gitProject\junit4\src\test\java\junit\tests\extensions\RepeatedTestTest.java,junit.tests.extensions.RepeatedTestTest,testRepeatedOnce/0,fSuite,1
C:\Users\sugii syuji\gitProject\junit4\src\test\java\junit\tests\extensions\RepeatedTestTest.java,junit.tests.extensions.RepeatedTestTest,testRepeatedZero/0,fSuite,1
C:\Users\sugii syuji\gitProject\junit4\src\test\java\junit\tests\extensions\RepeatedTestTest.java,junit.tests.extensions.RepeatedTestTest,testRepeatedNegative/0,fSuite,1
C:\Users\sugii syuji\gitProject\junit4\src\test\java\junit\tests\extensions\RepeatedTestTest.java,junit.tests.extensions.RepeatedTestTest,testRepeatedMoreThanOnce/0,fSuite,1
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\framework\TestSuite.java,junit.framework.TestSuite,countTestCases/0,fTests,1
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\framework\TestSuite.java,junit.framework.TestSuite,testAt/1[int],fTests,1
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\framework\TestSuite.java,junit.framework.TestSuite,getName/0,fName,1
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\framework\TestSuite.java,junit.framework.TestSuite,setName/1[java.lang.String],fName,1
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\framework\TestSuite.java,junit.framework.TestSuite,addTest/1[junit.framework.Test],fTests,1
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\framework\TestSuite.java,junit.framework.TestSuite,testCount/0,fTests,1
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\framework\TestSuite.java,junit.framework.TestSuite,addTestsFromTestCase/1[java.lang.Class<?>],fName,1
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\framework\TestSuite.java,junit.framework.TestSuite,addTestsFromTestCase/1[java.lang.Class<?>],fTests,1
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\framework\TestSuite.java,junit.framework.TestSuite,run/1[junit.framework.TestResult],fTests,1
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\framework\TestSuite.java,junit.framework.TestSuite,tests/0,fTests,1
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\rules\ExpectedExceptionTest.java,org.junit.rules.ExpectedExceptionTest$ExpectsMatcher,throwsMore/0,thrown,1
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\rules\ExpectedExceptionTest.java,org.junit.rules.ExpectedExceptionTest$UseCustomMessageWithoutPlaceHolder,noThrow/0,thrown,2
