file,class,method,ATFD,ATLD,LAA,FDP,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\runner\notification\RunListener.java,org.junit.runner.notification.RunListener,testAssumptionFailure/1[org.junit.runner.notification.Failure],0.0,0.0,-1.0,0.0,2,0,1,2,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\runner\notification\RunListener.java,org.junit.runner.notification.RunListener,testFailure/1[org.junit.runner.notification.Failure],0.0,0.0,-1.0,0.0,3,0,1,2,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\runner\notification\RunListener.java,org.junit.runner.notification.RunListener,testFinished/1[org.junit.runner.Description],0.0,0.0,-1.0,0.0,2,0,1,2,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\runner\notification\RunListener.java,org.junit.runner.notification.RunListener,testIgnored/1[org.junit.runner.Description],0.0,0.0,-1.0,0.0,2,0,1,2,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\runner\notification\RunListener.java,org.junit.runner.notification.RunListener,testRunFinished/1[org.junit.runner.Result],0.0,0.0,-1.0,0.0,2,0,1,2,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\runner\notification\RunListener.java,org.junit.runner.notification.RunListener,testRunStarted/1[org.junit.runner.Description],0.0,0.0,-1.0,0.0,2,0,1,2,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\runner\notification\RunListener.java,org.junit.runner.notification.RunListener,testStarted/1[org.junit.runner.Description],0.0,0.0,-1.0,0.0,2,0,1,2,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\runner\notification\RunListener.java,org.junit.runner.notification.RunListener,testSuiteFinished/1[org.junit.runner.Description],0.0,0.0,-1.0,0.0,2,0,1,2,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\runner\notification\RunListener.java,org.junit.runner.notification.RunListener,testSuiteStarted/1[org.junit.runner.Description],0.0,0.0,-1.0,0.0,2,0,1,2,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\tests\experimental\AssumptionTest.java,org.junit.tests.experimental.AssumptionTest.2,testAssumptionFailure/1[org.junit.runner.notification.Failure],1.0,0.0,0.0,1.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\runners\Parameterized.java,org.junit.runners.Parameterized,validateBeforeParamAndAfterParamMethods/1[java.lang.Integer],4.0,0.0,0.0,4.0,1,4,2,8,0,1,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\experimental\categories\CategoryValidator.java,org.junit.experimental.categories.CategoryValidator,validateAnnotatedMethod/1[org.junit.runners.model.FrameworkMethod],1.0,1.0,0.5,1.0,2,2,4,12,1,2,1,2,0,0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\tests\experimental\theories\extendingwithstubs\Guesser.java,org.junit.tests.experimental.theories.extendingwithstubs.Guesser.GuessMap,getGuess/1[org.junit.tests.experimental.theories.extendingwithstubs.MethodCall],2.0,0.0,0.0,2.0,1,2,2,6,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\experimental\max\MaxCore.java,org.junit.experimental.max.MaxCore,buildRunner/1[org.junit.runner.Description],4.0,2.0,0.33333334,2.0,1,10,5,17,4,2,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\experimental\max\MaxCore.java,org.junit.experimental.max.MaxCore,findLeaves/1[org.junit.runner.Request],2.0,0.0,0.0,2.0,2,3,1,5,1,1,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\experimental\max\MaxCore.java,org.junit.experimental.max.MaxCore,forFolder/1[java.lang.String],0.0,0.0,-1.0,0.0,0,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\experimental\max\MaxCore.java,org.junit.experimental.max.MaxCore,getMalformedTestClass/1[org.junit.runner.Description],0.0,1.0,1.0,0.0,1,1,2,8,2,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\experimental\max\MaxCore.java,org.junit.experimental.max.MaxCore,run/1[org.junit.runner.Request],0.0,0.0,-1.0,0.0,9,2,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\experimental\max\MaxCore.java,org.junit.experimental.max.MaxCore,sortRequest/1[org.junit.runner.Request],0.0,0.0,-1.0,0.0,4,3,2,8,2,1,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\experimental\max\MaxCore.java,org.junit.experimental.max.MaxCore,sortedLeavesForTest/1[org.junit.runner.Request],0.0,0.0,-1.0,0.0,7,2,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\experimental\max\MaxCore.java,org.junit.experimental.max.MaxCore,storedLocally/1[java.io.File],0.0,0.0,-1.0,0.0,4,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\junit\tests\runner\TextFeedbackTest.java,junit.tests.runner.TextFeedbackTest.TestResultPrinter,elapsedTimeAsString/1[long],0.0,0.0,-1.0,0.0,0,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\tests\experimental\theories\runner\WithAutoGeneratedDataPoints.java,org.junit.tests.experimental.theories.runner.WithAutoGeneratedDataPoints.TheoryTestClassWithSpecificBooleanDataPoint,theory/1[boolean],0.0,0.0,-1.0,0.0,0,0,1,2,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\textui\ResultPrinter.java,junit.textui.ResultPrinter,elapsedTimeAsString/1[long],1.0,0.0,0.0,1.0,1,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\textui\ResultPrinter.java,junit.textui.ResultPrinter,endTest/1[junit.framework.Test],0.0,0.0,-1.0,0.0,0,0,1,2,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\textui\ResultPrinter.java,junit.textui.ResultPrinter,printDefectTrace/1[junit.framework.TestFailure],1.0,1.0,0.5,1.0,1,3,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\textui\ResultPrinter.java,junit.textui.ResultPrinter,printErrors/1[junit.framework.TestResult],0.0,0.0,-1.0,0.0,1,3,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\textui\ResultPrinter.java,junit.textui.ResultPrinter,printFailures/1[junit.framework.TestResult],0.0,0.0,-1.0,0.0,1,3,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\textui\ResultPrinter.java,junit.textui.ResultPrinter,printFooter/1[junit.framework.TestResult],0.0,7.0,1.0,0.0,1,5,3,13,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\textui\ResultPrinter.java,junit.textui.ResultPrinter,printHeader/1[long],0.0,2.0,1.0,0.0,1,2,1,4,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\junit\textui\ResultPrinter.java,junit.textui.ResultPrinter,startTest/1[junit.framework.Test],0.0,4.0,1.0,0.0,0,1,2,7,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\rules\Timeout.java,org.junit.rules.Timeout,createFailOnTimeoutStatement/1[org.junit.runners.model.Statement],0.0,3.0,1.0,0.0,1,4,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\rules\Timeout.java,org.junit.rules.Timeout,getTimeout/1[java.util.concurrent.TimeUnit],0.0,2.0,1.0,0.0,0,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\rules\Timeout.java,org.junit.rules.Timeout,millis/1[long],1.0,0.0,0.0,1.0,0,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\rules\Timeout.java,org.junit.rules.Timeout,seconds/1[long],1.0,0.0,0.0,1.0,0,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\tests\experimental\theories\internal\AllMembersSupplierTest.java,org.junit.tests.experimental.theories.internal.AllMembersSupplierTest.HasDataPointsWithObjectParameter,theory/1[java.lang.Object],0.0,0.0,-1.0,0.0,0,0,1,2,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\tests\experimental\theories\extendingwithstubs\StubbedTheories.java,org.junit.tests.experimental.theories.extendingwithstubs.StubbedTheories,methodBlock/1[org.junit.runners.model.FrameworkMethod],1.0,0.0,0.0,1.0,0,2,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\internal\Classes.java,org.junit.internal.Classes,getClass/1[java.lang.String],0.0,2.0,1.0,0.0,3,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\runner\Result.java,org.junit.runner.Result.SerializedForm,deserialize/1[java.io.ObjectInputStream],0.0,0.0,-1.0,0.0,1,1,1,4,1,1,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\runner\Result.java,org.junit.runner.Result.SerializedForm,serialize/1[java.io.ObjectOutputStream],0.0,6.0,1.0,0.0,1,0,1,10,0,1,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\internal\management\ManagementFactory.java,org.junit.internal.management.ManagementFactory.ThreadHolder,getBean/1[java.lang.Object],0.0,0.0,-1.0,0.0,0,2,2,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\tests\experimental\theories\runner\WithAutoGeneratedDataPoints.java,org.junit.tests.experimental.theories.runner.WithAutoGeneratedDataPoints.TheoryTestClassWithAutogeneratedParameterValues,theory/1[boolean],0.0,0.0,-1.0,0.0,0,0,1,2,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\runners\Parameterized.java,org.junit.runners.Parameterized.AssumptionViolationRunner,run/1[org.junit.runner.notification.RunNotifier],0.0,2.0,1.0,0.0,0,2,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\experimental\theories\Theories.java,org.junit.experimental.theories.Theories.TheoryAnchor,handleAssumptionViolation/1[org.junit.internal.AssumptionViolatedException],0.0,0.0,-1.0,0.0,1,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\experimental\theories\Theories.java,org.junit.experimental.theories.Theories.TheoryAnchor,runWithAssignment/1[org.junit.experimental.theories.internal.Assignments],0.0,0.0,-1.0,0.0,3,3,2,8,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\experimental\theories\Theories.java,org.junit.experimental.theories.Theories.TheoryAnchor,runWithCompleteAssignment/1[org.junit.experimental.theories.internal.Assignments],4.0,2.0,0.33333334,3.0,1,4,1,35,0,0,1,0,1,0
C:\Users\sugii syuji\gitProject\junit4\src\main\java\org\junit\experimental\theories\Theories.java,org.junit.experimental.theories.Theories.TheoryAnchor,runWithIncompleteAssignment/1[org.junit.experimental.theories.internal.Assignments],0.0,0.0,-1.0,0.0,1,3,2,5,0,0,1,1,0,0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\tests\assertion\AssertionTest.java,org.junit.tests.assertion.AssertionTest,throwingRunnable/1[java.lang.Throwable],0.0,0.0,-1.0,0.0,7,1,1,8,1,0,1,0,1,0
C:\Users\sugii syuji\gitProject\junit4\src\test\java\org\junit\tests\experimental\theories\runner\SuccessfulWithDataPointFields.java,org.junit.tests.experimental.theories.runner.SuccessfulWithDataPointFields.PositiveIntsWithMethodParams,haveAPostiveSquare/1[int],0.0,1.0,1.0,0.0,0,2,3,4,0,0,1,0,0,0
