file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\sugii syuji\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AsynchronousSound.java,com.badlogic.gdx.backends.android.AsynchronousSound.1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,0,,0.0,5,0,1,0,0,1,1
C:\Users\sugii syuji\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\surfaceview\GLSurfaceView20.java,com.badlogic.gdx.backends.android.surfaceview.GLSurfaceView20.1,0.0,0.0,10.0,0.0,0.0,-1.0,3.0,anonymous,1,0,3,,0.0,17,0,4,0,0,2,5
C:\Users\sugii syuji\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AndroidSound.java,com.badlogic.gdx.backends.android.AndroidSound,0.0,-1.0,10.0,5.0,0.33333334,-1.0,2.0,class,1,2,5,0.78431374,0.5138889,105,0,16,0,4,18,34
C:\Users\sugii syuji\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AndroidFileHandle.java,com.badlogic.gdx.backends.android.AndroidFileHandle,0.0,0.0,80.0,9.0,0.101123594,-1.0,8.0,class,2,4,14,0.5735294,0.23529412,212,1,35,0,1,17,54
C:\Users\sugii syuji\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AndroidZipFileHandle.java,com.badlogic.gdx.backends.android.AndroidZipFileHandle,0.0,0.85714287,39.0,22.0,0.36065573,-1.0,9.0,class,3,2,13,0.3956044,0.71875,134,0,20,0,4,16,39
C:\Users\sugii syuji\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AndroidFragmentApplication.java,com.badlogic.gdx.backends.android.AndroidFragmentApplication.2,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,1,,0.0,5,0,1,0,0,1,1
C:\Users\sugii syuji\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AndroidGraphics.java,com.badlogic.gdx.backends.android.AndroidGraphics.1,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,anonymous,1,0,1,,0.0,8,0,1,0,0,1,2
C:\Users\sugii syuji\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AndroidLiveWallpaperService.java,com.badlogic.gdx.backends.android.AndroidLiveWallpaperService,0.0,0.0,9.0,27.0,0.75,-1.0,6.0,class,3,4,12,0.4945055,0.84023666,328,0,15,1,13,13,26
C:\Users\sugii syuji\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AsynchronousSound.java,com.badlogic.gdx.backends.android.AsynchronousSound.4,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,0,,0.0,5,0,1,0,0,1,1
C:\Users\sugii syuji\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AndroidApplicationConfiguration.java,com.badlogic.gdx.backends.android.AndroidApplicationConfiguration,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,class,1,12,2,-1.0,,20,0,0,0,18,0,0
C:\Users\sugii syuji\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AndroidVisibilityListener.java,com.badlogic.gdx.backends.android.AndroidVisibilityListener.1,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,anonymous,1,0,1,,0.0,10,0,2,0,0,1,1
C:\Users\sugii syuji\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\DefaultAndroidInput.java,com.badlogic.gdx.backends.android.DefaultAndroidInput,0.0,0.0,235.0,161.0,0.40656567,-1.0,33.0,class,2,9,36,0.6335476,0.9556204,775,0,77,3,49,63,184
C:\Users\sugii syuji\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AsynchronousSound.java,com.badlogic.gdx.backends.android.AsynchronousSound.3,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,0,,0.0,5,0,1,0,0,1,1
