file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\matchers\RegexStringMatcherTest.java,org.mockserver.matchers.RegexStringMatcherTest,class,3,3,0,3,22,1,0,6,231,0.0,0.0,0.0,22,0,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,46,0,0,0,0,0,0,0,0,35,1,0
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\file\FileReader.java,org.mockserver.file.FileReader,class,3,14,11,3,8,1,0,14,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,32,5,0,1,2,0,3,0,4,2,3,2,0,0,0,38,1,0
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,class,12,12,0,12,10,3,0,20,0,0.0,1.0,1.0,10,0,10,0,0,0,10,0,0,0,1,0,0,1,0,0,1,0,0,108,0,0,0,0,0,21,0,22,0,22,0,0,2,0,61,1,0
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\serialization\model\HttpOverrideForwardedRequestDTO.java,org.mockserver.serialization.model.HttpOverrideForwardedRequestDTO,class,10,13,3,10,16,2,0,9,4,0.5555556,0.44444445,0.7777778,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,52,7,0,7,0,2,0,0,12,0,7,2,0,0,0,24,1,0
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\collections\nottablestring\hashmap\NottableStringHashMapContainAllTest.java,org.mockserver.collections.nottablestring.hashmap.NottableStringHashMapContainAllTest,class,6,7,1,6,62,1,0,21,1275,0.0,0.0,0.0,51,0,44,2,0,5,49,0,0,0,0,0,0,0,0,0,0,0,134,229,1,1,1,3,5,971,0,2,3,2,2,0,1,0,66,1,0
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\serialization\model\KeyToMultiValueDTO.java,org.mockserver.serialization.model.KeyToMultiValueDTO,class,3,5,2,3,4,2,2,2,2,0.5,0.33333334,0.5,4,0,2,0,2,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,22,1,0
C:\Users\sugii syuji\gitProject\mockserver\mockserver-junit-rule\src\test\java\org\mockserver\junit\integration\JUnitRuleIntegrationTest.java,org.mockserver.junit.integration.JUnitRuleIntegrationTest,class,4,4,0,4,2,3,0,2,1,0.75,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,1,1,0,0,2,0,0,9,1,0,0,0,0,0,0,2,0,2,0,0,0,0,26,1,0
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\validator\jsonschema\JsonSchemaVerificationValidatorIntegrationTest.java,org.mockserver.validator.jsonschema.JsonSchemaVerificationValidatorIntegrationTest,class,3,3,0,3,7,1,0,4,0,0.0,1.0,1.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,1,0,0,24,0,0,0,0,0,157,0,1,11,1,0,0,0,0,84,1,0
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\ExpandedParameterDecoderTest.java,org.mockserver.codec.ExpandedParameterDecoderTest,class,6,7,1,6,20,1,0,14,0,0.10526316,0.78431374,0.78431374,19,0,18,1,0,0,18,0,0,0,1,0,0,1,0,0,1,0,56,120,0,0,0,0,0,453,2,6,0,6,1,0,0,0,49,1,0
C:\Users\sugii syuji\gitProject\mockserver\mockserver-examples\src\main\java\org\mockserver\examples\proxy\web\configuration\WebMvcConfiguration.java,org.mockserver.examples.proxy.web.configuration.WebMvcConfiguration,class,10,26,16,10,4,2,0,9,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,5,1,2,0,2,0,1,0,0,27,1,0
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\matchers\StringToXmlDocumentParser.java,org.mockserver.matchers.StringToXmlDocumentParser$ErrorLevel,enum,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,14,1,0
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\serialization\model\KeyAndValueDTO.java,org.mockserver.serialization.model.KeyAndValueDTO,class,3,4,1,3,4,2,1,2,2,0.5,0.33333334,0.5,4,0,2,0,2,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,21,1,0
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\MockServerHttpToNettyHttpResponseEncoderContentTypeTest.java,org.mockserver.codec.MockServerHttpToNettyHttpResponseEncoderContentTypeTest,class,8,8,0,8,23,1,0,24,0,0.014492754,1.0,1.0,23,0,23,0,0,0,23,0,0,0,3,0,0,3,0,0,1,0,0,149,0,0,0,0,0,65,22,25,0,25,0,0,0,0,82,1,0
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\serialization\serializers\body\XmlSchemaBodySerializerTest.java,org.mockserver.serialization.serializers.body.XmlSchemaBodySerializerTest,class,2,2,0,2,3,1,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,17,1,0
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\model\RetrieveType.java,org.mockserver.model.RetrieveType,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\socket\tls\KeyAndCertificateFactoryFactory.java,org.mockserver.socket.tls.KeyAndCertificateFactoryFactory,class,6,9,3,6,7,1,0,11,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,33,3,0,2,2,0,17,0,7,1,5,3,0,0,0,62,1,0
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\verify\VerificationTimesTest.java,org.mockserver.verify.VerificationTimesTest,class,2,2,0,2,11,1,0,11,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,13,56,10,0,10,0,0,0,0,34,1,0
C:\Users\sugii syuji\gitProject\mockserver\mockserver-netty\src\test\java\org\mockserver\netty\integration\proxy\http\NettyHttpSecureProxyIntegrationTest.java,org.mockserver.netty.integration.proxy.http.NettyHttpSecureProxyIntegrationTest,class,25,26,1,25,18,1,0,67,0,0.4,0.8857143,1.0,15,3,15,0,0,0,15,0,0,0,4,4,0,4,0,0,1,0,24,224,0,0,0,20,14,145,10,56,36,54,3,0,0,0,121,1,0
