file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\sugii syuji\gitProject\mybatis-3\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader,0.0,-1.0,15.0,5.0,0.25,-1.0,6.0
C:\Users\sugii syuji\gitProject\mybatis-3\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader$1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\localtime\LocalTimeTest.java,org.apache.ibatis.submitted.localtime.LocalTimeTest,0.0,-1.0,14.0,1.0,0.06666667,-1.0,7.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\executor\ExecutorTestHelper.java,org.apache.ibatis.executor.ExecutorTestHelper$5,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\builder\annotation\ProviderContext.java,org.apache.ibatis.builder.annotation.ProviderContext,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\ByteArrayTypeHandlerTest.java,org.apache.ibatis.type.ByteArrayTypeHandlerTest,4.0,1.0,9.0,8.0,0.47058824,0.75,4.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\type\YearMonthTypeHandler.java,org.apache.ibatis.type.YearMonthTypeHandler,1.0,1.0,4.0,0.0,0.0,0.0,3.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\type\SqlDateTypeHandlerTest.java,org.apache.ibatis.type.SqlDateTypeHandlerTest,4.0,1.0,9.0,16.0,0.64,0.75,4.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\lazyload_proxyfactory_comparison\CglibLazyTest.java,org.apache.ibatis.submitted.lazyload_proxyfactory_comparison.CglibLazyTest,1.0,1.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\maptypehandler\User.java,org.apache.ibatis.submitted.maptypehandler.User,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\builder\ExamplePlugin.java,org.apache.ibatis.builder.ExamplePlugin,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\jdbc\SelectBuilderTest.java,org.apache.ibatis.jdbc.SelectBuilderTest,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\cursor_simple\MysqlCursorTest.java,org.apache.ibatis.submitted.cursor_simple.MysqlCursorTest,0.0,-1.0,15.0,1.0,0.0625,-1.0,8.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\sptests\Parameter.java,org.apache.ibatis.submitted.sptests.Parameter,0.0,-1.0,0.0,6.0,1.0,-1.0,0.0
