file,class,method,ATFD,ATLD,LAA,FDP,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\sugii syuji\gitProject\mybatis-3\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader,main/1[java.lang.String[]],8.0,5.0,0.3846154,2.0,0,1,8,46,0,6,1,0,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\call_setters_on_nulls\User.java,org.apache.ibatis.submitted.call_setters_on_nulls.User,setId/1[java.lang.Integer],0.0,1.0,1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\call_setters_on_nulls\User.java,org.apache.ibatis.submitted.call_setters_on_nulls.User,setName/1[java.lang.String],0.0,2.0,1.0,0.0,0,0,2,6,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\repeatable\User.java,org.apache.ibatis.submitted.repeatable.User,setDatabaseName/1[java.lang.String],0.0,1.0,1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\repeatable\User.java,org.apache.ibatis.submitted.repeatable.User,setId/1[java.lang.Integer],0.0,1.0,1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\repeatable\User.java,org.apache.ibatis.submitted.repeatable.User,setName/1[java.lang.String],0.0,1.0,1.0,0.0,6,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\serializecircular\Attribute.java,org.apache.ibatis.submitted.serializecircular.Attribute,setId/1[java.lang.Integer],0.0,1.0,1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\scripting\xmltags\ForEachSqlNode.java,org.apache.ibatis.scripting.xmltags.ForEachSqlNode,apply/1[org.apache.ibatis.scripting.xmltags.DynamicContext],6.0,8.0,0.5714286,2.0,0,11,7,39,2,7,1,1,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\scripting\xmltags\ForEachSqlNode.java,org.apache.ibatis.scripting.xmltags.ForEachSqlNode,applyClose/1[org.apache.ibatis.scripting.xmltags.DynamicContext],0.0,2.0,1.0,0.0,1,1,2,5,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\scripting\xmltags\ForEachSqlNode.java,org.apache.ibatis.scripting.xmltags.ForEachSqlNode,applyOpen/1[org.apache.ibatis.scripting.xmltags.DynamicContext],0.0,2.0,1.0,0.0,1,1,2,5,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\lazy_deserialize\LazyObjectFoo.java,org.apache.ibatis.submitted.lazy_deserialize.LazyObjectFoo,setId/1[java.lang.Integer],0.0,1.0,1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\lazy_deserialize\LazyObjectFoo.java,org.apache.ibatis.submitted.lazy_deserialize.LazyObjectFoo,setLazyObjectBar/1[org.apache.ibatis.submitted.lazy_deserialize.LazyObjectBar],0.0,1.0,1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\stringlist\User.java,org.apache.ibatis.submitted.stringlist.User,setId/1[java.lang.Integer],0.0,1.0,1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\stringlist\User.java,org.apache.ibatis.submitted.stringlist.User,setName/1[java.lang.String],0.0,1.0,1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\ancestor_ref\User.java,org.apache.ibatis.submitted.ancestor_ref.User,setFriend/1[org.apache.ibatis.submitted.ancestor_ref.User],0.0,1.0,1.0,0.0,0,0,1,3,0,0,1,0,0,0
