file,class,method,ATFD,ATLD,LAA,FDP
C:\Users\sugii syuji\gitProject\mybatis-3\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader,"downloadFileFromURL/2[java.lang.String, java.io.File]",7.0,0.0,0.0,4.0
C:\Users\sugii syuji\gitProject\mybatis-3\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader,"main/1[java.lang.String[]]",8.0,5.0,0.3846154,2.0
C:\Users\sugii syuji\gitProject\mybatis-3\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader$1,"getPasswordAuthentication/0[]",0.0,0.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\result_handler_type\ObjectFactory.java,org.apache.ibatis.submitted.result_handler_type.ObjectFactory,"resolveInterface/1[java.lang.Class]",5.0,0.0,0.0,5.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\call_setters_on_nulls\User.java,org.apache.ibatis.submitted.call_setters_on_nulls.User,"getId/0[]",0.0,1.0,1.0,0.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\call_setters_on_nulls\User.java,org.apache.ibatis.submitted.call_setters_on_nulls.User,"getName/0[]",0.0,1.0,1.0,0.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\call_setters_on_nulls\User.java,org.apache.ibatis.submitted.call_setters_on_nulls.User,"setId/1[java.lang.Integer]",0.0,1.0,1.0,0.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\call_setters_on_nulls\User.java,org.apache.ibatis.submitted.call_setters_on_nulls.User,"setName/1[java.lang.String]",0.0,2.0,1.0,0.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\blocking_cache\BlockingCacheTest.java,org.apache.ibatis.submitted.blocking_cache.BlockingCacheTest,"accessDB/0[]",3.0,0.0,0.0,3.0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\blocking_cache\BlockingCacheTest.java,org.apache.ibatis.submitted.blocking_cache.BlockingCacheTest,"setUp/0[]",4.0,1.0,0.2,4.0
