file,class,method,variable,usage
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,"ManagedTransaction/2[java.sql.Connection,boolean]",connection,2
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,"ManagedTransaction/2[java.sql.Connection,boolean]",closeConnection,2
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,"ManagedTransaction/3[javax.sql.DataSource,org.apache.ibatis.session.TransactionIsolationLevel,boolean]",level,2
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,"ManagedTransaction/3[javax.sql.DataSource,org.apache.ibatis.session.TransactionIsolationLevel,boolean]",ds,1
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,"ManagedTransaction/3[javax.sql.DataSource,org.apache.ibatis.session.TransactionIsolationLevel,boolean]",closeConnection,2
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\multiple_discriminator\Employee.java,org.apache.ibatis.submitted.multiple_discriminator.Employee,setJobTitle/1[java.lang.String],jobTitle,2
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\lazyload_common_property\FatherMapper.java,org.apache.ibatis.submitted.lazyload_common_property.FatherMapper,selectById/1[java.lang.Integer],id,0
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\deferload_common_property\CommonPropertyDeferLoadTest.java,org.apache.ibatis.submitted.deferload_common_property.CommonPropertyDeferLoadTest$3MyResultHandler,handleResult/1[org.apache.ibatis.submitted.deferload_common_property.ResultContext],context,1
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\deferload_common_property\CommonPropertyDeferLoadTest.java,org.apache.ibatis.submitted.deferload_common_property.CommonPropertyDeferLoadTest$3MyResultHandler,handleResult/1[org.apache.ibatis.submitted.deferload_common_property.ResultContext],child,1
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\slf4j\Slf4jLoggerImpl.java,org.apache.ibatis.logging.slf4j.Slf4jLoggerImpl,error/1[java.lang.String],s,1
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\slf4j\Slf4jLoggerImpl.java,org.apache.ibatis.logging.slf4j.Slf4jLoggerImpl,trace/1[java.lang.String],s,1
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\slf4j\Slf4jLoggerImpl.java,org.apache.ibatis.logging.slf4j.Slf4jLoggerImpl,debug/1[java.lang.String],s,1
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\slf4j\Slf4jLoggerImpl.java,org.apache.ibatis.logging.slf4j.Slf4jLoggerImpl,warn/1[java.lang.String],s,1
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\slf4j\Slf4jLoggerImpl.java,org.apache.ibatis.logging.slf4j.Slf4jLoggerImpl,Slf4jLoggerImpl/1[org.apache.ibatis.logging.slf4j.Logger],logger,1
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\slf4j\Slf4jLoggerImpl.java,org.apache.ibatis.logging.slf4j.Slf4jLoggerImpl,"error/2[java.lang.String,java.lang.Throwable]",s,1
C:\Users\sugii syuji\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\slf4j\Slf4jLoggerImpl.java,org.apache.ibatis.logging.slf4j.Slf4jLoggerImpl,"error/2[java.lang.String,java.lang.Throwable]",e,1
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\immutable_constructor\ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,shouldLoadImmutablePOJOBySignature/0,pojo,2
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\immutable_constructor\ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,shouldLoadImmutablePOJOBySignature/0,session,1
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\immutable_constructor\ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,shouldLoadImmutablePOJOBySignature/0,mapper,1
C:\Users\sugii syuji\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\immutable_constructor\ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,shouldFailLoadingImmutablePOJO/0,session,1
