file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\sugii syuji\gitProject\redisson\redisson\src\test\java\org\redisson\spring\session\TomcatServer.java,org.redisson.spring.session.TomcatServer,0.0,-1.0,2.0,0.0,0.0,-1.0,2.0,class,1,1,5,1.0,0.375,35,0,19,0,2,4,8
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\client\BaseRedisPubSubListener.java,org.redisson.client.BaseRedisPubSubListener,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,class,1,1,2,0.0,0.0,9,1,0,0,0,3,3
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\rx\RedissonReliableTopicRx.java,org.redisson.rx.RedissonReliableTopicRx,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0,class,1,0,7,1.0,0.0,31,0,11,0,1,2,4
C:\Users\sugii syuji\gitProject\redisson\redisson\src\test\java\org\redisson\RedissonStreamTest.java,org.redisson.RedissonStreamTest.2,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,1,,0.0,11,0,4,0,0,1,2
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\client\RedisClient.java,org.redisson.client.RedisClient,0.0,-1.0,33.0,21.0,0.3888889,-1.0,11.0,class,1,51,30,0.4945055,0.83193266,302,0,59,0,14,17,41
C:\Users\sugii syuji\gitProject\redisson\redisson\src\test\java\org\redisson\RedissonTopicPatternTest.java,org.redisson.RedissonTopicPatternTest.2,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,0,0.0,0.0,8,0,2,0,0,2,2
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\transaction\operation\TransactionalOperation.java,org.redisson.transaction.operation.TransactionalOperation,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,class,1,24,2,0.2,0.6666667,18,11,0,0,2,6,6
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\RedissonSortedSet.java,org.redisson.RedissonSortedSet,16.0,0.0,35.0,11.0,0.23913044,0.125,11.0,class,1,5,21,0.3768473,0.82323235,300,0,61,1,6,33,62
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\iterator\RedissonMapIterator.java,org.redisson.iterator.RedissonMapIterator,8.0,1.0,3.0,2.0,0.4,0.0,2.0,class,3,1,5,1.0,0.33333334,19,0,5,0,3,4,4
C:\Users\sugii syuji\gitProject\redisson\redisson\src\test\java\org\redisson\RedissonMapCacheTest.java,org.redisson.RedissonMapCacheTest.3,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0,anonymous,1,0,1,,0.0,14,0,7,0,0,1,3
