file,class,method,ATFD,ATLD,LAA,FDP,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\Endpoints.java,retrofit.Endpoints,newFixedEndpoint/1[java.lang.String],0.0,0.0,-1.0,0.0,2,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\test\java\retrofit\RestAdapterTest.java,retrofit.RestAdapterTest.3,log/1[java.lang.String],0.0,0.0,-1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\client\ApacheClient.java,retrofit.client.ApacheClient,createRequest/1[retrofit.client.Request],0.0,0.0,-1.0,0.0,5,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\client\ApacheClient.java,retrofit.client.ApacheClient,execute/1[retrofit.client.Request],1.0,1.0,0.5,1.0,0,4,1,5,1,2,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\Utils.java,retrofit.Utils.SynchronousExecutor,execute/1[java.lang.Runnable],0.0,0.0,-1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\FormUrlEncodedTypedOutput.java,retrofit.mime.FormUrlEncodedTypedOutput,writeTo/1[java.io.OutputStream],0.0,0.0,-1.0,0.0,3,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\RestAdapter.java,retrofit.RestAdapter.Log.1,log/1[java.lang.String],0.0,0.0,-1.0,0.0,0,0,1,2,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\test\java\retrofit\RestAdapterTest.java,retrofit.RestAdapterTest.7,log/1[java.lang.String],0.0,0.0,-1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.48Example,a/1[java.lang.Object],0.0,0.0,-1.0,0.0,0,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.30Example,a/1[java.lang.String],0.0,0.0,-1.0,0.0,0,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\Types.java,retrofit.Types,checkNotPrimitive/1[java.lang.reflect.Type],0.0,0.0,-1.0,0.0,2,0,3,5,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\Types.java,retrofit.Types,getRawType/1[java.lang.reflect.Type],7.0,2.0,0.22222222,5.0,2,1,8,25,5,4,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\Types.java,retrofit.Types,hashCodeOrZero/1[java.lang.Object],0.0,0.0,-1.0,0.0,1,0,2,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\Types.java,retrofit.Types,typeToString/1[java.lang.reflect.Type],1.0,0.0,0.0,1.0,3,0,2,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.61Example,a/1[java.lang.String],0.0,0.0,-1.0,0.0,0,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\ExceptionCatchingTypedInput.java,retrofit.ExceptionCatchingTypedInput.ExceptionCatchingInputStream,mark/1[int],0.0,0.0,-1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\ExceptionCatchingTypedInput.java,retrofit.ExceptionCatchingTypedInput.ExceptionCatchingInputStream,read/1[byte[]],0.0,1.0,1.0,0.0,0,0,2,9,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\ExceptionCatchingTypedInput.java,retrofit.ExceptionCatchingTypedInput.ExceptionCatchingInputStream,skip/1[long],0.0,1.0,1.0,0.0,0,0,2,9,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.42Example,a/1[retrofit.mime.TypedOutput],0.0,0.0,-1.0,0.0,0,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.32Example,a/1[java.lang.String],0.0,0.0,-1.0,0.0,0,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\ChangeableServer.java,retrofit.ChangeableServer,update/1[java.lang.String],0.0,1.0,1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\RequestBuilder.java,retrofit.RequestBuilder,setArguments/1[java.lang.Object[]],27.0,6.0,0.18181819,5.0,3,8,50,146,1,17,1,8,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.15Example,a/1[retrofit.Callback],0.0,0.0,-1.0,0.0,0,0,1,2,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\Platform.java,retrofit.Platform.Base.2,newThread/1[java.lang.Runnable],3.0,0.0,0.0,2.0,0,1,1,9,1,0,1,0,1,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\test\java\retrofit\ErrorHandlerTest.java,retrofit.ErrorHandlerTest.2,onError/1[java.lang.Throwable],0.0,0.0,-1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\test\java\retrofit\ErrorHandlerTest.java,retrofit.ErrorHandlerTest.2,onNext/1[retrofit.client.Response],1.0,0.0,0.0,1.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\test\java\retrofit\client\UrlConnectionClientTest.java,retrofit.client.UrlConnectionClientTest.1,openConnection/1[retrofit.client.Request],1.0,0.0,0.0,1.0,0,2,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\test\java\retrofit\mime\MimeHelper.java,retrofit.mime.MimeHelper,getParts/1[retrofit.mime.MultipartTypedOutput],1.0,0.0,0.0,1.0,3,1,2,8,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\client\OkClient.java,retrofit.client.OkClient,openConnection/1[retrofit.client.Request],1.0,0.0,0.0,1.0,0,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.47Example,a/1[java.lang.String],0.0,0.0,-1.0,0.0,0,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\TypedByteArray.java,retrofit.mime.TypedByteArray,equals/1[java.lang.Object],2.0,2.0,0.5,1.0,0,0,6,8,5,1,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\TypedByteArray.java,retrofit.mime.TypedByteArray,writeTo/1[java.io.OutputStream],0.0,1.0,1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\RestAdapter.java,retrofit.RestAdapter.Builder,setClient/1[retrofit.client.Client],0.0,1.0,1.0,0.0,11,2,2,11,1,0,1,0,1,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\RestAdapter.java,retrofit.RestAdapter.Builder,setConverter/1[retrofit.converter.Converter],0.0,1.0,1.0,0.0,0,0,2,7,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\RestAdapter.java,retrofit.RestAdapter.Builder,setEndpoint/1[java.lang.String],0.0,1.0,1.0,0.0,14,1,3,7,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\RestAdapter.java,retrofit.RestAdapter.Builder,setEndpoint/1[retrofit.Endpoint],0.0,1.0,1.0,0.0,1,0,2,7,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\RestAdapter.java,retrofit.RestAdapter.Builder,setErrorHandler/1[retrofit.ErrorHandler],0.0,1.0,1.0,0.0,2,0,2,7,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\RestAdapter.java,retrofit.RestAdapter.Builder,setProfiler/1[retrofit.Profiler],0.0,1.0,1.0,0.0,9,0,2,7,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\RestAdapter.java,retrofit.RestAdapter.Builder,setRequestInterceptor/1[retrofit.RequestInterceptor],0.0,1.0,1.0,0.0,0,0,2,7,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\RestAdapter.java,retrofit.RestAdapter.Builder,setServer/1[java.lang.String],0.0,1.0,1.0,0.0,0,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\RestAdapter.java,retrofit.RestAdapter.Builder,setServer/1[retrofit.Server],0.0,1.0,1.0,0.0,0,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\test\java\retrofit\ErrorHandlerTest.java,retrofit.ErrorHandlerTest.1,failure/1[retrofit.RetrofitError],1.0,0.0,0.0,1.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\test\java\retrofit\RestAdapterTest.java,retrofit.RestAdapterTest.6,log/1[java.lang.String],0.0,0.0,-1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\Types.java,retrofit.Types.WildcardTypeImpl,equals/1[java.lang.Object],0.0,0.0,-1.0,0.0,0,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.69Example,a/1[java.lang.String],0.0,0.0,-1.0,0.0,0,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.49Example,a/1[retrofit.mime.TypedOutput],0.0,0.0,-1.0,0.0,0,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\RetrofitError.java,retrofit.RetrofitError,getBodyAs/1[java.lang.reflect.Type],1.0,0.0,0.0,1.0,0,2,3,12,2,1,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\MultipartTypedOutput.java,retrofit.mime.MultipartTypedOutput,writeTo/1[java.io.OutputStream],0.0,2.0,1.0,0.0,2,1,2,6,0,0,1,1,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\appengine\UrlFetchClient.java,retrofit.appengine.UrlFetchClient,createRequest/1[retrofit.client.Request],7.0,1.0,0.125,3.0,5,8,3,15,1,5,1,1,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\appengine\UrlFetchClient.java,retrofit.appengine.UrlFetchClient,execute/1[retrofit.client.Request],0.0,1.0,1.0,0.0,0,3,1,5,1,2,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\appengine\UrlFetchClient.java,retrofit.appengine.UrlFetchClient,getHttpMethod/1[java.lang.String],6.0,0.0,0.0,1.0,1,0,7,23,6,0,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\Utils.java,retrofit.Utils,readBodyToBytesIfNecessary/1[retrofit.client.Request],4.0,0.0,0.0,1.0,1,8,3,11,2,3,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\Utils.java,retrofit.Utils,readBodyToBytesIfNecessary/1[retrofit.client.Response],1.0,0.0,0.0,1.0,2,6,5,22,2,4,1,0,0,0
C:\Users\sugii syuji\gitProject\retrofit\retrofit\src\main\java\retrofit\Utils.java,retrofit.Utils,streamToBytes/1[java.io.InputStream],0.0,1.0,1.0,0.0,1,0,3,11,1,3,1,1,0,0
