file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\InitExceptionHandlerTest.java,spark.InitExceptionHandlerTest,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\MultipleServicesTest.java,spark.MultipleServicesTest,0.0,-1.0,27.0,4.0,0.12903225,-1.0,5.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\Body.java,spark.http.matching.Body,0.0,-1.0,2.0,5.0,0.71428573,-1.0,1.0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\MultipleFiltersTest.java,spark.MultipleFiltersTest$User,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\serialization\Serializer.java,spark.serialization.Serializer,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\QueryParamsMapTest.java,spark.QueryParamsMapTest,0.0,-1.0,66.0,0.0,0.0,-1.0,3.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\embeddedserver\EmbeddedServers.java,spark.embeddedserver.EmbeddedServers,0.0,-1.0,5.0,0.0,0.0,-1.0,3.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\Response.java,spark.Response,0.0,-1.0,17.0,3.0,0.15,-1.0,3.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\routematch\RouteMatch.java,spark.routematch.RouteMatch,0.0,-1.0,0.0,5.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\examples\filter\FilterExampleAttributes.java,spark.examples.filter.FilterExampleAttributes,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\Session.java,spark.Session,0.0,-1.0,8.0,1.0,0.11111111,-1.0,1.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\resource\UriPath.java,spark.resource.UriPath,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\examples\session\SessionExample.java,spark.examples.session.SessionExample,0.0,-1.0,2.0,3.0,0.6,-1.0,1.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\ResponseTransformerRouteImpl.java,spark.ResponseTransformerRouteImpl,0.0,0.33333334,1.0,0.0,0.0,-1.0,1.0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\ResponseBodyTest.java,spark.ResponseBodyTest,0.0,-1.0,16.0,26.0,0.61904764,-1.0,3.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\Service.java,spark.Service$1,1.0,1.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\globalstate\ServletFlag.java,spark.globalstate.ServletFlag,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\utils\urldecoding\Utf8StringBuilder.java,spark.utils.urldecoding.Utf8StringBuilder,5.0,0.6666667,1.0,0.0,0.0,0.4,1.0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\examples\exception\SubclassOfBaseException.java,spark.examples.exception.SubclassOfBaseException,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\FilterImpl.java,spark.FilterImpl$1,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\utils\ClassUtils.java,spark.utils.ClassUtils,0.0,-1.0,9.0,4.0,0.30769232,-1.0,4.0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\servlet\FilterConfigWrapper.java,spark.servlet.FilterConfigWrapper,0.0,-1.0,4.0,0.0,0.0,-1.0,1.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\embeddedserver\NotSupportedException.java,spark.embeddedserver.NotSupportedException,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\route\RouteEntryTest.java,spark.route.RouteEntryTest,0.0,-1.0,40.0,0.0,0.0,-1.0,3.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\utils\urldecoding\TypeUtil.java,spark.utils.urldecoding.TypeUtil,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\utils\CollectionUtils.java,spark.utils.CollectionUtils,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\utils\urldecoding\Utf8Appendable.java,spark.utils.urldecoding.Utf8Appendable,0.0,-1.0,1.0,35.0,0.9722222,-1.0,1.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\RequestResponseFactory.java,spark.RequestResponseFactory,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\examples\simple\SimpleSecureExample.java,spark.examples.simple.SimpleSecureExample,0.0,-1.0,9.0,0.0,0.0,-1.0,2.0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\staticfiles\StaticFilesTest.java,spark.staticfiles.StaticFilesTest,0.0,-1.0,27.0,12.0,0.30769232,-1.0,5.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,0.0,-1.0,0.0,18.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\ExceptionHandlerImpl.java,spark.ExceptionHandlerImpl,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0
