file,class,method,ATFD,ATLD,LAA,FDP,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\MultipleFiltersTest.java,spark.MultipleFiltersTest.User,name/1[java.lang.String],0.0,1.0,1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\GenericIntegrationTest.java,spark.GenericIntegrationTest,assertEchoRoute/1[java.lang.String],2.0,0.0,0.0,1.0,1,1,1,6,0,2,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\GenericIntegrationTest.java,spark.GenericIntegrationTest,registerEchoRoute/1[java.lang.String],1.0,0.0,0.0,1.0,1,2,1,6,1,2,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,matchPath/1[java.lang.String],4.0,1.0,0.2,1.0,1,1,26,48,9,10,1,2,0,0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\examples\gzip\GzipExample.java,spark.examples.gzip.GzipExample,main/1[java.lang.String[]],0.0,1.0,1.0,0.0,0,4,1,8,0,1,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\RouteImpl.java,spark.RouteImpl,render/1[java.lang.Object],0.0,0.0,-1.0,0.0,3,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\RouteImpl.java,spark.RouteImpl,withPrefix/1[java.lang.String],0.0,2.0,1.0,0.0,1,0,1,4,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\staticfiles\StaticFilesConfiguration.java,spark.staticfiles.StaticFilesConfiguration,configure/1[java.lang.String],0.0,4.0,1.0,0.0,1,2,3,11,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\staticfiles\StaticFilesConfiguration.java,spark.staticfiles.StaticFilesConfiguration,configureExternal/1[java.lang.String],1.0,4.0,0.8,1.0,1,4,5,21,1,1,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\staticfiles\StaticFilesConfiguration.java,spark.staticfiles.StaticFilesConfiguration,setExpireTimeSeconds/1[long],0.0,0.0,-1.0,0.0,1,0,1,4,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\embeddedserver\jetty\HttpRequestWrapper.java,spark.embeddedserver.jetty.HttpRequestWrapper,notConsumed/1[boolean],0.0,1.0,1.0,0.0,1,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\examples\hello\HelloSecureWorld.java,spark.examples.hello.HelloSecureWorld,main/1[java.lang.String[]],1.0,0.0,0.0,1.0,0,2,1,7,1,2,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\AfterAfterFilters.java,spark.http.matching.AfterAfterFilters,execute/1[spark.http.matching.RouteContext],7.0,0.0,0.0,5.0,1,19,5,24,0,6,1,1,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\ResponseTransformerRouteImpl.java,spark.ResponseTransformerRouteImpl,render/1[java.lang.Object],0.0,0.0,-1.0,0.0,0,0,1,1,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\examples\staticresources\StaticResources.java,spark.examples.staticresources.StaticResources,main/1[java.lang.String[]],1.0,0.0,0.0,1.0,0,2,1,7,1,2,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\Routes.java,spark.route.Routes,remove/1[java.lang.String],0.0,0.0,-1.0,0.0,1,2,2,6,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\Routes.java,spark.route.Routes,routeWithGivenAcceptType/1[java.lang.String],0.0,0.0,-1.0,0.0,2,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\utils\SparkUtils.java,spark.utils.SparkUtils,convertRouteToList/1[java.lang.String],0.0,0.0,-1.0,0.0,3,0,3,10,1,2,1,1,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\utils\SparkUtils.java,spark.utils.SparkUtils,isParam/1[java.lang.String],0.0,0.0,-1.0,0.0,3,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\utils\SparkUtils.java,spark.utils.SparkUtils,isSplat/1[java.lang.String],0.0,0.0,-1.0,0.0,3,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\Request.java,spark.Request,attribute/1[java.lang.String],1.0,0.0,0.0,1.0,3,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\Request.java,spark.Request,changeMatch/1[spark.routematch.RouteMatch],3.0,5.0,0.625,1.0,2,5,1,7,0,2,1,0,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\Request.java,spark.Request,cookie/1[java.lang.String],3.0,0.0,0.0,2.0,4,0,4,11,2,1,1,1,0,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\Request.java,spark.Request,headers/1[java.lang.String],1.0,0.0,0.0,1.0,2,0,1,3,1,0,1,0,0,0
