file,class,method,variable,usage
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\FilterImplTest.java,spark.FilterImplTest$Anonymous1,"handle/2[spark.Request,spark.Response]",request,0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\FilterImplTest.java,spark.FilterImplTest$Anonymous1,"handle/2[spark.Request,spark.Response]",response,0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\examples\templateview\FreeMarkerExample.java,spark.examples.templateview.FreeMarkerExample,main/1[java.lang.String[]],args,0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\examples\templateview\FreeMarkerExample.java,spark.examples.templateview.FreeMarkerExample,main/1[java.lang.String[]],request,0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\examples\templateview\FreeMarkerExample.java,spark.examples.templateview.FreeMarkerExample,main/1[java.lang.String[]],response,0
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\examples\templateview\FreeMarkerExample.java,spark.examples.templateview.FreeMarkerExample,main/1[java.lang.String[]],attributes,2
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,RouteEntry/1[spark.route.RouteEntry],entry,4
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,"matches/2[spark.route.HttpMethod,java.lang.String]",path,2
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,"matches/2[spark.route.HttpMethod,java.lang.String]",match,2
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,"matches/2[spark.route.HttpMethod,java.lang.String]",httpMethod,7
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,matchPath/1[java.lang.String],path,13
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,matchPath/1[java.lang.String],pathSize,4
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,matchPath/1[java.lang.String],thisPathSize,7
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,matchPath/1[java.lang.String],thisPathPart,9
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,matchPath/1[java.lang.String],i,11
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,matchPath/1[java.lang.String],pathPart,3
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,matchPath/1[java.lang.String],pathList,5
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,matchPath/1[java.lang.String],thisPathList,3
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,exists/0,ex,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,exists/0,is,1
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,exists/0,isEx,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,createRelative/1[java.lang.String],relativePath,0
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,lastModified/0,lastModified,3
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,getURI/0,ex,1
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,getURI/0,url,2
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,equals/1[java.lang.Object],obj,3
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,contentLength/0,buf,1
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,contentLength/0,read,3
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,contentLength/0,ex,0
