file,class,method,variable,usage
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,accept/0,demand,3
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,connectHandler/1[io.vertx.core.Handler<io.vertx.core.net.NetSocket>],handler,3
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,"listen/2[io.vertx.core.net.SocketAddress,io.vertx.core.Handler<io.vertx.core.AsyncResult<io.vertx.core.net.NetServer>>]",log,1
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,close/1[io.vertx.core.Promise<java.lang.Void>],endHandler,3
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,connectHandler/0,handler,1
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,listen/1[io.vertx.core.net.SocketAddress],handler,3
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,listen/1[io.vertx.core.net.SocketAddress],registeredHandler,1
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,listen/1[io.vertx.core.net.SocketAddress],exceptionHandler,1
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,resumeAccepting/0,demand,1
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,exceptionHandler/1[io.vertx.core.Handler<java.lang.Throwable>],handler,2
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,exceptionHandler/1[io.vertx.core.Handler<java.lang.Throwable>],exceptionHandler,2
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,pauseAccepting/0,demand,1
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,fetchAccepting/1[long],demand,3
