file,class,method,ATFD,ATLD,LAA,FDP
C:\Users\sugii syuji\gitProject\vert.x\src\main\generated\io\vertx\core\datagram\DatagramSocketOptionsConverter.java,io.vertx.core.datagram.DatagramSocketOptionsConverter,"fromJson/2[java.lang.Iterable, io.vertx.core.datagram.DatagramSocketOptions]",16.0,0.0,0.0,2.0
C:\Users\sugii syuji\gitProject\vert.x\src\main\generated\io\vertx\core\datagram\DatagramSocketOptionsConverter.java,io.vertx.core.datagram.DatagramSocketOptionsConverter,"toJson/2[io.vertx.core.datagram.DatagramSocketOptions, io.vertx.core.json.JsonObject]",1.0,0.0,0.0,1.0
C:\Users\sugii syuji\gitProject\vert.x\src\main\generated\io\vertx\core\datagram\DatagramSocketOptionsConverter.java,io.vertx.core.datagram.DatagramSocketOptionsConverter,"toJson/2[io.vertx.core.datagram.DatagramSocketOptions, java.util.Map]",3.0,0.0,0.0,1.0
C:\Users\sugii syuji\gitProject\vert.x\src\main\generated\io\vertx\core\file\CopyOptionsConverter.java,io.vertx.core.file.CopyOptionsConverter,"fromJson/2[java.lang.Iterable, io.vertx.core.file.CopyOptions]",13.0,0.0,0.0,2.0
C:\Users\sugii syuji\gitProject\vert.x\src\main\generated\io\vertx\core\file\CopyOptionsConverter.java,io.vertx.core.file.CopyOptionsConverter,"toJson/2[io.vertx.core.file.CopyOptions, io.vertx.core.json.JsonObject]",1.0,0.0,0.0,1.0
C:\Users\sugii syuji\gitProject\vert.x\src\main\generated\io\vertx\core\file\CopyOptionsConverter.java,io.vertx.core.file.CopyOptionsConverter,"toJson/2[io.vertx.core.file.CopyOptions, java.util.Map]",0.0,0.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\spi\launcher\DefaultCommand.java,io.vertx.core.spi.launcher.DefaultCommand,"applySystemProperties/0[]",1.0,2.0,0.6666667,1.0
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\spi\launcher\DefaultCommand.java,io.vertx.core.spi.launcher.DefaultCommand,"getCwd/0[]",0.0,2.0,1.0,0.0
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\spi\launcher\DefaultCommand.java,io.vertx.core.spi.launcher.DefaultCommand,"out/0[]",1.0,0.0,0.0,1.0
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\spi\launcher\DefaultCommand.java,io.vertx.core.spi.launcher.DefaultCommand,"setCwd/1[java.io.File]",0.0,1.0,1.0,0.0
