file,class,method,ATFD,ATLD,LAA,FDP,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\sugii syuji\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\scheduler\component\HashSetDuplicateRemover.java,us.codecraft.webmagic.scheduler.component.HashSetDuplicateRemover,getTotalRequestsCount/1[us.codecraft.webmagic.Task],0.0,0.0,-1.0,0.0,0,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\scheduler\component\HashSetDuplicateRemover.java,us.codecraft.webmagic.scheduler.component.HashSetDuplicateRemover,getUrl/1[us.codecraft.webmagic.Request],1.0,0.0,0.0,1.0,1,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\scheduler\component\HashSetDuplicateRemover.java,us.codecraft.webmagic.scheduler.component.HashSetDuplicateRemover,resetDuplicateCheck/1[us.codecraft.webmagic.Task],0.0,0.0,-1.0,0.0,0,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\webmagic\webmagic-core\src\test\java\us\codecraft\webmagic\downloader\MockGithubDownloader.java,us.codecraft.webmagic.downloader.MockGithubDownloader,setThread/1[int],0.0,0.0,-1.0,0.0,0,0,1,2,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\proxy\SimpleProxyProvider.java,us.codecraft.webmagic.proxy.SimpleProxyProvider,from/1[us.codecraft.webmagic.proxy.Proxy[]],1.0,0.0,0.0,1.0,2,1,2,7,1,1,1,1,0,0
C:\Users\sugii syuji\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\proxy\SimpleProxyProvider.java,us.codecraft.webmagic.proxy.SimpleProxyProvider,getProxy/1[us.codecraft.webmagic.Task],1.0,0.0,0.0,1.0,1,1,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\utils\WMCollections.java,us.codecraft.webmagic.utils.WMCollections,newArrayList/1[T[]],1.0,0.0,0.0,1.0,0,0,2,7,1,1,1,1,0,0
C:\Users\sugii syuji\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\utils\WMCollections.java,us.codecraft.webmagic.utils.WMCollections,newHashSet/1[T[]],1.0,0.0,0.0,1.0,0,0,2,7,1,1,1,1,0,0
C:\Users\sugii syuji\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\selector\OrSelector.java,us.codecraft.webmagic.selector.OrSelector,select/1[java.lang.String],0.0,1.0,1.0,0.0,1,1,3,9,2,1,1,1,0,0
C:\Users\sugii syuji\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\selector\OrSelector.java,us.codecraft.webmagic.selector.OrSelector,selectList/1[java.lang.String],0.0,1.0,1.0,0.0,0,1,2,8,1,2,1,1,0,0
C:\Users\sugii syuji\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\scheduler\PriorityScheduler.java,us.codecraft.webmagic.scheduler.PriorityScheduler,getLeftRequestsCount/1[us.codecraft.webmagic.Task],0.0,0.0,-1.0,0.0,0,0,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\scheduler\PriorityScheduler.java,us.codecraft.webmagic.scheduler.PriorityScheduler,getTotalRequestsCount/1[us.codecraft.webmagic.Task],2.0,0.0,0.0,2.0,0,2,1,3,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\scheduler\PriorityScheduler.java,us.codecraft.webmagic.scheduler.PriorityScheduler,poll/1[us.codecraft.webmagic.Task],0.0,0.0,-1.0,0.0,2,0,3,11,3,1,1,0,0,0
