file,class,method,ATFD,ATLD,LAA,FDP
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\monitoring\FBHandler.java,xdman.monitoring.FBHandler,"decodeJSONEscape/1[java.lang.String]",0.0,0.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\monitoring\FBHandler.java,xdman.monitoring.FBHandler,"findURL/2[java.lang.String, java.lang.StringBuffer]",0.0,0.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\monitoring\FBHandler.java,xdman.monitoring.FBHandler,"handle/2[java.io.File, xdman.monitoring.ParsedHookData]",32.0,0.0,0.0,5.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\KeepAliveConnectionCache.java,xdman.network.KeepAliveConnectionCache,"getInstance/0[]",0.0,4.0,1.0,0.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\KeepAliveConnectionCache.java,xdman.network.KeepAliveConnectionCache,"getReusableSocket/2[java.lang.String, int]",5.0,1.0,0.16666667,2.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\KeepAliveConnectionCache.java,xdman.network.KeepAliveConnectionCache,"putSocket/3[java.net.Socket, java.lang.String, int]",4.0,0.0,0.0,1.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\KeepAliveConnectionCache.java,xdman.network.KeepAliveConnectionCache,"run/0[]",0.0,3.0,1.0,0.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\KeepAliveConnectionCache.java,xdman.network.KeepAliveConnectionCache,"scavengeCache/0[]",6.0,3.0,0.33333334,2.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\KeepAliveConnectionCache.java,xdman.network.KeepAliveConnectionCache,"start/0[]",0.0,1.0,1.0,0.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\KeepAliveConnectionCache.java,xdman.network.KeepAliveConnectionCache,"stop/0[]",0.0,2.0,1.0,0.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\util\LinuxUtils.java,xdman.util.LinuxUtils,"addToStartup/0[]",3.0,1.0,0.25,3.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\util\LinuxUtils.java,xdman.util.LinuxUtils,"browseURL/1[java.lang.String]",0.0,0.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\util\LinuxUtils.java,xdman.util.LinuxUtils,"getDesktopFileString/0[]",3.0,1.0,0.25,3.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\util\LinuxUtils.java,xdman.util.LinuxUtils,"getProperPath/1[java.lang.String]",0.0,0.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\util\LinuxUtils.java,xdman.util.LinuxUtils,"getXDGDownloaDir/0[]",3.0,0.0,0.0,2.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\util\LinuxUtils.java,xdman.util.LinuxUtils,"initShutdown/0[]",2.0,1.0,0.33333334,2.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\util\LinuxUtils.java,xdman.util.LinuxUtils,"isAlreadyAutoStart/0[]",4.0,1.0,0.2,3.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\util\LinuxUtils.java,xdman.util.LinuxUtils,"keepAwakePing/0[]",1.0,0.0,0.0,1.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\util\LinuxUtils.java,xdman.util.LinuxUtils,"open/1[java.io.File]",1.0,0.0,0.0,1.0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\util\LinuxUtils.java,xdman.util.LinuxUtils,"removeFromStartup/0[]",1.0,0.0,0.0,1.0
