file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\Hibernate1.java,ysoserial.payloads.Hibernate1,0.0,-1.0,29.0,1.0,0.033333335,-1.0,13.0,class,1,2,13,0.0,0.0,60,0,26,0,0,7,10
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\exploit\JBoss.java,ysoserial.exploit.JBoss.ConnectionProviderContextImpl,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,innerclass,1,0,6,0.6666667,0.6666667,34,0,5,0,4,6,6
C:\Users\sugii syuji\gitProject\ysoserial\src\test\java\ysoserial\payloads\FileUploadTest.java,ysoserial.payloads.FileUploadTest,0.0,-1.0,2.0,3.0,0.6,-1.0,1.0,class,1,0,2,1.0,0.22222222,41,0,14,0,3,3,7
C:\Users\sugii syuji\gitProject\ysoserial\src\test\java\ysoserial\payloads\TestHarnessTest.java,ysoserial.payloads.TestHarnessTest.ExecMockPayload,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,innerclass,1,0,2,,0.0,5,0,0,0,0,1,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\secmgr\ExecCheckingSecurityManager.java,ysoserial.secmgr.ExecCheckingSecurityManager.ExecException,0.0,0.0,0.0,4.0,1.0,-1.0,0.0,innerclass,4,0,1,0.16666667,0.625,16,0,4,0,2,4,4
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\secmgr\ExecCheckingSecurityManager.java,ysoserial.secmgr.ExecCheckingSecurityManager,0.0,0.0,5.0,8.0,0.61538464,-1.0,2.0,class,5,4,3,0.21428572,0.625,71,0,10,1,2,8,15
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections4.java,ysoserial.payloads.CommonsCollections4,0.0,-1.0,7.0,1.0,0.125,-1.0,4.0,class,1,1,13,0.0,0.0,22,0,5,0,0,2,2
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\Jython1.java,ysoserial.payloads.Jython1,0.0,0.0,6.0,1.0,0.14285715,-1.0,4.0,class,2,1,12,0.0,0.0,24,0,8,0,0,2,3
C:\Users\sugii syuji\gitProject\ysoserial\src\test\java\ysoserial\payloads\TestHarnessTest.java,ysoserial.payloads.TestHarnessTest,0.0,-1.0,6.0,0.0,0.0,-1.0,4.0,class,1,0,6,0.0,0.0,47,0,5,3,0,3,5
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\JavaVersion.java,ysoserial.payloads.util.JavaVersion,0.0,-1.0,2.0,7.0,0.7777778,-1.0,2.0,class,1,6,1,0.0,0.16666667,21,0,5,0,3,2,7
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\exploit\JBoss.java,ysoserial.exploit.JBoss.1,0.0,-1.0,2.0,0.0,0.0,-1.0,2.0,anonymous,1,0,1,,0.0,16,0,4,0,0,1,6
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\JavassistWeld1.java,ysoserial.payloads.JavassistWeld1,0.0,-1.0,8.0,1.0,0.11111111,-1.0,6.0,class,1,1,20,0.0,0.0,33,0,15,0,0,2,2
C:\Users\sugii syuji\gitProject\ysoserial\src\test\java\ysoserial\payloads\JRMPReverseConnectTest.java,ysoserial.payloads.JRMPReverseConnectTest,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,class,1,0,2,1.0,0.0,27,0,7,0,1,3,4
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\BeanShell1.java,ysoserial.payloads.BeanShell1,0.0,0.0,9.0,1.0,0.1,-1.0,6.0,class,2,1,8,0.0,0.0,18,0,9,0,0,2,2
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\JavassistWeld1.java,ysoserial.payloads.JavassistWeld1.1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,1,,0.0,5,0,0,0,0,1,1
