file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-compatibility-tests\zookeeper-compatibility-tests-curator\src\test\java\org\apache\zookeeper\compatibility\TestApacheCuratorCompatibility.java,org.apache.zookeeper.compatibility.TestApacheCuratorCompatibility,0.0,-1.0,3.0,1.0,0.25,-1.0,3.0,class,1,1,4,,0.5,36,0,17,0,1,2,3
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java,org.apache.zookeeper.util.FatJarMain.Cmd,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,innerclass,1,0,0,,0.0,10,0,0,0,3,1,1
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java,org.apache.zookeeper.util.FatJarMain,0.0,-1.0,13.0,1.0,0.071428575,-1.0,5.0,class,1,1,2,,0.0,74,0,17,1,2,2,14
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\MeasureThroughput.java,org.apache.zookeeper.graph.MeasureThroughput,0.0,-1.0,2.0,6.0,0.75,-1.0,2.0,class,1,0,4,,0.0,60,0,12,0,3,1,10
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\LogServer.java,org.apache.zookeeper.graph.LogServer,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,class,2,1,11,0.0,0.0,25,0,7,0,0,2,3
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\servlets\FileLoader.java,org.apache.zookeeper.graph.servlets.FileLoader,1.0,1.0,1.0,0.0,0.0,0.0,1.0,class,3,1,4,1.0,0.0,20,0,5,0,1,2,3
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\JsonGenerator.java,org.apache.zookeeper.graph.JsonGenerator.Message,0.0,-1.0,0.0,6.0,1.0,-1.0,0.0,innerclass,1,0,1,1.0,0.0,13,0,0,0,3,2,5
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource.Log4JSourceIterator,0.0,-1.0,10.0,25.0,0.71428573,-1.0,4.0,innerclass,1,0,9,0.75,0.6666667,150,0,24,0,9,9,39
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\Arg.java,org.apache.zookeeper.graph.filterops.Arg,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,class,1,7,2,1.0,0.375,16,0,0,0,2,4,4
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\StringArg.java,org.apache.zookeeper.graph.filterops.StringArg,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,class,2,1,1,,0.0,6,0,0,0,0,1,1
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\servlets\GraphData.java,org.apache.zookeeper.graph.servlets.GraphData,1.0,1.0,5.0,1.0,0.16666667,0.0,2.0,class,3,2,9,1.0,0.33333334,37,0,11,0,3,2,8
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\TxnLogSource.java,org.apache.zookeeper.graph.TxnLogSource.TxnLogSourceIterator,0.0,-1.0,50.0,11.0,0.18032786,-1.0,13.0,innerclass,1,0,19,0.71428573,0.65625,167,0,31,0,8,8,40
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource.3,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,2,,0.0,6,0,2,0,0,1,1
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\servlets\NumEvents.java,org.apache.zookeeper.graph.servlets.NumEvents,1.0,1.0,5.0,0.0,0.0,0.0,2.0,class,3,2,7,1.0,0.5,40,0,11,0,3,2,6
