file,class,method,ATFD,ATLD,LAA,FDP,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java,org.apache.zookeeper.util.FatJarMain,main/1[java.lang.String[]],11.0,0.0,0.0,5.0,0,2,11,46,2,8,1,1,0,0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\MeasureThroughput.java,org.apache.zookeeper.graph.MeasureThroughput,main/1[java.lang.String[]],2.0,6.0,0.75,2.0,0,4,10,55,0,20,1,1,0,0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\LogServer.java,org.apache.zookeeper.graph.LogServer,main/1[java.lang.String[]],1.0,0.0,0.0,1.0,0,2,2,13,0,2,1,0,0,0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\EqualsOp.java,org.apache.zookeeper.graph.filterops.EqualsOp,matches/1[org.apache.zookeeper.graph.LogEntry],5.0,1.0,0.16666667,3.0,0,3,5,15,2,3,1,1,0,0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource,main/1[java.lang.String[]],3.0,0.0,0.0,2.0,0,4,2,49,0,7,1,0,3,0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\FilterOp.java,org.apache.zookeeper.graph.FilterOp,addArg/1[org.apache.zookeeper.graph.filterops.Arg],0.0,0.0,-1.0,0.0,1,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\FilterOp.java,org.apache.zookeeper.graph.FilterOp,addSubOp/1[org.apache.zookeeper.graph.FilterOp],0.0,0.0,-1.0,0.0,1,0,1,3,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\FilterOp.java,org.apache.zookeeper.graph.FilterOp,matches/1[org.apache.zookeeper.graph.LogEntry],0.0,0.0,-1.0,0.0,8,0,1,1,0,0,1,0,0,0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\FilterOp.java,org.apache.zookeeper.graph.FilterOp,newOp/1[java.lang.String],0.0,0.0,-1.0,0.0,1,8,8,10,7,0,1,0,0,0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\MergedLogSource.java,org.apache.zookeeper.graph.MergedLogSource,addSource/1[java.lang.String],4.0,8.0,0.6666667,1.0,2,6,5,13,0,1,1,0,0,0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\MergedLogSource.java,org.apache.zookeeper.graph.MergedLogSource,main/1[java.lang.String[]],0.0,0.0,-1.0,0.0,0,3,1,12,0,2,1,0,0,0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\JsonGenerator.java,org.apache.zookeeper.graph.JsonGenerator,main/1[java.lang.String[]],0.0,0.0,-1.0,0.0,0,3,1,5,0,2,1,0,0,0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\JsonGenerator.java,org.apache.zookeeper.graph.JsonGenerator,txnEntry/1[org.apache.zookeeper.graph.TransactionEntry],6.0,0.0,0.0,2.0,1,6,1,11,1,1,1,0,0,0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\GreaterThanOp.java,org.apache.zookeeper.graph.filterops.GreaterThanOp,matches/1[org.apache.zookeeper.graph.LogEntry],14.0,1.0,0.06666667,4.0,0,4,15,44,4,7,1,1,0,0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\NotOp.java,org.apache.zookeeper.graph.filterops.NotOp,matches/1[org.apache.zookeeper.graph.LogEntry],1.0,0.0,0.0,1.0,0,2,2,6,1,0,1,0,0,0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\LogSkipList.java,org.apache.zookeeper.graph.LogSkipList,findMarkBefore/1[long],2.0,1.0,0.33333334,2.0,4,1,5,16,1,1,1,1,0,0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\OrOp.java,org.apache.zookeeper.graph.filterops.OrOp,matches/1[org.apache.zookeeper.graph.LogEntry],0.0,1.0,1.0,0.0,0,1,3,8,2,0,1,1,0,0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\FilterParser.java,org.apache.zookeeper.graph.FilterParser,main/1[java.lang.String[]],1.0,0.0,0.0,1.0,0,2,2,8,0,0,1,0,0,0
