file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-compatibility-tests\zookeeper-compatibility-tests-curator\src\test\java\org\apache\zookeeper\compatibility\TestApacheCuratorCompatibility.java,org.apache.zookeeper.compatibility.TestApacheCuratorCompatibility,0.0,-1.0,3.0,1.0,0.25,-1.0,3.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java,org.apache.zookeeper.util.FatJarMain$Cmd,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java,org.apache.zookeeper.util.FatJarMain,0.0,-1.0,13.0,1.0,0.071428575,-1.0,5.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\MeasureThroughput.java,org.apache.zookeeper.graph.MeasureThroughput,0.0,-1.0,2.0,6.0,0.75,-1.0,2.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\LogServer.java,org.apache.zookeeper.graph.LogServer,0.0,0.0,1.0,0.0,0.0,-1.0,1.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\servlets\FileLoader.java,org.apache.zookeeper.graph.servlets.FileLoader,1.0,1.0,1.0,0.0,0.0,0.0,1.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\JsonGenerator.java,org.apache.zookeeper.graph.JsonGenerator$Message,0.0,-1.0,0.0,6.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource$Log4JSourceIterator,0.0,-1.0,10.0,25.0,0.71428573,-1.0,4.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\Arg.java,org.apache.zookeeper.graph.filterops.Arg,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\StringArg.java,org.apache.zookeeper.graph.filterops.StringArg,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\servlets\GraphData.java,org.apache.zookeeper.graph.servlets.GraphData,1.0,1.0,5.0,1.0,0.16666667,0.0,2.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\TxnLogSource.java,org.apache.zookeeper.graph.TxnLogSource$TxnLogSourceIterator,0.0,-1.0,50.0,11.0,0.18032786,-1.0,13.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource$3,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\servlets\NumEvents.java,org.apache.zookeeper.graph.servlets.NumEvents,1.0,1.0,5.0,0.0,0.0,0.0,2.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\TransactionEntry.java,org.apache.zookeeper.graph.TransactionEntry,0.0,0.14285715,7.0,5.0,0.41666666,-1.0,2.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\LogSkipList.java,org.apache.zookeeper.graph.LogSkipList$Mark,0.0,-1.0,0.0,6.0,1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\EqualsOp.java,org.apache.zookeeper.graph.filterops.EqualsOp,2.0,1.0,5.0,1.0,0.16666667,0.5,3.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource,0.0,-1.0,7.0,24.0,0.7741935,-1.0,4.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\servlets\Fs.java,org.apache.zookeeper.graph.servlets.Fs,1.0,1.0,5.0,0.0,0.0,0.0,2.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\FilterException.java,org.apache.zookeeper.graph.FilterException,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\servlets\Throughput.java,org.apache.zookeeper.graph.servlets.Throughput,1.0,1.0,10.0,3.0,0.23076923,0.0,5.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\servlets\JsonServlet.java,org.apache.zookeeper.graph.servlets.JsonServlet$JsonRequest,0.0,-1.0,4.0,0.0,0.0,-1.0,2.0
