file,class,method,ATFD,ATLD,LAA,FDP
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-compatibility-tests\zookeeper-compatibility-tests-curator\src\test\java\org\apache\zookeeper\compatibility\TestApacheCuratorCompatibility.java,org.apache.zookeeper.compatibility.TestApacheCuratorCompatibility,"poll/1[java.util.concurrent.BlockingQueue]",1.0,1.0,0.5,1.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-compatibility-tests\zookeeper-compatibility-tests-curator\src\test\java\org\apache\zookeeper\compatibility\TestApacheCuratorCompatibility.java,org.apache.zookeeper.compatibility.TestApacheCuratorCompatibility,"testBasicUsageOfApisAndRecipes/0[]",2.0,0.0,0.0,2.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java,org.apache.zookeeper.util.FatJarMain,"doHelp/0[]",2.0,1.0,0.33333334,2.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java,org.apache.zookeeper.util.FatJarMain,"main/1[java.lang.String[]]",11.0,0.0,0.0,5.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\MeasureThroughput.java,org.apache.zookeeper.graph.MeasureThroughput,"main/1[java.lang.String[]]",2.0,6.0,0.75,2.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\LogServer.java,org.apache.zookeeper.graph.LogServer,"main/1[java.lang.String[]]",1.0,0.0,0.0,1.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\servlets\FileLoader.java,org.apache.zookeeper.graph.servlets.FileLoader,"handleRequest/1[org.apache.zookeeper.graph.servlets.JsonServlet$JsonRequest]",1.0,0.0,0.0,1.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\JsonGenerator.java,org.apache.zookeeper.graph.JsonGenerator$Message,"equals/1[org.apache.zookeeper.graph.JsonGenerator$Message]",0.0,6.0,1.0,0.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource$Log4JSourceIterator,"close/0[]",0.0,0.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource$Log4JSourceIterator,"hasNext/0[]",0.0,1.0,1.0,0.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource$Log4JSourceIterator,"next/0[]",1.0,5.0,0.8333333,1.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource$Log4JSourceIterator,"readNextEntry/0[]",3.0,10.0,0.7692308,1.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource$Log4JSourceIterator,"remove/0[]",0.0,0.0,-1.0,0.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource$Log4JSourceIterator,"size/0[]",6.0,7.0,0.53846157,4.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\Log4JSource.java,org.apache.zookeeper.graph.Log4JSource$Log4JSourceIterator,"toString/0[]",0.0,2.0,1.0,0.0
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-loggraph\src\main\java\org\apache\zookeeper\graph\filterops\Arg.java,org.apache.zookeeper.graph.filterops.Arg,"getType/0[]",0.0,1.0,1.0,0.0
