file,class,type,line,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\sugii syuji\gitProject\CoreNLP\itest\src\edu\stanford\nlp\naturalli\OpenIEITest.java,edu.stanford.nlp.naturalli.OpenIEITest$Anonymous136,anonymous,136,0,0,0,0,1,1,0,1,0,0.0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\parser\lexparser\EnglishTreebankParserParams.java,edu.stanford.nlp.parser.lexparser.EnglishTreebankParserParams$EnglishSubcategoryStripper,innerclass,54,8,8,0,8,26,1,0,22,0,0.0,,,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,91,5,4,8,0,1,10,13,34,2,25,5,0,0,0,34,4,0
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\trees\Treebank.java,edu.stanford.nlp.trees.Treebank,class,26,15,42,27,15,74,2,5,47,217,0.89393944,0.030303031,0.043290045,22,0,22,0,0,0,22,3,0,0,3,1,1,2,0,0,1,0,6,284,7,7,15,0,4,67,38,58,31,47,5,0,1,1,335,1025,0
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\parser\ViterbiParserWithOptions.java,edu.stanford.nlp.parser.ViterbiParserWithOptions,interface,10,1,1,0,1,1,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\parser\lexparser\GermanUnknownWordModelTrainer.java,edu.stanford.nlp.parser.lexparser.GermanUnknownWordModelTrainer,class,6,3,3,0,3,2,3,0,0,0,0.0,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,2,0,1,1,0,0,0,15,1,0
C:\Users\sugii syuji\gitProject\CoreNLP\itest\src\edu\stanford\nlp\coref\NeuralChineseCorefBenchmarkSlowITest.java,edu.stanford.nlp.coref.NeuralChineseCorefBenchmarkSlowITest,class,8,2,2,0,2,1,2,0,2,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,1,5,0,0,0,0,0,0,35,1,0
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\coref\data\DocumentPreprocessor.java,edu.stanford.nlp.coref.data.DocumentPreprocessor$Anonymous141,anonymous,141,1,1,0,1,3,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,3,0,0,0,0,0,0,0,4,-1,0
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\simple\GermanSentence.java,edu.stanford.nlp.simple.GermanSentence$Anonymous34,anonymous,34,1,1,0,1,2,1,0,3,0,0.0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,13,0,1,0,1,1,0,0,0,19,-1,0
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\util\BinaryHeapPriorityQueue.java,edu.stanford.nlp.util.BinaryHeapPriorityQueue,class,15,8,11,3,8,86,3,0,60,814,0.85606056,0.055172414,0.064367816,44,1,30,14,0,0,30,0,0,0,3,1,0,3,0,0,2,0,10,306,44,6,14,0,6,5,31,55,11,39,3,0,1,0,209,1,0
C:\Users\sugii syuji\gitProject\CoreNLP\src\edu\stanford\nlp\ling\tokensregex\SequencePattern.java,edu.stanford.nlp.ling.tokensregex.SequencePattern$BackRefState,innerclass,1565,8,8,0,8,9,2,0,14,0,0.33333334,0.6666667,1.0,3,0,1,0,2,0,3,0,0,0,2,0,0,2,0,0,2,0,0,52,7,0,3,0,0,0,1,10,2,10,4,0,0,0,23,8,0
