file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest,stopThreads/1[java.util.List<com.zaxxer.hikari.pool.PostgresTest.PostgresWorkerThread>],False,142,1,2,1,1,2,1,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,8,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest,assertZeroErrors/1[java.util.List<com.zaxxer.hikari.pool.PostgresTest.PostgresWorkerThread>],False,126,1,2,1,1,2,2,5,0,0,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,9,10,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest,afterTest/0,False,54,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest,testCase1/0,False,59,3,7,0,7,1,8,9,0,1,0,8,2,3,0,0,0,0,0,6,1,0,0,0,0,0,9,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest,testCase4/0,False,95,3,8,0,8,1,8,10,0,1,0,8,2,3,0,0,0,0,0,6,1,0,0,0,0,0,10,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest,beforeTest/0,False,48,2,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest,testCase3/0,False,83,3,6,0,6,1,7,8,0,1,0,7,2,3,0,0,0,0,0,5,1,0,0,0,0,0,9,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest,"exerciseDataSource/2[com.zaxxer.hikari.HikariDataSource,int]",False,116,5,7,1,6,2,7,10,0,2,2,7,3,1,1,0,0,0,0,2,2,0,1,0,0,0,18,10,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest,createConfig/1[com.zaxxer.hikari.pool.PostgreSQLContainer<?>],False,188,3,9,4,5,1,9,8,1,1,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,10,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest,"exerciseConfig/2[com.zaxxer.hikari.HikariConfig,int]",False,108,3,7,4,3,1,3,7,0,1,2,3,1,2,0,0,1,0,0,0,1,0,1,0,0,0,11,10,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest,before/0,False,183,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest,"startThreads/2[com.zaxxer.hikari.HikariDataSource,int]",False,132,2,2,1,1,2,2,9,1,3,2,2,0,0,1,0,0,0,0,1,3,0,1,0,0,0,13,8,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\PostgresTest.java,com.zaxxer.hikari.pool.PostgresTest,testCase2/0,False,71,3,6,0,6,1,7,8,0,1,0,7,2,3,0,0,0,0,0,5,1,0,0,0,0,0,9,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\util\TomcatConcurrentBagLeakTest.java,com.zaxxer.hikari.util.TomcatConcurrentBagLeakTest$PoolEntry,getState/0,False,99,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\util\TomcatConcurrentBagLeakTest.java,com.zaxxer.hikari.util.TomcatConcurrentBagLeakTest$PoolEntry,setState/1[int],False,93,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\util\TomcatConcurrentBagLeakTest.java,com.zaxxer.hikari.util.TomcatConcurrentBagLeakTest$PoolEntry,"compareAndSet/2[int,int]",False,86,0,0,0,0,1,0,4,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\metrics\prometheus\HikariCPCollectorTest.java,com.zaxxer.hikari.metrics.prometheus.HikariCPCollectorTest,poolStatsRemovedAfterShutDown/0,False,148,5,9,0,9,1,9,27,0,3,0,9,1,1,0,0,2,0,26,7,5,0,2,0,0,0,26,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\metrics\prometheus\HikariCPCollectorTest.java,com.zaxxer.hikari.metrics.prometheus.HikariCPCollectorTest,setupCollectorRegistry/0,False,45,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\metrics\prometheus\HikariCPCollectorTest.java,com.zaxxer.hikari.metrics.prometheus.HikariCPCollectorTest,poolStatsWithPredefinedValues/0,False,206,2,2,1,1,1,0,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,15,2,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\metrics\prometheus\HikariCPCollectorTest.java,com.zaxxer.hikari.metrics.prometheus.HikariCPCollectorTest,"getValue/2[java.lang.String,java.lang.String]",False,199,0,6,6,0,1,1,5,1,2,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,8,2,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\metrics\prometheus\HikariCPCollectorTest.java,com.zaxxer.hikari.metrics.prometheus.HikariCPCollectorTest,testHikariCPCollectorGaugesMetricsInitialization/0,False,182,4,5,0,5,2,11,14,0,3,0,11,2,1,0,1,0,0,13,8,2,0,0,0,0,1,21,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\metrics\prometheus\HikariCPCollectorTest.java,com.zaxxer.hikari.metrics.prometheus.HikariCPCollectorTest,connection1/0,False,96,7,9,0,9,1,9,19,0,3,0,9,1,1,0,0,1,0,13,8,5,0,1,0,0,0,22,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\metrics\prometheus\HikariCPCollectorTest.java,com.zaxxer.hikari.metrics.prometheus.HikariCPCollectorTest,noConnectionWithoutPoolName/0,False,73,6,9,0,9,1,8,19,0,3,0,8,1,1,0,0,1,0,7,7,5,0,1,0,0,0,22,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\metrics\prometheus\HikariCPCollectorTest.java,com.zaxxer.hikari.metrics.prometheus.HikariCPCollectorTest,noConnection/0,False,51,6,7,0,7,1,7,18,0,2,0,7,1,1,0,0,1,0,13,7,4,0,1,0,0,0,19,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\metrics\prometheus\HikariCPCollectorTest.java,com.zaxxer.hikari.metrics.prometheus.HikariCPCollectorTest,connectionClosed/0,False,122,6,8,0,8,1,8,20,0,3,0,8,1,1,0,0,2,0,13,7,5,0,2,0,0,0,22,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\metrics\prometheus\PrometheusHistogramMetricsTracker.java,com.zaxxer.hikari.metrics.prometheus.PrometheusHistogramMetricsTracker,registerMetrics/1[com.zaxxer.hikari.metrics.prometheus.CollectorRegistry],False,84,1,1,1,0,2,2,8,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,2,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\metrics\prometheus\PrometheusHistogramMetricsTracker.java,com.zaxxer.hikari.metrics.prometheus.PrometheusHistogramMetricsTracker,"registerHistogram/3[java.lang.String,java.lang.String,double]",False,56,1,0,0,0,1,6,3,1,0,3,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,6,10,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\metrics\prometheus\PrometheusHistogramMetricsTracker.java,com.zaxxer.hikari.metrics.prometheus.PrometheusHistogramMetricsTracker,"PrometheusHistogramMetricsTracker/3[java.lang.String,com.zaxxer.hikari.metrics.prometheus.CollectorRegistry,com.zaxxer.hikari.metrics.prometheus.HikariCPCollector]",True,74,3,2,1,1,1,2,9,0,0,3,2,1,1,0,0,0,0,0,0,6,0,0,0,0,0,13,0,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\metrics\prometheus\PrometheusHistogramMetricsTracker.java,com.zaxxer.hikari.metrics.prometheus.PrometheusHistogramMetricsTracker,recordConnectionAcquiredNanos/1[long],False,94,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\metrics\prometheus\PrometheusHistogramMetricsTracker.java,com.zaxxer.hikari.metrics.prometheus.PrometheusHistogramMetricsTracker,close/0,False,114,1,1,0,1,1,2,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\metrics\prometheus\PrometheusHistogramMetricsTracker.java,com.zaxxer.hikari.metrics.prometheus.PrometheusHistogramMetricsTracker,recordConnectionCreatedMillis/1[long],False,104,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\metrics\prometheus\PrometheusHistogramMetricsTracker.java,com.zaxxer.hikari.metrics.prometheus.PrometheusHistogramMetricsTracker,recordConnectionUsageMillis/1[long],False,99,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\metrics\prometheus\PrometheusHistogramMetricsTracker.java,com.zaxxer.hikari.metrics.prometheus.PrometheusHistogramMetricsTracker,recordConnectionTimeout/0,False,109,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\FastList.java,com.zaxxer.hikari.util.FastList,"set/2[int,T]",False,177,1,0,0,0,1,0,5,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,True
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\FastList.java,com.zaxxer.hikari.util.FastList,removeLast/0,False,113,1,0,0,0,1,0,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,30,1,0,True
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\FastList.java,com.zaxxer.hikari.util.FastList,toArray/1[E[]],False,245,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,True
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\FastList.java,com.zaxxer.hikari.util.FastList,add/1[T],False,75,1,0,0,0,2,2,14,1,3,1,2,0,0,0,0,0,0,1,3,6,1,1,0,0,0,16,1,0,True
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\FastList.java,com.zaxxer.hikari.util.FastList,remove/1[java.lang.Object],False,128,0,0,0,0,4,1,13,2,2,1,1,0,0,1,1,0,0,0,5,3,3,3,0,0,0,28,1,0,True
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\FastList.java,com.zaxxer.hikari.util.FastList,isEmpty/0,False,170,0,0,0,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,True
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\FastList.java,com.zaxxer.hikari.util.FastList,forEach/1[java.util.function.Consumer<? super T>],False,336,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,True
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\FastList.java,com.zaxxer.hikari.util.FastList,addAll/1[java.util.Collection<? extends T>],False,259,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,True
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\FastList.java,com.zaxxer.hikari.util.FastList,clone/0,False,329,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,True
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\FastList.java,com.zaxxer.hikari.util.FastList,remove/1[int],False,186,1,0,0,0,3,1,12,2,2,1,1,0,0,0,1,0,0,0,4,3,2,1,0,0,0,8,1,0,True
C:\Users\sugii syuji\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\FastList.java,com.zaxxer.hikari.util.FastList,replaceAll/1[java.util.function.UnaryOperator<T>],False,357,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,True
