file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\DictSegment.java,org.wltea.analyzer.dic.DictSegment,compareTo/1[org.wltea.analyzer.dic.DictSegment],False,321,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\DictSegment.java,org.wltea.analyzer.dic.DictSegment,"lookforSegment/2[java.lang.Character,int]",False,220,1,5,1,4,8,7,36,1,6,2,7,3,1,0,4,0,0,0,5,12,0,3,0,0,0,28,2,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\DictSegment.java,org.wltea.analyzer.dic.DictSegment,DictSegment/1[java.lang.Character],True,58,0,8,8,0,2,0,6,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,9,0,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\DictSegment.java,org.wltea.analyzer.dic.DictSegment,match/1[char[]],False,81,3,2,1,1,1,1,3,1,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\DictSegment.java,org.wltea.analyzer.dic.DictSegment,hasNextNode/0,False,72,0,1,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\DictSegment.java,org.wltea.analyzer.dic.DictSegment,getChildrenMap/0,False,295,1,1,1,0,2,0,8,1,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0,0,0,16,2,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\DictSegment.java,org.wltea.analyzer.dic.DictSegment,disableSegment/1[char[]],False,177,2,2,1,1,1,1,3,0,0,1,1,1,3,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\DictSegment.java,org.wltea.analyzer.dic.DictSegment,fillSegment/1[char[]],False,169,2,5,4,1,1,1,3,0,0,1,1,1,3,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\DictSegment.java,org.wltea.analyzer.dic.DictSegment,getNodeChar/0,False,65,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\DictSegment.java,org.wltea.analyzer.dic.DictSegment,"match/3[char[],int,int]",False,92,3,4,3,1,1,1,3,1,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\DictSegment.java,org.wltea.analyzer.dic.DictSegment,"fillSegment/4[char[],int,int,int]",False,188,2,5,3,2,5,5,17,0,3,4,5,2,2,0,3,0,0,0,4,5,2,2,0,0,0,14,34,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\DictSegment.java,org.wltea.analyzer.dic.DictSegment,getChildrenArray/0,False,282,1,1,1,0,2,0,8,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,4,2,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\DictSegment.java,org.wltea.analyzer.dic.DictSegment,"match/4[char[],int,int,org.wltea.analyzer.dic.Hit]",False,104,3,14,4,10,10,11,40,3,6,4,11,2,1,0,6,0,0,0,7,9,2,3,0,0,0,17,0,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\DictSegment.java,org.wltea.analyzer.dic.DictSegment,"migrate/2[org.wltea.analyzer.dic.DictSegment[],java.util.Map<java.lang.Character,org.wltea.analyzer.dic.DictSegment>]",False,308,1,1,1,0,3,1,7,0,0,2,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,7,2,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\LetterSegmenter.java,org.wltea.analyzer.core.LetterSegmenter,isLetterConnector/1[char],False,276,0,1,1,0,2,1,4,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,2,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\LetterSegmenter.java,org.wltea.analyzer.core.LetterSegmenter,isNumConnector/1[char],False,286,0,1,1,0,2,1,4,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,2,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\LetterSegmenter.java,org.wltea.analyzer.core.LetterSegmenter,analyze/1[org.wltea.analyzer.core.AnalyzeContext],False,90,2,5,0,5,2,5,12,0,1,1,5,3,3,0,0,0,0,0,0,4,0,1,0,0,0,17,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\LetterSegmenter.java,org.wltea.analyzer.core.LetterSegmenter,processArabicLetter/1[org.wltea.analyzer.core.AnalyzeContext],False,227,3,9,1,8,11,7,35,1,3,1,7,1,1,0,8,0,1,0,11,12,4,2,0,0,0,12,2,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\LetterSegmenter.java,org.wltea.analyzer.core.LetterSegmenter,processMixLetter/1[org.wltea.analyzer.core.AnalyzeContext],False,127,3,9,1,8,13,7,36,1,3,1,7,1,1,0,10,0,1,0,11,13,4,2,0,0,0,14,2,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\LetterSegmenter.java,org.wltea.analyzer.core.LetterSegmenter,reset/0,False,111,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,1,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\LetterSegmenter.java,org.wltea.analyzer.core.LetterSegmenter,processEnglishLetter/1[org.wltea.analyzer.core.AnalyzeContext],False,181,2,7,1,6,9,5,33,1,3,1,5,0,0,0,7,0,1,0,11,12,4,2,0,0,0,12,2,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\LetterSegmenter.java,org.wltea.analyzer.core.LetterSegmenter,LetterSegmenter/0,True,75,0,1,1,0,1,1,10,0,0,0,1,0,0,0,0,0,0,0,6,6,0,0,0,0,0,5,0,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,getLexemeText/0,False,186,0,1,1,0,2,0,6,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,5,1,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,"Lexeme/4[int,int,int,int]",True,65,0,7,7,0,2,0,9,0,0,4,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,9,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,setOffset/1[int],False,140,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,getLexemeType/0,False,207,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,compareTo/1[org.wltea.analyzer.core.Lexeme],False,117,1,3,1,2,5,2,19,5,0,1,2,2,1,0,2,0,0,0,5,0,0,2,0,0,0,4,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,equals/1[java.lang.Object],False,80,1,3,0,3,7,3,20,5,1,1,3,3,1,0,5,0,0,0,0,1,0,2,0,0,0,8,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,toString/0,False,275,1,3,0,3,1,6,7,1,1,0,6,3,1,0,0,0,0,3,0,1,0,0,0,0,0,4,1,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,"append/2[org.wltea.analyzer.core.Lexeme,int]",False,261,1,4,1,3,3,3,10,2,0,2,3,3,1,0,2,0,0,0,0,2,0,1,0,0,0,8,1,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,getLexemeTypeString/0,False,215,0,2,2,0,10,0,24,10,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,5,1,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,getLength/0,False,171,0,14,14,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,getOffset/0,False,136,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,setBegin/1[int],False,155,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,getEndPosition/0,False,163,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,setLexemeType/1[int],False,251,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,setLexemeText/1[java.lang.String],False,193,0,1,1,0,2,1,10,0,0,1,1,0,0,0,1,0,0,1,1,4,0,1,0,0,0,5,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,setLength/1[int],False,175,0,0,0,0,2,0,6,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,6,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,getBegin/0,False,144,0,9,9,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,getBeginPosition/0,False,151,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\Lexeme.java,org.wltea.analyzer.core.Lexeme,hashCode/0,False,107,1,3,0,3,1,3,5,1,2,0,3,3,1,0,0,0,4,0,3,2,6,0,0,0,0,8,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Dictionary.java,org.wltea.analyzer.dic.Dictionary$Anonymous178,"visitFileFailed/2[java.nio.file.Path,java.io.IOException]",False,185,0,0,0,0,1,1,4,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,1,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Dictionary.java,org.wltea.analyzer.dic.Dictionary$Anonymous178,"visitFile/2[java.nio.file.Path,java.nio.file.attribute.BasicFileAttributes]",False,180,0,0,0,0,1,2,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\help\PrefixPluginLogger.java,org.wltea.analyzer.help.PrefixPluginLogger,"PrefixPluginLogger/3[org.wltea.analyzer.help.ExtendedLogger,java.lang.String,java.lang.String]",True,25,4,1,1,0,3,2,17,0,4,3,2,0,0,0,2,0,0,1,0,6,0,2,0,0,0,16,0,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\help\PrefixPluginLogger.java,org.wltea.analyzer.help.PrefixPluginLogger,prefix/0,False,21,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\help\PrefixPluginLogger.java,org.wltea.analyzer.help.PrefixPluginLogger,"logMessage/5[java.lang.String,org.wltea.analyzer.help.Level,org.wltea.analyzer.help.Marker,org.wltea.analyzer.help.Message,java.lang.Throwable]",False,43,3,0,0,0,2,1,4,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\help\PrefixPluginLogger.java,org.wltea.analyzer.help.PrefixPluginLogger,markersSize/0,False,17,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\help\Sleep.java,org.wltea.analyzer.help.Sleep,"sleep/2[org.wltea.analyzer.help.Sleep.Type,int]",False,13,1,0,0,0,6,4,24,5,0,2,4,0,0,0,0,1,0,1,6,0,3,2,0,0,0,7,9,1,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\elasticsearch\plugin\analysis\ik\AnalysisIkPlugin.java,org.elasticsearch.plugin.analysis.ik.AnalysisIkPlugin,getTokenizers/0,False,21,1,0,0,0,1,1,6,1,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\elasticsearch\plugin\analysis\ik\AnalysisIkPlugin.java,org.elasticsearch.plugin.analysis.ik.AnalysisIkPlugin,getAnalyzers/0,False,32,2,0,0,0,1,1,6,1,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\ISegmenter.java,org.wltea.analyzer.core.ISegmenter,reset/0,False,44,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\ISegmenter.java,org.wltea.analyzer.core.ISegmenter,analyze/1[org.wltea.analyzer.core.AnalyzeContext],False,38,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\lucene\IKTokenizer.java,org.wltea.analyzer.lucene.IKTokenizer,IKTokenizer/1[org.wltea.analyzer.cfg.Configuration],True,69,6,3,2,1,1,1,8,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,17,1,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\lucene\IKTokenizer.java,org.wltea.analyzer.lucene.IKTokenizer,end/0,False,123,0,0,0,0,1,5,6,0,1,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,17,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\lucene\IKTokenizer.java,org.wltea.analyzer.lucene.IKTokenizer,reset/0,False,116,1,1,0,1,1,2,5,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\lucene\IKTokenizer.java,org.wltea.analyzer.lucene.IKTokenizer,incrementToken/0,False,83,2,6,0,6,2,13,15,2,1,0,13,0,0,0,1,0,0,0,2,3,1,1,0,0,0,18,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,setUnmatch/0,False,89,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,getBegin/0,False,101,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,setPrefix/0,False,77,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,isUnmatch/0,False,83,0,2,2,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,1,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,getEnd/0,False,109,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,isMatch/0,False,58,0,3,3,0,2,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,1,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,setBegin/1[int],False,105,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,getMatchedDictSegment/0,False,93,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,setMatch/0,False,64,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,setEnd/1[int],False,113,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,isPrefix/0,False,71,0,2,2,0,2,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,1,0,True
C:\Users\sugii syuji\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,setMatchedDictSegment/1[org.wltea.analyzer.dic.DictSegment],False,97,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,False
