file,class,type,line,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Color.java,com.github.javafaker.Color,class,3,4,7,3,4,5,1,0,5,0,0.25,0.5,0.5,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,1,0,0,17,4,0,0,0,0,2,1,2,1,2,1,0,0,0,10,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Address.java,com.github.javafaker.Address,class,3,5,11,6,5,27,1,0,13,0,0.0,1.0,1.0,26,0,25,0,1,0,26,0,0,0,1,0,0,1,0,0,1,0,3,85,25,0,0,0,2,23,5,3,7,2,1,0,0,0,30,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\HitchhikersGuideToTheGalaxy.java,com.github.javafaker.HitchhikersGuideToTheGalaxy,class,3,2,4,2,2,8,1,0,2,0,0.0,1.0,1.0,8,0,7,0,1,0,8,0,0,0,1,0,0,1,0,0,1,0,0,27,7,0,0,0,0,7,0,1,0,1,0,0,0,0,15,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Crypto.java,com.github.javafaker.Crypto,class,7,3,6,3,3,7,1,0,9,13,0.6666667,0.0,0.0,6,0,4,1,1,0,5,0,0,0,1,0,0,1,0,0,1,0,1,29,5,0,0,1,0,4,3,3,0,3,1,0,0,0,22,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\service\RandomServiceTest.java,com.github.javafaker.service.RandomServiceTest,class,23,7,7,0,7,9,2,0,13,0,0.14285715,0.71428573,0.71428573,7,1,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,2,31,1,2,0,0,0,4,15,4,0,4,1,0,0,0,38,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\HarryPotter.java,com.github.javafaker.HarryPotter,class,3,1,3,2,1,7,1,0,1,0,0.0,1.0,1.0,7,0,6,0,1,0,7,0,0,0,1,0,0,1,0,0,1,0,0,24,6,0,0,0,0,6,0,1,0,1,0,0,0,0,10,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\WeatherTest.java,com.github.javafaker.WeatherTest,class,10,5,5,0,5,7,2,0,10,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,21,0,2,0,0,0,4,8,2,0,2,1,0,0,0,18,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\BeerTest.java,com.github.javafaker.BeerTest,class,8,5,5,0,5,5,2,0,8,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\LordOfTheRingsTest.java,com.github.javafaker.LordOfTheRingsTest,class,11,5,5,0,5,2,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\ProgrammingLanguageTest.java,com.github.javafaker.ProgrammingLanguageTest,class,9,5,5,0,5,2,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Name.java,com.github.javafaker.Name,class,5,3,9,6,3,11,1,0,9,0,0.18181819,0.6545454,0.6545454,11,0,10,0,1,0,11,0,0,0,1,0,0,1,0,0,1,0,0,37,10,0,0,0,0,16,0,2,0,2,0,0,0,0,97,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Number.java,com.github.javafaker.Number,class,5,3,13,10,3,19,1,0,19,60,0.75,0.018181818,0.018181818,12,0,10,1,1,0,11,0,0,0,1,0,0,1,0,0,1,0,6,64,15,1,5,0,0,0,15,16,10,16,1,0,0,0,71,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Nation.java,com.github.javafaker.Nation,class,8,2,4,2,2,6,1,0,9,0,0.4,1.0,1.0,5,0,4,0,1,0,5,0,0,0,2,1,0,2,0,0,2,0,2,24,4,1,0,0,0,6,0,4,0,4,1,0,0,0,25,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\LordOfTheRings.java,com.github.javafaker.LordOfTheRings,class,3,1,3,2,1,3,1,0,1,0,0.0,1.0,1.0,3,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,2,0,1,0,1,0,0,0,0,8,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\ArtistTest.java,com.github.javafaker.ArtistTest,class,8,5,5,0,5,1,2,0,4,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Relationships.java,com.github.javafaker.Relationships,class,8,3,6,3,3,12,1,0,9,0,0.0,1.0,1.0,8,0,7,0,1,0,8,0,0,0,1,0,0,1,0,0,1,0,0,47,7,0,0,1,0,10,0,7,4,6,1,0,0,0,28,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\SpaceTest.java,com.github.javafaker.SpaceTest,class,8,5,5,0,5,13,2,0,16,78,0.0,0.0,0.0,13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13,41,0,0,0,0,0,13,0,0,0,0,0,0,0,0,21,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\GameOfThronesTest.java,com.github.javafaker.GameOfThronesTest,class,10,5,5,0,5,5,2,0,10,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,4,0,0,0,0,0,0,0,0,19,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\HowIMetYourMother.java,com.github.javafaker.HowIMetYourMother,class,3,2,4,2,2,5,1,0,2,0,0.0,1.0,1.0,5,0,4,0,1,0,5,0,0,0,1,0,0,1,0,0,1,0,0,18,4,0,0,0,0,4,0,1,0,1,0,0,0,0,13,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\App.java,com.github.javafaker.App,class,3,2,4,2,2,4,1,0,3,0,0.0,1.0,1.0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,1,0,0,15,3,0,0,0,0,3,0,1,0,1,0,0,0,0,6,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\Dune.java,com.github.javafaker.Dune$Saying,enum,66,0,0,0,0,1,1,0,0,0,0.0,,,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,5,0,1,0,1,0,0,0,0,22,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\repeating\RepeatRule.java,com.github.javafaker.repeating.RepeatRule,class,10,5,6,1,5,2,2,0,2,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,1,0,0,0,0,4,0,3,1,0,1,0,16,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\RobinTest.java,com.github.javafaker.RobinTest,class,8,5,5,0,5,1,2,0,4,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\FriendsTest.java,com.github.javafaker.FriendsTest,class,10,5,5,0,5,3,2,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\CreditCardType.java,com.github.javafaker.CreditCardType,enum,3,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\main\java\com\github\javafaker\SlackEmoji.java,com.github.javafaker.SlackEmoji,class,3,2,4,2,2,10,1,0,3,0,0.0,1.0,1.0,10,0,9,0,1,0,10,0,0,0,1,0,0,1,0,0,1,0,0,33,9,0,0,0,0,9,0,1,0,1,0,0,0,0,17,1,0
C:\Users\sugii syuji\gitProject\java-faker\src\test\java\com\github\javafaker\TwinPeaksTest.java,com.github.javafaker.TwinPeaksTest,class,10,5,5,0,5,3,2,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,1,0
