file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,touch/1[java.lang.String[]],false,155,2,6,4,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"hrandfieldWithValues/2[java.lang.String,long]",false,308,2,4,2,2,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"sscan/3[java.lang.String,java.lang.String,redis.clients.jedis.ScanParams]",false,1129,3,3,1,2,1,2,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,psubscribe/1[java.lang.String[]],false,949,2,4,2,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,clusterSaveConfig/0,false,1250,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"zrangeByScoreWithScores/3[java.lang.String,java.lang.String,java.lang.String]",false,738,2,4,2,2,1,2,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"lpush/2[java.lang.String,java.lang.String[]]",false,318,2,5,2,3,1,3,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"zadd/2[java.lang.String,java.util.Map<java.lang.String,java.lang.Double>]",false,484,4,5,2,3,1,3,4,0,1,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,clientKill/1[java.lang.String],false,1093,2,3,1,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"georadiusReadonly/6[java.lang.String,double,double,double,redis.clients.jedis.GeoUnit,redis.clients.jedis.params.GeoRadiusParam]",false,1321,4,4,2,2,1,2,3,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,blpop/1[java.lang.String[]],false,643,2,5,3,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"zinter/2[redis.clients.jedis.ZParams,java.lang.String[]]",false,829,3,4,2,2,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,subscribe/1[java.lang.String[]],false,957,2,4,2,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"georadiusByMemberReadonly/4[java.lang.String,java.lang.String,double,redis.clients.jedis.GeoUnit]",false,1331,3,4,2,2,1,2,3,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,convertStreamEntryIDsToBinary/1[redis.clients.jedis.StreamEntryID[]],false,1646,3,5,3,2,2,2,7,1,2,1,2,0,0,1,0,0,0,0,1,3,0,1,0,0,0,10,2,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"xpending/6[java.lang.String,java.lang.String,redis.clients.jedis.StreamEntryID,redis.clients.jedis.StreamEntryID,int,java.lang.String]",false,1597,3,5,2,3,4,3,3,0,0,6,3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,7,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"xadd/3[java.lang.String,java.util.Map<java.lang.String,java.lang.String>,redis.clients.jedis.params.XAddParams]",false,1425,4,5,2,3,1,3,3,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"geoadd/3[java.lang.String,redis.clients.jedis.params.GeoAddParams,java.util.Map<java.lang.String,redis.clients.jedis.GeoCoordinate>]",false,1279,5,5,2,3,1,3,3,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"xrevrange/4[java.lang.String,redis.clients.jedis.StreamEntryID,redis.clients.jedis.StreamEntryID,int]",false,1469,3,5,2,3,3,3,3,0,0,4,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,6,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"zmscore/2[java.lang.String,java.lang.String[]]",false,582,2,5,2,3,1,3,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,unlink/1[java.lang.String[]],false,115,2,6,4,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"setex/3[java.lang.String,long,java.lang.String]",false,180,2,4,2,2,1,2,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"incrBy/2[java.lang.String,long]",false,205,2,4,2,2,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,scriptLoad/1[java.lang.String],false,995,2,3,1,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,clusterSetSlotStable/1[int],false,1230,1,2,1,1,1,2,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,watch/1[java.lang.String[]],false,607,2,4,2,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,aclDelUser/1[java.lang.String],false,1381,2,3,1,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"zunionstore/3[java.lang.String,redis.clients.jedis.ZParams,java.lang.String[]]",false,824,3,5,2,3,1,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,hkeys/1[java.lang.String],false,283,2,4,2,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"geopos/2[java.lang.String,java.lang.String[]]",false,1296,2,5,2,3,1,3,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"hset/3[java.lang.String,java.lang.String,java.lang.String]",false,225,2,4,2,2,1,2,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"brpop/2[int,java.lang.String[]]",false,663,2,3,1,2,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\sugii syuji\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"blpop/2[int,java.lang.String[]]",false,648,2,5,3,2,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
