file,class,type,line,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\sugii syuji\gitProject\jsoup\src\test\java\org\jsoup\parser\ParserIT.java,org.jsoup.parser.ParserIT,class,13,4,4,0,4,7,1,0,16,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,28,0,3,0,1,0,7,11,7,2,7,2,0,0,0,33,1,0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\nodes\Attributes.java,org.jsoup.nodes.Attributes$Anonymous285,anonymous,285,2,2,0,2,6,1,0,2,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,18,2,1,0,0,0,0,1,2,0,2,2,0,0,0,11,-1,0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$Anonymous1004,anonymous,1004,7,7,0,7,7,1,0,19,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,36,3,1,1,0,0,0,1,1,0,1,5,0,0,0,17,-1,2
C:\Users\sugii syuji\gitProject\jsoup\src\test\java\org\jsoup\nodes\ElementTest.java,org.jsoup.nodes.ElementTest$Anonymous1763,anonymous,1763,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\nodes\Element.java,org.jsoup.nodes.Element,class,43,48,169,121,48,248,6,3,167,7159,0.93877554,0.040377248,0.098143235,126,6,107,9,5,5,117,0,1,0,7,3,0,6,0,1,3,0,98,745,141,13,42,3,11,34,51,100,16,81,4,2,1,0,525,1,0
C:\Users\sugii syuji\gitProject\jsoup\src\test\java\org\jsoup\parser\TagTest.java,org.jsoup.parser.TagTest,class,13,3,3,0,3,11,1,0,15,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,16,57,0,0,0,0,0,16,0,13,0,13,0,0,0,2,39,1,0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\safety\Cleaner.java,org.jsoup.safety.Cleaner$CleaningVisitor,innerclass,107,8,8,0,8,11,1,0,9,0,0.33333334,1.0,1.0,3,0,2,1,0,0,2,0,0,0,3,0,0,3,0,0,1,0,0,42,0,0,1,0,0,0,1,13,0,10,2,0,0,0,30,18,0
C:\Users\sugii syuji\gitProject\jsoup\src\test\java\org\jsoup\integration\servlets\InterruptedServlet.java,org.jsoup.integration.servlets.InterruptedServlet,class,10,5,6,1,5,4,3,0,12,0,0.33333334,,,1,0,0,0,1,0,1,0,0,0,3,3,3,0,0,0,3,0,1,21,0,1,1,0,0,6,2,8,2,7,1,0,0,0,30,1,0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$Anonymous1545,anonymous,1545,2,2,0,2,5,1,0,6,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,3,0,1,1,0,0,0,14,-1,2
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\HttpStatusException.java,org.jsoup.HttpStatusException,class,8,0,2,2,0,3,4,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,15,2,0,0,0,0,3,0,2,1,2,0,0,0,0,25,1,0
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$Anonymous812,anonymous,812,4,4,0,4,18,1,0,11,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,1,0,0,0,1,3,0,3,2,0,0,0,18,-1,2
C:\Users\sugii syuji\gitProject\jsoup\src\main\java\org\jsoup\helper\HttpConnection.java,org.jsoup.helper.HttpConnection$KeyVal,innerclass,1258,4,4,0,4,14,1,0,4,10,0.65384614,0.3939394,0.6969697,13,2,12,1,0,0,12,0,0,0,4,0,0,4,0,0,0,0,6,56,12,0,1,0,0,6,0,6,1,4,0,0,0,0,18,9,0
