file,class,type,line,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\sugii syuji\gitProject\libgdx\extensions\gdx-tools\src\com\badlogic\gdx\tools\hiero\Hiero.java,com.badlogic.gdx.tools.hiero.Hiero$Splash$Anonymous27$Anonymous29,anonymous,1391,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
C:\Users\sugii syuji\gitProject\libgdx\extensions\gdx-tools\src\com\badlogic\gdx\tools\hiero\Hiero.java,com.badlogic.gdx.tools.hiero.Hiero$Splash$Anonymous27$Anonymous28,anonymous,1381,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\sugii syuji\gitProject\libgdx\extensions\gdx-tools\src\com\badlogic\gdx\tools\headers\HeaderFixer.java,com.badlogic.gdx.tools.headers.HeaderFixer,class,27,3,4,1,3,3,2,0,3,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,0,2,2,0,0,0,2,0,0,5,42,0,0,1,0,0,7,2,1,1,3,1,0,1,0,17,1,0
C:\Users\sugii syuji\gitProject\libgdx\gdx\src\com\badlogic\gdx\graphics\g3d\model\data\ModelTexture.java,com.badlogic.gdx.graphics.g3d.model.data.ModelTexture,class,21,1,4,3,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,16,11,16,0,0,0,11,0,0,18,0,0,0,0,0,0,11,11,0,16,0,0,0,0,33,1,0
C:\Users\sugii syuji\gitProject\libgdx\backends\gdx-backend-android\src\com\badlogic\gdx\backends\android\AndroidFragmentApplication.java,com.badlogic.gdx.backends.android.AndroidFragmentApplication$Callbacks,interface,32,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Users\sugii syuji\gitProject\libgdx\backends\gdx-backends-gwt\src\com\badlogic\gdx\backends\gwt\DefaultGwtAudio.java,com.badlogic.gdx.backends.gwt.DefaultGwtAudio,class,27,10,11,1,10,5,1,0,2,4,0.4,0.3,0.3,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,18,2,0,0,0,0,2,0,2,0,1,0,0,0,0,29,1,0
C:\Users\sugii syuji\gitProject\libgdx\tests\gdx-tests\src\com\badlogic\gdx\tests\BitmapFontFlipTest.java,com.badlogic.gdx.tests.BitmapFontFlipTest,class,32,10,13,3,10,14,3,0,25,0,0.5982144,1.0,1.0,7,0,3,4,0,0,3,0,0,0,8,0,0,7,0,1,0,0,0,119,3,0,0,0,1,19,69,24,19,18,1,1,0,0,59,1,0
C:\Users\sugii syuji\gitProject\libgdx\gdx\src\com\badlogic\gdx\utils\DelayedRemovalArray.java,com.badlogic.gdx.utils.DelayedRemovalArray,class,32,4,6,2,4,55,2,0,25,69,0.69135803,0.41846153,0.41846153,27,1,26,1,0,0,26,0,0,0,3,0,0,3,0,0,0,0,0,138,12,4,5,0,0,12,25,12,1,12,4,0,0,0,102,1,0
C:\Users\sugii syuji\gitProject\libgdx\gdx\src\com\badlogic\gdx\utils\compression\lz\OutWindow.java,com.badlogic.gdx.utils.compression.lz.OutWindow,class,7,2,4,2,2,19,1,0,3,0,0.45,0.64285713,1.0,8,0,8,0,0,0,8,0,0,0,5,0,0,0,0,5,0,0,0,52,2,1,4,0,0,0,13,19,3,8,2,0,0,0,31,1,0
C:\Users\sugii syuji\gitProject\libgdx\gdx\src\com\badlogic\gdx\scenes\scene2d\utils\UIUtils.java,com.badlogic.gdx.scenes.scene2d.utils.UIUtils,class,8,0,6,6,0,22,1,0,4,72,0.89230764,0.015151516,0.015151516,13,12,12,1,0,0,12,0,0,0,5,5,5,0,0,0,0,0,4,47,14,0,10,0,2,8,0,5,0,5,1,0,0,0,17,17,0
