file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\inheritfromconfig\CarEntity.java,org.mapstruct.ap.test.inheritfromconfig.CarEntity,setColor/1[java.lang.String],false,18,0,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\inheritfromconfig\CarEntity.java,org.mapstruct.ap.test.inheritfromconfig.CarEntity,getColor/0,false,14,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1460\Issue1460Mapper.java,org.mapstruct.ap.test.bugs._1460.Issue1460Mapper,forceUsageOfIssue1460Enum/1[org.mapstruct.ap.test.bugs._1460.Issue1460Mapper.Issue1460Enum],false,21,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1025,0,false
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1460\Issue1460Mapper.java,org.mapstruct.ap.test.bugs._1460.Issue1460Mapper,forceUsageOfDateTime/1[org.mapstruct.ap.test.bugs._1460.Issue1460Mapper.DateTime],false,27,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1025,0,false
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1460\Issue1460Mapper.java,org.mapstruct.ap.test.bugs._1460.Issue1460Mapper,map/1[org.mapstruct.ap.test.bugs._1460.Source],false,19,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1025,0,false
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1460\Issue1460Mapper.java,org.mapstruct.ap.test.bugs._1460.Issue1460Mapper,forceUsageOfLocale/1[org.mapstruct.ap.test.bugs._1460.Issue1460Mapper.Locale],false,23,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1025,0,false
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1460\Issue1460Mapper.java,org.mapstruct.ap.test.bugs._1460.Issue1460Mapper,forceUsageOfLocalDate/1[org.mapstruct.ap.test.bugs._1460.Issue1460Mapper.LocalDate],false,25,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1025,0,false
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\MapMappingMethod.java,org.mapstruct.ap.internal.model.MapMappingMethod,getEntryVariableName/0,false,297,1,1,0,1,1,2,3,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\MapMappingMethod.java,org.mapstruct.ap.internal.model.MapMappingMethod,getResultElementTypes/0,false,253,2,2,0,2,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\MapMappingMethod.java,org.mapstruct.ap.internal.model.MapMappingMethod,getImportTypes/0,false,266,3,2,0,2,4,4,13,1,1,0,4,0,0,0,3,0,0,0,0,1,0,1,0,0,0,10,1,0,false
