file,class,method,variable,usage
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\inheritfromconfig\CarEntity.java,org.mapstruct.ap.test.inheritfromconfig.CarEntity,setColor/1[java.lang.String],color,2
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1460\Issue1460Mapper.java,org.mapstruct.ap.test.bugs._1460.Issue1460Mapper,forceUsageOfIssue1460Enum/1[org.mapstruct.ap.test.bugs._1460.Issue1460Mapper.Issue1460Enum],source,0
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1460\Issue1460Mapper.java,org.mapstruct.ap.test.bugs._1460.Issue1460Mapper,forceUsageOfDateTime/1[org.mapstruct.ap.test.bugs._1460.Issue1460Mapper.DateTime],source,0
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1460\Issue1460Mapper.java,org.mapstruct.ap.test.bugs._1460.Issue1460Mapper,map/1[org.mapstruct.ap.test.bugs._1460.Source],source,0
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1460\Issue1460Mapper.java,org.mapstruct.ap.test.bugs._1460.Issue1460Mapper,forceUsageOfLocale/1[org.mapstruct.ap.test.bugs._1460.Issue1460Mapper.Locale],source,0
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1460\Issue1460Mapper.java,org.mapstruct.ap.test.bugs._1460.Issue1460Mapper,forceUsageOfLocalDate/1[org.mapstruct.ap.test.bugs._1460.Issue1460Mapper.LocalDate],source,0
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\MapMappingMethod.java,org.mapstruct.ap.internal.model.MapMappingMethod,getImportTypes/0,types,4
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\MapMappingMethod.java,org.mapstruct.ap.internal.model.MapMappingMethod,"MapMappingMethod/8[org.mapstruct.ap.internal.model.source.Method,java.util.Collection<java.lang.String>,org.mapstruct.ap.internal.model.common.Assignment,org.mapstruct.ap.internal.model.common.Assignment,org.mapstruct.ap.internal.model.MethodReference,boolean,java.util.List<org.mapstruct.ap.internal.model.LifecycleCallbackMethodReference>,java.util.List<org.mapstruct.ap.internal.model.LifecycleCallbackMethodReference>]",factoryMethod,1
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\MapMappingMethod.java,org.mapstruct.ap.internal.model.MapMappingMethod,"MapMappingMethod/8[org.mapstruct.ap.internal.model.source.Method,java.util.Collection<java.lang.String>,org.mapstruct.ap.internal.model.common.Assignment,org.mapstruct.ap.internal.model.common.Assignment,org.mapstruct.ap.internal.model.MethodReference,boolean,java.util.List<org.mapstruct.ap.internal.model.LifecycleCallbackMethodReference>,java.util.List<org.mapstruct.ap.internal.model.LifecycleCallbackMethodReference>]",afterMappingReferences,1
C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\MapMappingMethod.java,org.mapstruct.ap.internal.model.MapMappingMethod,"MapMappingMethod/8[org.mapstruct.ap.internal.model.source.Method,java.util.Collection<java.lang.String>,org.mapstruct.ap.internal.model.common.Assignment,org.mapstruct.ap.internal.model.common.Assignment,org.mapstruct.ap.internal.model.MethodReference,boolean,java.util.List<org.mapstruct.ap.internal.model.LifecycleCallbackMethodReference>,java.util.List<org.mapstruct.ap.internal.model.LifecycleCallbackMethodReference>]",keyAssignment,2
