file,class,method,variable,usage
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\matchers\ExactStringMatcher.java,org.mockserver.matchers.ExactStringMatcher,isBlank/0,matcher,2
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\matchers\ExactStringMatcher.java,org.mockserver.matchers.ExactStringMatcher,fieldsExcludedFromEqualsAndHashCode/0,excludedFields,1
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\matchers\ExactStringMatcher.java,org.mockserver.matchers.ExactStringMatcher,"ExactStringMatcher/2[org.mockserver.logging.MockServerLogger,org.mockserver.model.NottableString]",matcher,3
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\matchers\ExactStringMatcher.java,org.mockserver.matchers.ExactStringMatcher,"ExactStringMatcher/2[org.mockserver.logging.MockServerLogger,org.mockserver.model.NottableString]",mockServerLogger,3
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\matchers\ExactStringMatcher.java,org.mockserver.matchers.ExactStringMatcher,"matches/2[org.mockserver.matchers.MatchDifference,org.mockserver.model.NottableString]",matcher,3
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\matchers\ExactStringMatcher.java,org.mockserver.matchers.ExactStringMatcher,"matches/2[org.mockserver.matchers.MatchDifference,org.mockserver.model.NottableString]",mockServerLogger,1
C:\Users\sugii syuji\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\matchers\ExactStringMatcher.java,org.mockserver.matchers.ExactStringMatcher,"matches/3[java.lang.String,java.lang.String,boolean]",matcher,4
C:\Users\sugii syuji\gitProject\mockserver\mockserver-netty\src\main\java\org\mockserver\dashboard\model\DashboardLogEntryDTO.java,org.mockserver.dashboard.model.DashboardLogEntryDTO,setType/1[LogEntry.LogMessageType],type,3
C:\Users\sugii syuji\gitProject\mockserver\mockserver-netty\src\main\java\org\mockserver\dashboard\model\DashboardLogEntryDTO.java,org.mockserver.dashboard.model.DashboardLogEntryDTO,getArguments/0,arguments,1
C:\Users\sugii syuji\gitProject\mockserver\mockserver-netty\src\main\java\org\mockserver\dashboard\model\DashboardLogEntryDTO.java,org.mockserver.dashboard.model.DashboardLogEntryDTO,"setStyle/1[java.util.Map<java.lang.String,java.lang.String>]",style,3
C:\Users\sugii syuji\gitProject\mockserver\mockserver-netty\src\main\java\org\mockserver\dashboard\model\DashboardLogEntryDTO.java,org.mockserver.dashboard.model.DashboardLogEntryDTO,setId/1[java.lang.String],id,3
C:\Users\sugii syuji\gitProject\mockserver\mockserver-netty\src\main\java\org\mockserver\dashboard\model\DashboardLogEntryDTO.java,org.mockserver.dashboard.model.DashboardLogEntryDTO,getHttpResponse/0,httpResponse,1
C:\Users\sugii syuji\gitProject\mockserver\mockserver-netty\src\main\java\org\mockserver\dashboard\model\DashboardLogEntryDTO.java,org.mockserver.dashboard.model.DashboardLogEntryDTO,getBecause/0,because,1
C:\Users\sugii syuji\gitProject\mockserver\mockserver-netty\src\main\java\org\mockserver\dashboard\model\DashboardLogEntryDTO.java,org.mockserver.dashboard.model.DashboardLogEntryDTO,getType/0,type,1
C:\Users\sugii syuji\gitProject\mockserver\mockserver-netty\src\main\java\org\mockserver\dashboard\model\DashboardLogEntryDTO.java,org.mockserver.dashboard.model.DashboardLogEntryDTO,setCorrelationId/1[java.lang.String],correlationId,3
C:\Users\sugii syuji\gitProject\mockserver\mockserver-netty\src\main\java\org\mockserver\dashboard\model\DashboardLogEntryDTO.java,org.mockserver.dashboard.model.DashboardLogEntryDTO,setMessageFormat/1[java.lang.String],messageFormat,3
C:\Users\sugii syuji\gitProject\mockserver\mockserver-netty\src\main\java\org\mockserver\dashboard\model\DashboardLogEntryDTO.java,org.mockserver.dashboard.model.DashboardLogEntryDTO,getId/0,id,1
C:\Users\sugii syuji\gitProject\mockserver\mockserver-netty\src\main\java\org\mockserver\dashboard\model\DashboardLogEntryDTO.java,org.mockserver.dashboard.model.DashboardLogEntryDTO,getTimestamp/0,timestamp,1
C:\Users\sugii syuji\gitProject\mockserver\mockserver-netty\src\main\java\org\mockserver\dashboard\model\DashboardLogEntryDTO.java,org.mockserver.dashboard.model.DashboardLogEntryDTO,getDescription/0,description,1
