file,class,method,variable,usage
C:\Users\sugii syuji\gitProject\shopizer\sm-shop-model\src\main\java\com\salesmanager\shop\model\customer\optin\CustomerOptinEntity.java,com.salesmanager.shop.model.customer.optin.CustomerOptinEntity,setLastName/1[java.lang.String],lastName,3
C:\Users\sugii syuji\gitProject\shopizer\sm-shop-model\src\main\java\com\salesmanager\shop\model\customer\optin\CustomerOptinEntity.java,com.salesmanager.shop.model.customer.optin.CustomerOptinEntity,getFirstName/0,firstName,1
C:\Users\sugii syuji\gitProject\shopizer\sm-shop-model\src\main\java\com\salesmanager\shop\model\customer\optin\CustomerOptinEntity.java,com.salesmanager.shop.model.customer.optin.CustomerOptinEntity,setFirstName/1[java.lang.String],firstName,3
C:\Users\sugii syuji\gitProject\shopizer\sm-shop-model\src\main\java\com\salesmanager\shop\model\customer\optin\CustomerOptinEntity.java,com.salesmanager.shop.model.customer.optin.CustomerOptinEntity,getLastName/0,lastName,1
C:\Users\sugii syuji\gitProject\shopizer\sm-shop-model\src\main\java\com\salesmanager\shop\model\customer\optin\CustomerOptinEntity.java,com.salesmanager.shop.model.customer.optin.CustomerOptinEntity,setEmail/1[java.lang.String],email,3
C:\Users\sugii syuji\gitProject\shopizer\sm-shop-model\src\main\java\com\salesmanager\shop\model\customer\optin\CustomerOptinEntity.java,com.salesmanager.shop.model.customer.optin.CustomerOptinEntity,getEmail/0,email,1
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,setRemoveImage/1[com.salesmanager.core.business.modules.cms.product.ProductImageRemove],removeImage,3
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,removeImages/1[java.lang.String],removeImage,1
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,"addProductImage/2[com.salesmanager.core.model.catalog.product.image.ProductImage,com.salesmanager.core.model.content.ImageContentFile]",configuration,4
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,"addProductImage/2[com.salesmanager.core.model.catalog.product.image.ProductImage,com.salesmanager.core.model.content.ImageContentFile]",CROP_UPLOADED_IMAGES,2
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,"addProductImage/2[com.salesmanager.core.model.catalog.product.image.ProductImage,com.salesmanager.core.model.content.ImageContentFile]",LOGGER,2
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,"addProductImage/2[com.salesmanager.core.model.catalog.product.image.ProductImage,com.salesmanager.core.model.content.ImageContentFile]",PRODUCT_IMAGE_HEIGHT_SIZE,1
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,"addProductImage/2[com.salesmanager.core.model.catalog.product.image.ProductImage,com.salesmanager.core.model.content.ImageContentFile]",uploadImage,3
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,"addProductImage/2[com.salesmanager.core.model.catalog.product.image.ProductImage,com.salesmanager.core.model.content.ImageContentFile]",getImage,1
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,"addProductImage/2[com.salesmanager.core.model.catalog.product.image.ProductImage,com.salesmanager.core.model.content.ImageContentFile]",PRODUCT_IMAGE_WIDTH_SIZE,1
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,"getProductImage/3[java.lang.String,java.lang.String,java.lang.String]",getImage,1
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,getGetImage/0,getImage,1
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,getRemoveImage/0,removeImage,1
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,removeProductImage/1[com.salesmanager.core.model.catalog.product.image.ProductImage],removeImage,1
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,getImages/1[com.salesmanager.core.model.catalog.product.Product],getImage,1
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,getProductImage/1[com.salesmanager.core.model.catalog.product.image.ProductImage],getImage,1
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,getUploadImage/0,uploadImage,1
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,setUploadImage/1[com.salesmanager.core.business.modules.cms.product.ProductImagePut],uploadImage,3
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,"getImages/2[java.lang.String,com.salesmanager.core.model.content.FileContentType]",getImage,1
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,getConfiguration/0,configuration,1
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,setGetImage/1[com.salesmanager.core.business.modules.cms.product.ProductImageGet],getImage,3
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,"getProductImage/4[java.lang.String,java.lang.String,java.lang.String,com.salesmanager.core.model.catalog.product.file.ProductImageSize]",getImage,1
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,removeProductImages/1[com.salesmanager.core.model.catalog.product.Product],removeImage,1
C:\Users\sugii syuji\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\product\ProductFileManagerImpl.java,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,setConfiguration/1[com.salesmanager.core.business.utils.CoreConfiguration],configuration,3
C:\Users\sugii syuji\gitProject\shopizer\sm-shop\src\main\java\com\salesmanager\shop\admin\controller\payments\PaymentsController.java,com.salesmanager.shop.admin.controller.payments.PaymentsController,"getPaymentMethods/3[com.salesmanager.shop.admin.controller.payments.Model,com.salesmanager.shop.admin.controller.payments.HttpServletRequest,com.salesmanager.shop.admin.controller.payments.HttpServletResponse]",paymentService,2
C:\Users\sugii syuji\gitProject\shopizer\sm-shop\src\main\java\com\salesmanager\shop\admin\controller\payments\PaymentsController.java,com.salesmanager.shop.admin.controller.payments.PaymentsController,"displayPaymentMethod/4[java.lang.String,com.salesmanager.shop.admin.controller.payments.Model,com.salesmanager.shop.admin.controller.payments.HttpServletRequest,com.salesmanager.shop.admin.controller.payments.HttpServletResponse]",paymentService,1
C:\Users\sugii syuji\gitProject\shopizer\sm-shop\src\main\java\com\salesmanager\shop\admin\controller\payments\PaymentsController.java,com.salesmanager.shop.admin.controller.payments.PaymentsController,"savePaymentMethod/6[com.salesmanager.core.model.system.IntegrationConfiguration,com.salesmanager.shop.admin.controller.payments.BindingResult,com.salesmanager.shop.admin.controller.payments.Model,com.salesmanager.shop.admin.controller.payments.HttpServletRequest,com.salesmanager.shop.admin.controller.payments.HttpServletResponse,java.util.Locale]",paymentService,1
C:\Users\sugii syuji\gitProject\shopizer\sm-shop\src\main\java\com\salesmanager\shop\admin\controller\payments\PaymentsController.java,com.salesmanager.shop.admin.controller.payments.PaymentsController,"savePaymentMethod/6[com.salesmanager.core.model.system.IntegrationConfiguration,com.salesmanager.shop.admin.controller.payments.BindingResult,com.salesmanager.shop.admin.controller.payments.Model,com.salesmanager.shop.admin.controller.payments.HttpServletRequest,com.salesmanager.shop.admin.controller.payments.HttpServletResponse,java.util.Locale]",messages,1
