file,class,method,variable,usage
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,toString/0,path,1
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,toString/0,httpMethod,1
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,toString/0,target,1
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,RouteEntry/1[spark.route.RouteEntry],path,1
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,RouteEntry/1[spark.route.RouteEntry],acceptedType,1
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,RouteEntry/1[spark.route.RouteEntry],httpMethod,1
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,RouteEntry/1[spark.route.RouteEntry],target,1
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,"matches/2[spark.route.HttpMethod,java.lang.String]",path,3
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,"matches/2[spark.route.HttpMethod,java.lang.String]",httpMethod,8
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,matchPath/1[java.lang.String],path,14
C:\Users\sugii syuji\gitProject\spark\src\test\java\spark\examples\transformer\DefaultTransformerExample.java,spark.examples.transformer.DefaultTransformerExample,main/1[java.lang.String[]],json,1
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,uri/0,uri,2
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,response/0,response,2
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,routeMatcher/0,routeMatcher,2
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,httpMethod/0,httpMethod,2
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,body/0,body,2
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,withRequestWrapper/1[spark.http.matching.RequestWrapper],requestWrapper,3
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,withResponse/1[spark.Response],response,3
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,withHttpMethod/1[spark.route.HttpMethod],httpMethod,3
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,withUri/1[java.lang.String],uri,3
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,withMatcher/1[spark.route.Routes],routeMatcher,3
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,httpRequest/0,httpRequest,2
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,acceptType/0,acceptType,2
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,withResponseWrapper/1[spark.http.matching.ResponseWrapper],responseWrapper,3
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,withAcceptType/1[java.lang.String],acceptType,3
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,requestWrapper/0,requestWrapper,2
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,withHttpRequest/1[spark.http.matching.HttpServletRequest],httpRequest,3
C:\Users\sugii syuji\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,withBody/1[spark.http.matching.Body],body,3
