file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,accept/0,false,76,0,1,1,0,4,0,7,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,4,36,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,"listen/3[int,java.lang.String,io.vertx.core.Handler<io.vertx.core.AsyncResult<io.vertx.core.net.NetServer>>]",false,143,5,4,2,2,1,2,3,1,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,connectHandler/1[io.vertx.core.Handler<io.vertx.core.net.NetSocket>],false,90,4,2,1,1,2,1,7,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,13,33,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,createMetrics/1[io.vertx.core.net.SocketAddress],false,121,3,1,0,1,2,2,9,2,1,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8,4,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,"listen/2[io.vertx.core.net.SocketAddress,io.vertx.core.Handler<io.vertx.core.AsyncResult<io.vertx.core.net.NetServer>>]",false,181,5,3,2,1,3,5,12,1,1,2,5,1,1,0,1,0,0,1,0,1,0,3,0,0,1,10,33,1,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,close/1[io.vertx.core.Handler<io.vertx.core.AsyncResult<java.lang.Void>>],false,210,5,2,0,2,1,5,6,0,2,1,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,"listen/2[int,java.lang.String]",false,138,4,4,2,2,1,2,3,1,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,close/1[io.vertx.core.Promise<java.lang.Void>],false,218,2,3,2,1,2,4,8,0,2,1,4,0,0,0,1,0,0,0,0,2,0,1,0,0,1,7,33,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,listen/0,false,195,4,3,0,3,1,3,3,1,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,close/0,false,130,4,2,0,2,1,4,6,1,2,0,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,"NetServerImpl/2[io.vertx.core.net.impl.VertxInternal,io.vertx.core.net.NetServerOptions]",true,55,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,connectHandler/0,false,85,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,"listen/2[int,io.vertx.core.Handler<io.vertx.core.AsyncResult<io.vertx.core.net.NetServer>>]",false,153,4,1,0,1,1,1,3,1,0,2,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,listen/1[io.vertx.core.net.SocketAddress],false,158,8,5,2,3,3,9,19,1,4,1,9,1,1,0,1,0,0,1,0,4,0,2,0,0,1,21,33,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,initChannel/1[io.vertx.core.net.impl.ChannelPipeline],false,107,7,5,1,4,4,5,11,0,0,1,5,0,0,0,0,0,0,3,3,0,0,1,0,0,0,10,4,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,isClosed/0,false,227,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,resumeAccepting/0,false,63,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,34,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,exceptionHandler/1[io.vertx.core.Handler<java.lang.Throwable>],false,99,4,1,0,1,2,1,7,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,13,33,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,pauseAccepting/0,false,59,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,34,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,fetchAccepting/1[long],false,67,0,1,1,0,3,0,8,0,0,1,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,6,34,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,connectStream/0,false,205,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,listen/1[io.vertx.core.Handler<io.vertx.core.AsyncResult<io.vertx.core.net.NetServer>>],false,200,5,3,0,3,1,3,3,1,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,33,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,listen/1[int],false,148,3,1,0,1,1,1,3,1,0,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\eventbus\impl\codecs\ShortMessageCodec.java,io.vertx.core.eventbus.impl.codecs.ShortMessageCodec,"encodeToWire/2[io.vertx.core.buffer.Buffer,java.lang.Short]",false,23,1,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\eventbus\impl\codecs\ShortMessageCodec.java,io.vertx.core.eventbus.impl.codecs.ShortMessageCodec,"decodeFromWire/2[int,io.vertx.core.buffer.Buffer]",false,28,1,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\eventbus\impl\codecs\ShortMessageCodec.java,io.vertx.core.eventbus.impl.codecs.ShortMessageCodec,transform/1[java.lang.Short],false,33,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\eventbus\impl\codecs\ShortMessageCodec.java,io.vertx.core.eventbus.impl.codecs.ShortMessageCodec,systemCodecID/0,false,44,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
C:\Users\sugii syuji\gitProject\vert.x\src\main\java\io\vertx\core\eventbus\impl\codecs\ShortMessageCodec.java,io.vertx.core.eventbus.impl.codecs.ShortMessageCodec,name/0,false,39,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,false
