file,class,method,variable,usage
C:\Users\sugii syuji\gitProject\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\configurable\ConfigurablePageProcessor.java,us.codecraft.webmagic.configurable.ConfigurablePageProcessor,"ConfigurablePageProcessor/2[us.codecraft.webmagic.Site,java.util.List<us.codecraft.webmagic.configurable.ExtractRule>]",site,2
C:\Users\sugii syuji\gitProject\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\configurable\ConfigurablePageProcessor.java,us.codecraft.webmagic.configurable.ConfigurablePageProcessor,"ConfigurablePageProcessor/2[us.codecraft.webmagic.Site,java.util.List<us.codecraft.webmagic.configurable.ExtractRule>]",extractRules,2
C:\Users\sugii syuji\gitProject\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\configurable\ConfigurablePageProcessor.java,us.codecraft.webmagic.configurable.ConfigurablePageProcessor,process/1[us.codecraft.webmagic.Page],result,2
C:\Users\sugii syuji\gitProject\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\configurable\ConfigurablePageProcessor.java,us.codecraft.webmagic.configurable.ConfigurablePageProcessor,process/1[us.codecraft.webmagic.Page],extractRule,7
C:\Users\sugii syuji\gitProject\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\configurable\ConfigurablePageProcessor.java,us.codecraft.webmagic.configurable.ConfigurablePageProcessor,process/1[us.codecraft.webmagic.Page],page,6
C:\Users\sugii syuji\gitProject\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\configurable\ConfigurablePageProcessor.java,us.codecraft.webmagic.configurable.ConfigurablePageProcessor,process/1[us.codecraft.webmagic.Page],results,2
C:\Users\sugii syuji\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,test/0,xpathSelector,1
C:\Users\sugii syuji\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,test/0,select,2
C:\Users\sugii syuji\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,test/0,text2,0
C:\Users\sugii syuji\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,test/0,text,1
C:\Users\sugii syuji\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,testOschina/0,html1,2
C:\Users\sugii syuji\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,performanceTest/0,xpathSelector,1
C:\Users\sugii syuji\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,performanceTest/0,xpath2Selector,2
C:\Users\sugii syuji\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,performanceTest/0,i,11
C:\Users\sugii syuji\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,performanceTest/0,time,7
C:\Users\sugii syuji\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,performanceTest/0,cssSelector,1
C:\Users\sugii syuji\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,testXpath2Selector/0,select,2
C:\Users\sugii syuji\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,testXpath2Selector/0,xpath2Selector,1
C:\Users\sugii syuji\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,testXPath2/0,xpathSelector,1
C:\Users\sugii syuji\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,testXPath2/0,text,1
C:\Users\sugii syuji\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,parserPerformanceTest/0,htmlCleaner,3
