file,class,type,line,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\preview\Chunk.java,xdman.preview.Chunk,class,3,0,3,3,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1,0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\PopupNotification.java,xdman.ui.components.PopupNotification,class,6,1,1,0,1,1,6,0,6,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,2,10,0,0,0,0,0,1,3,1,0,1,0,0,0,0,27,1,0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\http\HeaderCollection.java,xdman.network.http.HeaderCollection,class,8,3,22,19,3,26,1,0,19,0,0.16666667,0.6818182,0.6818182,12,0,12,0,0,0,12,0,0,0,1,0,0,1,0,0,0,0,2,82,6,6,1,0,0,4,9,19,2,18,2,0,0,0,41,1,0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\MessageBox.java,xdman.ui.components.MessageBox$Anonymous194,anonymous,194,0,0,0,0,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,-1,0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\MediaConversionWnd.java,xdman.ui.components.MediaConversionWnd,class,32,14,16,2,14,24,6,0,61,24,0.82638896,0.2,0.2,9,0,5,4,0,0,5,0,0,0,13,1,0,13,0,0,1,0,60,176,1,0,3,3,3,14,57,29,10,25,3,1,0,0,93,1,0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\util\NativeMessagingHostInstaller.java,xdman.util.NativeMessagingHostInstaller$BrowserType,enum,142,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\mediaconversion\MediaFormats.java,xdman.mediaconversion.MediaFormats,class,13,3,11,8,3,12,1,0,23,4,0.5,0.1,0.1,4,3,3,0,0,1,5,0,2,0,1,1,0,1,0,0,0,0,14,71,3,1,3,1,0,6,14,24,0,20,3,0,0,0,43,1,0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\laf\XDMComboBoxUI.java,xdman.ui.laf.XDMComboBoxUI$Anonymous45,anonymous,45,1,1,0,1,1,1,0,1,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,8,1,0,0,0,0,0,1,2,0,2,0,0,0,0,15,-1,0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\PropertiesPage.java,xdman.ui.components.PropertiesPage,class,17,8,10,2,8,5,6,0,19,4,0.575,0.0,0.0,4,1,2,2,0,0,2,0,0,0,5,2,0,4,0,1,1,0,85,155,1,0,1,0,0,9,63,48,8,21,1,0,0,0,54,1,0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\TitlePanel.java,xdman.ui.components.TitlePanel$Anonymous28,anonymous,28,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,7,-1,0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\downloaders\dash\DashDownloader.java,xdman.downloaders.dash.DashDownloader$Anonymous622,anonymous,622,4,4,0,4,4,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,1,0,2,0,2,0,0,2,0,0,0,19,-1,0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\MessageBox.java,xdman.ui.components.MessageBox$Anonymous252,anonymous,252,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,4,0,0,0,0,0,11,-1,0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\UpdateNotifyPanel.java,xdman.ui.components.UpdateNotifyPanel,class,22,4,5,1,4,7,5,0,14,0,0.375,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,1,0,1,0,2,1,0,15,58,0,0,5,0,0,9,8,6,0,6,1,1,0,0,32,1,0
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\VideoTableModel.java,xdman.ui.components.VideoItemWrapper,class,75,1,6,5,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0
