file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\PopupNotification.java,xdman.ui.components.PopupNotification,PopupNotification/0,True,12,1,1,0,1,1,6,7,0,0,0,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,19,0,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\http\HeaderCollection.java,xdman.network.http.HeaderCollection,HeaderCollection/0,True,11,1,12,12,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\http\HeaderCollection.java,xdman.network.http.HeaderCollection,getValue/1[java.lang.String],False,15,1,9,7,2,3,5,9,2,2,1,5,0,0,1,0,0,0,0,1,2,0,2,0,0,0,8,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\http\HeaderCollection.java,xdman.network.http.HeaderCollection,getAll/0,False,46,1,6,6,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\http\HeaderCollection.java,xdman.network.http.HeaderCollection,add/1[java.lang.String],False,74,2,2,0,2,1,2,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\http\HeaderCollection.java,xdman.network.http.HeaderCollection,"addHeader/2[java.lang.String,java.lang.String]",False,50,2,9,7,2,1,1,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\http\HeaderCollection.java,xdman.network.http.HeaderCollection,addHeader/1[xdman.network.http.HttpHeader],False,54,1,4,4,0,2,1,4,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,9,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\http\HeaderCollection.java,xdman.network.http.HeaderCollection,"setValue/2[java.lang.String,java.lang.String]",False,60,2,7,4,3,4,6,13,0,3,2,6,1,2,1,0,0,0,0,1,4,0,2,0,0,0,12,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\http\HeaderCollection.java,xdman.network.http.HeaderCollection,containsHeader/1[java.lang.String],False,25,1,5,4,1,3,4,9,2,2,1,4,0,0,1,0,0,0,0,1,2,0,2,0,0,0,8,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\http\HeaderCollection.java,xdman.network.http.HeaderCollection,clear/0,False,78,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\http\HeaderCollection.java,xdman.network.http.HeaderCollection,appendToBuffer/1[java.lang.StringBuffer],False,82,1,5,3,2,2,5,6,0,2,1,5,0,0,1,0,0,0,2,1,2,1,1,0,0,0,9,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\http\HeaderCollection.java,xdman.network.http.HeaderCollection,loadFromStream/1[java.io.InputStream],False,89,2,4,2,2,4,7,13,0,5,1,7,0,0,1,0,0,0,1,4,5,1,2,0,0,0,16,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\network\http\HeaderCollection.java,xdman.network.http.HeaderCollection,getHeaders/1[java.lang.String],False,35,1,1,0,1,3,6,10,1,3,1,6,0,0,1,0,0,0,0,1,3,0,2,0,0,0,8,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\MessageBox.java,xdman.ui.components.MessageBox$Anonymous194,focusLost/1[java.awt.event.FocusEvent],False,197,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\MessageBox.java,xdman.ui.components.MessageBox$Anonymous194,focusGained/1[java.awt.event.FocusEvent],False,202,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\MediaConversionWnd.java,xdman.ui.components.MediaConversionWnd,progress/1[int],False,64,1,1,0,1,5,6,16,0,4,1,6,0,0,0,0,0,2,1,4,6,7,2,0,0,0,11,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\MediaConversionWnd.java,xdman.ui.components.MediaConversionWnd,run/0,False,214,2,5,0,5,2,6,22,0,3,0,6,0,0,0,0,1,0,1,2,6,1,1,1,0,0,12,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\MediaConversionWnd.java,xdman.ui.components.MediaConversionWnd,init/0,False,98,10,15,1,14,4,34,65,0,1,0,34,1,1,0,0,1,0,8,45,9,2,3,0,0,0,44,2,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\MediaConversionWnd.java,xdman.ui.components.MediaConversionWnd,finished/1[int],False,191,1,2,1,1,2,5,10,0,0,1,5,0,0,0,1,0,0,2,1,0,0,1,0,0,0,4,2,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\MediaConversionWnd.java,xdman.ui.components.MediaConversionWnd,actionPerformed/1[java.awt.event.ActionEvent],False,83,1,1,0,1,5,6,14,1,1,1,6,1,1,0,1,0,1,2,0,1,0,2,0,0,0,10,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\MediaConversionWnd.java,xdman.ui.components.MediaConversionWnd,stop/0,False,201,2,3,1,2,3,3,12,0,0,0,3,0,0,0,1,1,0,0,0,1,0,2,0,0,0,6,2,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\MediaConversionWnd.java,xdman.ui.components.MediaConversionWnd,applyStyle/1[xdman.ui.components.CustomButton],False,179,3,5,1,4,1,11,11,0,0,1,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,2,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\MediaConversionWnd.java,xdman.ui.components.MediaConversionWnd,"MediaConversionWnd/4[java.io.File,java.io.File,xdman.mediaconversion.MediaFormat,long]",True,50,2,1,0,1,1,1,6,0,0,4,1,1,2,0,0,0,0,0,0,3,0,0,0,0,0,10,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\MediaConversionWnd.java,xdman.ui.components.MediaConversionWnd,convert/0,False,57,0,0,0,0,1,2,5,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\mediaconversion\MediaFormats.java,xdman.mediaconversion.MediaFormats,setSupportedFormats/1[xdman.mediaconversion.MediaFormat[]],False,103,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,25,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\mediaconversion\MediaFormats.java,xdman.mediaconversion.MediaFormats,getString/1[java.lang.String],False,88,1,2,1,1,2,1,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,8,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\mediaconversion\MediaFormats.java,xdman.mediaconversion.MediaFormats,(initializer 15),False,15,2,14,0,14,7,22,54,0,19,0,22,1,1,1,3,1,0,6,14,23,0,3,0,0,0,39,8,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\mediaconversion\MediaFormats.java,xdman.mediaconversion.MediaFormats,MediaFormats/0,True,95,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\mediaconversion\MediaFormats.java,xdman.mediaconversion.MediaFormats,getSupportedFormats/0,False,99,1,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\laf\XDMComboBoxUI.java,xdman.ui.laf.XDMComboBoxUI$Anonymous45,createScroller/0,False,52,1,1,0,1,1,1,5,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\PropertiesPage.java,xdman.ui.components.PropertiesPage,getPage/1[xdman.ui.components.XDMFrame],False,44,2,2,1,1,2,0,6,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,10,9,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\PropertiesPage.java,xdman.ui.components.PropertiesPage,"setDetails/8[java.lang.String,java.lang.String,long,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",False,27,1,2,1,1,1,3,10,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\PropertiesPage.java,xdman.ui.components.PropertiesPage,PropertiesPage/1[xdman.ui.components.XDMFrame],True,39,4,4,1,3,1,3,4,0,0,1,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,10,2,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\PropertiesPage.java,xdman.ui.components.PropertiesPage,initUI/0,False,51,4,5,1,4,1,15,128,0,11,0,15,0,0,0,0,0,0,8,61,46,8,0,0,0,0,32,2,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\TitlePanel.java,xdman.ui.components.TitlePanel$Anonymous28,mousePressed/1[java.awt.event.MouseEvent],False,30,0,0,0,0,1,3,4,0,0,1,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,7,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\downloaders\dash\DashDownloader.java,xdman.downloaders.dash.DashDownloader$Anonymous622,run/0,False,625,4,53,0,53,4,6,20,0,0,0,6,0,0,0,0,1,0,2,0,2,0,2,0,0,0,19,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\MessageBox.java,xdman.ui.components.MessageBox$Anonymous252,mousePressed/1[java.awt.event.MouseEvent],False,254,0,0,0,0,1,3,4,0,0,1,3,0,0,0,0,0,0,0,0,2,4,0,0,0,0,11,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\UpdateNotifyPanel.java,xdman.ui.components.UpdateNotifyPanel,UpdateNotifyPanel/0,True,30,3,6,1,5,1,11,29,0,2,0,11,0,0,0,0,0,0,2,4,4,0,0,1,0,0,30,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\UpdateNotifyPanel.java,xdman.ui.components.UpdateNotifyPanel,setDetails/1[int],False,64,2,3,1,2,6,4,24,0,0,1,4,0,0,0,5,0,0,7,3,1,0,1,0,0,0,5,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\DownloadTableModel.java,xdman.ui.components.DownloadTableModel,sort/0,False,64,1,2,1,1,2,1,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,2,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\DownloadTableModel.java,xdman.ui.components.DownloadTableModel,refreshIdMap/0,False,71,0,1,1,0,2,3,6,0,1,0,3,0,0,1,0,0,0,0,1,2,0,1,0,0,0,6,2,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\DownloadTableModel.java,xdman.ui.components.DownloadTableModel,getRowCount/0,False,27,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\DownloadTableModel.java,xdman.ui.components.DownloadTableModel,getIndexOfId/1[java.lang.String],False,82,0,0,0,0,3,3,6,2,1,1,3,0,0,1,0,0,0,0,2,1,0,2,0,0,0,6,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\DownloadTableModel.java,xdman.ui.components.DownloadTableModel,DownloadTableModel/0,True,16,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\DownloadTableModel.java,xdman.ui.components.DownloadTableModel,listChanged/0,False,45,4,11,1,10,1,11,7,0,0,0,11,2,1,0,0,0,0,1,0,1,0,0,0,0,0,11,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\DownloadTableModel.java,xdman.ui.components.DownloadTableModel,getIdAt/1[int],False,78,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\DownloadTableModel.java,xdman.ui.components.DownloadTableModel,listItemUpdated/1[java.lang.String],False,56,1,1,0,1,2,3,7,0,1,1,3,0,0,0,1,0,0,1,0,1,0,1,0,0,0,10,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\DownloadTableModel.java,xdman.ui.components.DownloadTableModel,getColumnClass/1[int],False,32,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\DownloadTableModel.java,xdman.ui.components.DownloadTableModel,"getValueAt/2[int,int]",False,37,2,2,0,2,2,3,5,2,1,2,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8,1,0,False
C:\Users\sugii syuji\gitProject\xdm\app\src\main\java\xdman\ui\components\DownloadTableModel.java,xdman.ui.components.DownloadTableModel,getColumnCount/0,False,22,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,False
