file,class,method,variable,usage
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections2.java,ysoserial.payloads.CommonsCollections2,getObject/1[java.lang.String],templates,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections2.java,ysoserial.payloads.CommonsCollections2,getObject/1[java.lang.String],transformer,2
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections2.java,ysoserial.payloads.CommonsCollections2,getObject/1[java.lang.String],queueArray,2
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections2.java,ysoserial.payloads.CommonsCollections2,getObject/1[java.lang.String],command,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections2.java,ysoserial.payloads.CommonsCollections2,getObject/1[java.lang.String],queue,4
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections2.java,ysoserial.payloads.CommonsCollections2,main/1[java.lang.String[]],args,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections4.java,ysoserial.payloads.CommonsCollections4,getObject/1[java.lang.String],args,3
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections4.java,ysoserial.payloads.CommonsCollections4,getObject/1[java.lang.String],chain,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections4.java,ysoserial.payloads.CommonsCollections4,getObject/1[java.lang.String],constant,2
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections4.java,ysoserial.payloads.CommonsCollections4,getObject/1[java.lang.String],paramTypes,3
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections4.java,ysoserial.payloads.CommonsCollections4,getObject/1[java.lang.String],templates,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections4.java,ysoserial.payloads.CommonsCollections4,getObject/1[java.lang.String],instantiate,3
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections4.java,ysoserial.payloads.CommonsCollections4,getObject/1[java.lang.String],command,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections4.java,ysoserial.payloads.CommonsCollections4,getObject/1[java.lang.String],queue,3
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections4.java,ysoserial.payloads.CommonsCollections4,main/1[java.lang.String[]],args,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\PayloadRunner.java,ysoserial.payloads.util.PayloadRunner,"run/2[java.lang.Class<? extends ysoserial.payloads.ObjectPayload<?>>,java.lang.String[]]",args,0
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\PayloadRunner.java,ysoserial.payloads.util.PayloadRunner,"run/2[java.lang.Class<? extends ysoserial.payloads.ObjectPayload<?>>,java.lang.String[]]",e,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\PayloadRunner.java,ysoserial.payloads.util.PayloadRunner,"run/2[java.lang.Class<? extends ysoserial.payloads.ObjectPayload<?>>,java.lang.String[]]",clazz,0
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\PayloadRunner.java,ysoserial.payloads.util.PayloadRunner,"run/2[java.lang.Class<? extends ysoserial.payloads.ObjectPayload<?>>,java.lang.String[]]",serialized,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\util\PayloadRunner.java,ysoserial.payloads.util.PayloadRunner,"run/2[java.lang.Class<? extends ysoserial.payloads.ObjectPayload<?>>,java.lang.String[]]",objAfter,0
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\ObjectPayload.java,ysoserial.payloads.ObjectPayload,getObject/1[java.lang.String],command,0
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,getObject/1[java.lang.String],handler,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,getObject/1[java.lang.String],templatesImpl,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,getObject/1[java.lang.String],transformers,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,getObject/1[java.lang.String],innerMap,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,getObject/1[java.lang.String],transformerChain,2
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,getObject/1[java.lang.String],mapProxy,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,getObject/1[java.lang.String],command,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,getObject/1[java.lang.String],lazyMap,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections3.java,ysoserial.payloads.CommonsCollections3,main/1[java.lang.String[]],args,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\exploit\RMIRegistryExploit.java,ysoserial.exploit.RMIRegistryExploit,"exploit/3[java.rmi.registry.Registry,java.lang.Class<? extends ysoserial.payloads.ObjectPayload>,java.lang.String]",registry,0
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\exploit\RMIRegistryExploit.java,ysoserial.exploit.RMIRegistryExploit,"exploit/3[java.rmi.registry.Registry,java.lang.Class<? extends ysoserial.payloads.ObjectPayload>,java.lang.String]",payloadClass,0
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\exploit\RMIRegistryExploit.java,ysoserial.exploit.RMIRegistryExploit,"exploit/3[java.rmi.registry.Registry,java.lang.Class<? extends ysoserial.payloads.ObjectPayload>,java.lang.String]",command,0
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\exploit\RMIRegistryExploit.java,ysoserial.exploit.RMIRegistryExploit,main/1[java.lang.String[]],args,4
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\exploit\RMIRegistryExploit.java,ysoserial.exploit.RMIRegistryExploit,main/1[java.lang.String[]],registry,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\exploit\RMIRegistryExploit.java,ysoserial.exploit.RMIRegistryExploit,main/1[java.lang.String[]],payloadClass,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\exploit\RMIRegistryExploit.java,ysoserial.exploit.RMIRegistryExploit,main/1[java.lang.String[]],port,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\exploit\RMIRegistryExploit.java,ysoserial.exploit.RMIRegistryExploit,main/1[java.lang.String[]],host,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\exploit\RMIRegistryExploit.java,ysoserial.exploit.RMIRegistryExploit,main/1[java.lang.String[]],className,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\exploit\RMIRegistryExploit.java,ysoserial.exploit.RMIRegistryExploit,main/1[java.lang.String[]],command,1
C:\Users\sugii syuji\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest$Anonymous66,call/0,payload,1
C:\Users\sugii syuji\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest$Anonymous66,call/0,f,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\Spring1.java,ysoserial.payloads.Spring1,getObject/1[java.lang.String],objectFactoryProxy,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\Spring1.java,ysoserial.payloads.Spring1,getObject/1[java.lang.String],templates,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\Spring1.java,ysoserial.payloads.Spring1,getObject/1[java.lang.String],mitpCtor,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\Spring1.java,ysoserial.payloads.Spring1,getObject/1[java.lang.String],mitp,2
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\Spring1.java,ysoserial.payloads.Spring1,getObject/1[java.lang.String],command,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\Spring1.java,ysoserial.payloads.Spring1,getObject/1[java.lang.String],typeTemplatesProxy,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\Spring1.java,ysoserial.payloads.Spring1,getObject/1[java.lang.String],typeProviderProxy,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\Spring1.java,ysoserial.payloads.Spring1,main/1[java.lang.String[]],args,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections1.java,ysoserial.payloads.CommonsCollections1,getObject/1[java.lang.String],execArgs,1
C:\Users\sugii syuji\gitProject\ysoserial\src\main\java\ysoserial\payloads\CommonsCollections1.java,ysoserial.payloads.CommonsCollections1,getObject/1[java.lang.String],handler,1
