file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\AsyncOps.java,org.apache.zookeeper.test.AsyncOps$Create2CB,"processResult/5[int,java.lang.String,java.lang.Object,java.lang.String,org.apache.zookeeper.test.Stat]",False,477,1,0,0,0,1,2,5,0,0,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\AsyncOps.java,org.apache.zookeeper.test.AsyncOps$Create2CB,verifyCreateFailure_NodeExists/0,False,493,3,6,1,5,1,4,8,0,0,0,4,2,3,0,0,0,0,0,0,3,0,0,0,0,0,14,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\AsyncOps.java,org.apache.zookeeper.test.AsyncOps$Create2CB,"Create2CB/2[org.apache.zookeeper.ZooKeeper,java.util.concurrent.CountDownLatch]",True,464,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\AsyncOps.java,org.apache.zookeeper.test.AsyncOps$Create2CB,toString/0,False,525,0,4,4,0,2,5,3,1,0,0,5,0,0,0,1,0,1,5,0,0,2,0,0,0,0,5,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\AsyncOps.java,org.apache.zookeeper.test.AsyncOps$Create2CB,nodeName/0,False,473,0,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\AsyncOps.java,org.apache.zookeeper.test.AsyncOps$Create2CB,verifyCreateFailure_NoChildForEphemeral/0,False,512,4,6,1,5,1,4,9,0,0,0,4,1,1,0,0,0,0,1,0,4,1,0,0,0,0,17,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\AsyncOps.java,org.apache.zookeeper.test.AsyncOps$Create2CB,Create2CB/1[org.apache.zookeeper.ZooKeeper],True,460,1,5,5,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\AsyncOps.java,org.apache.zookeeper.test.AsyncOps$Create2CB,verifyCreate/0,False,488,2,4,2,2,1,2,4,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\AsyncOps.java,org.apache.zookeeper.test.AsyncOps$Create2CB,verifyCreateFailure_NoNode/0,False,502,3,4,1,3,1,3,8,0,0,0,3,1,1,0,0,0,0,1,0,4,1,0,0,0,0,11,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\AsyncOps.java,org.apache.zookeeper.test.AsyncOps$Create2CB,setPath/1[java.lang.String],False,468,0,0,0,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\AsyncOps.java,org.apache.zookeeper.test.AsyncOps$Create2CB,create/0,False,483,3,3,1,2,1,2,4,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\common\KeyStoreLoader.java,org.apache.zookeeper.common.KeyStoreLoader,loadTrustStore/0,False,52,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,True
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\common\KeyStoreLoader.java,org.apache.zookeeper.common.KeyStoreLoader,loadKeyStore/0,False,40,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,True
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testWatchesByPath/0,False,247,3,2,0,2,1,1,3,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testVotingViewCommand/0,False,257,3,2,0,2,1,1,3,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,7,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testMonitor/0,False,158,4,3,0,3,4,10,21,1,5,0,10,1,2,1,0,0,0,28,1,4,0,2,0,0,1,13,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testSetTraceMask/0,False,218,3,2,0,2,1,2,5,0,1,0,2,1,1,0,0,0,0,4,0,1,0,0,0,0,0,9,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testStatCommandSecureOnly/0,False,284,7,4,0,4,1,12,14,0,6,0,12,0,0,0,0,0,0,2,1,6,0,0,0,0,0,48,1,0,True
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testConfiguration/0,False,108,3,2,0,2,1,1,3,0,0,0,1,1,2,0,0,0,0,10,0,0,0,0,0,0,0,6,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testLastSnapshot/0,False,153,3,2,0,2,1,1,3,0,0,0,1,1,2,0,0,0,0,3,0,0,0,0,0,0,0,7,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,"testCommand/3[java.lang.String,java.util.Map<java.lang.String,java.lang.String>,org.apache.zookeeper.server.admin.CommandsTest.Field[]]",False,58,3,3,2,1,2,12,16,0,5,3,12,0,0,1,0,0,0,16,0,5,4,1,0,0,0,64,1,0,True
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testObserverConnectionStatReset/0,False,123,2,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testConnectionStatReset/0,False,128,2,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testConsCommandSecureOnly/0,False,263,5,1,0,1,1,9,9,0,4,0,9,0,0,0,0,0,0,2,0,4,0,0,0,0,0,20,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testObservers/0,False,118,3,2,0,2,1,1,3,0,0,0,1,1,2,0,0,0,0,3,0,0,0,0,0,0,0,6,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testRuok/0,False,208,2,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testGetTraceMask/0,False,143,3,2,0,2,1,1,3,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testEnvironment/0,False,138,3,2,0,2,1,1,3,0,0,0,1,1,2,0,0,0,0,19,0,0,0,0,0,0,0,6,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testWatchSummary/0,False,252,3,2,0,2,1,1,3,0,0,0,1,1,2,0,0,0,0,4,0,0,0,0,0,0,0,7,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,"testCommand/2[java.lang.String,org.apache.zookeeper.server.admin.CommandsTest.Field[]]",False,92,2,20,19,1,1,1,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testConnections/0,False,113,3,2,0,2,1,1,3,0,0,0,1,1,2,0,0,0,0,3,0,0,0,0,0,0,0,6,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testStatReset/0,False,237,2,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testWatches/0,False,242,3,2,0,2,1,1,3,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testDump/0,False,133,3,2,0,2,1,1,3,0,0,0,1,1,2,0,0,0,0,3,0,0,0,0,0,0,0,6,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testServerStats/0,False,213,5,2,0,2,1,1,3,0,0,0,1,1,2,0,0,0,0,6,0,0,0,0,0,0,0,7,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testIsReadOnly/0,False,148,3,2,0,2,1,1,3,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\admin\CommandsTest.java,org.apache.zookeeper.server.admin.CommandsTest,testStat/0,False,225,5,2,0,2,1,1,3,0,0,0,1,1,2,0,0,0,0,8,0,0,0,0,0,0,0,6,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java,org.apache.zookeeper.util.FatJarMain,main/1[java.lang.String[]],False,67,2,2,0,2,11,17,46,2,8,1,17,1,1,1,7,1,2,4,20,8,1,2,0,0,0,51,9,0,True
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-fatjar\src\main\java\org\apache\zookeeper\util\FatJarMain.java,org.apache.zookeeper.util.FatJarMain,doHelp/0,False,114,1,1,1,0,3,3,14,0,1,0,3,0,0,1,1,0,0,4,1,1,1,2,0,0,0,10,10,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-zooinspector\src\main\java\org\apache\zookeeper\inspector\gui\ZooInspectorPanel.java,org.apache.zookeeper.inspector.gui.ZooInspectorPanel$Anonymous143,done/0,False,152,3,4,0,4,4,6,17,0,0,0,6,0,0,0,0,1,0,4,0,0,0,2,0,0,0,13,4,2,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-contrib\zookeeper-contrib-zooinspector\src\main\java\org\apache\zookeeper\inspector\gui\ZooInspectorPanel.java,org.apache.zookeeper.inspector.gui.ZooInspectorPanel$Anonymous143,doInBackground/0,False,146,1,9,0,9,1,2,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\ServerStats.java,org.apache.zookeeper.server.ServerStats$Provider,getOutstandingRequests/0,False,55,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\ServerStats.java,org.apache.zookeeper.server.ServerStats$Provider,getNumAliveConnections/0,False,58,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\ServerStats.java,org.apache.zookeeper.server.ServerStats$Provider,getState/0,False,57,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\ServerStats.java,org.apache.zookeeper.server.ServerStats$Provider,getDataDirSize/0,False,59,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\ServerStats.java,org.apache.zookeeper.server.ServerStats$Provider,getLastProcessedZxid/0,False,56,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\ServerStats.java,org.apache.zookeeper.server.ServerStats$Provider,getLogDirSize/0,False,60,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\MultiOperationTest.java,org.apache.zookeeper.test.MultiOperationTest$HasTriggeredWatcher,process/1[org.apache.zookeeper.WatchedEvent],False,925,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-jute\src\main\java\org\apache\jute\compiler\JBoolean.java,org.apache.jute.compiler.JBoolean,genJavaCompareTo/1[java.lang.String],False,37,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,6,1,0,False
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-jute\src\main\java\org\apache\jute\compiler\JBoolean.java,org.apache.jute.compiler.JBoolean,JBoolean/0,True,29,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,1,0,True
