file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line
C:\Users\syuuj\gitProject\CoreNLP\examples\sample-maven-project\src\main\java\edu\stanford\nlp\StanfordCoreNLPChineseTestApp.java,edu.stanford.nlp.StanfordCoreNLPChineseTestApp,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,11
C:\Users\syuuj\gitProject\CoreNLP\examples\sample-maven-project\src\main\java\edu\stanford\nlp\StanfordCoreNLPSpanishTestApp.java,edu.stanford.nlp.StanfordCoreNLPSpanishTestApp,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,11
C:\Users\syuuj\gitProject\CoreNLP\examples\sample-maven-project\src\main\java\edu\stanford\nlp\StanfordCoreNLPEnglishTestApp.java,edu.stanford.nlp.StanfordCoreNLPEnglishTestApp,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,11
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\pipeline\CoreQuoteSanityITest.java,edu.stanford.nlp.pipeline.CoreQuoteSanityITest,0.0,-1.0,16.0,2.0,0.11111111,-1.0,7.0,15
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\naturalli\OpenIEITest.java,edu.stanford.nlp.naturalli.OpenIEITest$15,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,278
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\semgraph\semgrex\SemgrexPatternITest.java,edu.stanford.nlp.semgraph.semgrex.SemgrexPatternITest,0.0,-1.0,16.0,0.0,0.0,-1.0,6.0,18
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\simple\SentenceAlgorithmsITest.java,edu.stanford.nlp.simple.SentenceAlgorithmsITest$15,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,116
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\parser\lexparser\ThreadedParserSlowITest.java,edu.stanford.nlp.parser.lexparser.ThreadedParserSlowITest$ParserThread,0.0,0.0,2.0,9.0,0.8181818,-1.0,1.0,59
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\simple\SentenceITest.java,edu.stanford.nlp.simple.SentenceITest$1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,26
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\util\TestPaths.java,edu.stanford.nlp.util.TestPaths,0.0,-1.0,2.0,2.0,0.5,-1.0,2.0,7
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\pipeline\PronominalMentionITest.java,edu.stanford.nlp.pipeline.PronominalMentionITest,0.0,0.0,9.0,2.0,0.18181819,-1.0,5.0,8
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\util\TitleCaseITest.java,edu.stanford.nlp.util.TitleCaseITest,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,5
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\pipeline\TokensRegexNERAnnotatorITest.java,edu.stanford.nlp.pipeline.TokensRegexNERAnnotatorITest,0.0,-1.0,51.0,22.0,0.30136988,-1.0,13.0,24
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\pipeline\MWTProtobufSerializationITest.java,edu.stanford.nlp.pipeline.MWTProtobufSerializationITest,0.0,-1.0,1.0,3.0,0.75,-1.0,1.0,13
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\pipeline\POSTaggerBenchmarkITest.java,edu.stanford.nlp.pipeline.POSTaggerBenchmarkITest,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,13
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\coref\StatisticalCorefFastBenchmarkSlowITest.java,edu.stanford.nlp.coref.StatisticalCorefFastBenchmarkSlowITest,1.0,1.0,1.0,6.0,0.85714287,1.0,1.0,8
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\process\TSVSentenceIteratorITest.java,edu.stanford.nlp.process.TSVSentenceIteratorITest,0.0,-1.0,31.0,0.0,0.0,-1.0,4.0,20
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\ie\NumberSequenceClassifierITest.java,edu.stanford.nlp.ie.NumberSequenceClassifierITest,0.0,-1.0,42.0,20.0,0.32258064,-1.0,13.0,17
C:\Users\syuuj\gitProject\CoreNLP\itest\src\edu\stanford\nlp\pipeline\ChineseAnnotationPipelineITest.java,edu.stanford.nlp.pipeline.ChineseAnnotationPipelineITest,0.0,-1.0,34.0,3.0,0.08108108,-1.0,12.0,17
