file,class,method,ATFD,ATLD,LAA,FDP,line,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\MiscTest.java,com.zaxxer.hikari.pool.MiscTest,testCreateInstance/0,1.0,0.0,0.0,1.0,87.0,0,1,2,9,0,0,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\MiscTest.java,com.zaxxer.hikari.pool.MiscTest,testInvalidIsolation/0,1.0,0.0,0.0,1.0,75.0,0,1,2,9,0,0,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\MiscTest.java,com.zaxxer.hikari.pool.MiscTest,testLeakDetection/0,17.0,0.0,0.0,5.0,99.0,0,15,1,31,0,6,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\pool\MiscTest.java,com.zaxxer.hikari.pool.MiscTest,testLogWriter/0,9.0,0.0,0.0,4.0,54.0,0,9,1,16,0,3,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\SuspendResumeLock.java,com.zaxxer.hikari.util.SuspendResumeLock,acquire/0,1.0,0.0,0.0,1.0,62.0,1,0,3,9,1,0,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\SuspendResumeLock.java,com.zaxxer.hikari.util.SuspendResumeLock,release/0,0.0,0.0,-1.0,0.0,74.0,1,0,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\SuspendResumeLock.java,com.zaxxer.hikari.util.SuspendResumeLock,resume/0,0.0,1.0,1.0,0.0,84.0,1,0,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\SuspendResumeLock.java,com.zaxxer.hikari.util.SuspendResumeLock,suspend/0,0.0,1.0,1.0,0.0,79.0,1,0,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\SuspendResumeLock.java,com.zaxxer.hikari.util.SuspendResumeLock,SuspendResumeLock/0,0.0,0.0,-1.0,0.0,52.0,1,0,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\util\SuspendResumeLock.java,com.zaxxer.hikari.util.SuspendResumeLock,SuspendResumeLock/1[boolean],0.0,2.0,1.0,0.0,57.0,0,0,2,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\main\java\com\zaxxer\hikari\pool\PoolBase.java,com.zaxxer.hikari.pool.PoolBase.SynchronousExecutor,execute/1[java.lang.Runnable],2.0,0.0,0.0,2.0,677.0,0,0,2,8,0,0,1,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\db\BasicPoolTest.java,com.zaxxer.hikari.db.BasicPoolTest,setup/0,5.0,0.0,0.0,2.0,45.0,0,8,1,12,0,4,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\db\BasicPoolTest.java,com.zaxxer.hikari.db.BasicPoolTest,testIdleTimeout/0,16.0,0.0,0.0,5.0,68.0,0,13,1,27,0,4,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\db\BasicPoolTest.java,com.zaxxer.hikari.db.BasicPoolTest,testIdleTimeout2/0,15.0,0.0,0.0,5.0,110.0,0,12,1,26,0,4,0,0,0,0
C:\Users\syuuj\gitProject\HikariCP\src\test\java\com\zaxxer\hikari\metrics\prometheus\PrometheusMetricsTrackerTest.java,com.zaxxer.hikari.metrics.prometheus.PrometheusMetricsTrackerTest,checkSummaryMetricFamily/1[java.lang.String],8.0,6.0,0.42857143,2.0,274.0,3,6,2,15,0,5,1,1,0,0
