file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\parser\AutoTypeCheckHandlerTest.java,com.alibaba.json.bvt.parser.AutoTypeCheckHandlerTest$1,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,21
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\serializer\SerializeWriterTest_1.java,com.alibaba.json.bvt.serializer.SerializeWriterTest_1,0.0,0.0,4.0,0.0,0.0,-1.0,1.0,11
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\kotlin\DataClassTest.java,com.alibaba.json.bvt.kotlin.DataClassTest,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,13
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\asm\LoopTest.java,com.alibaba.json.bvt.asm.LoopTest$Department,0.0,-1.0,0.0,6.0,1.0,-1.0,0.0,19
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvtVO\PushMsg.java,com.alibaba.json.bvtVO.PushMsg$Msg$ControlFlags$INDEX_TYPE,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,357
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\issue_1700\Issue1764_bean_biginteger_field.java,com.alibaba.json.bvt.issue_1700.Issue1764_bean_biginteger_field$Model,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,42
C:\Users\syuuj\gitProject\fastjson\src\main\java\com\alibaba\fastjson\util\ASMUtils.java,com.alibaba.fastjson.util.ASMUtils,0.0,-1.0,34.0,3.0,0.08108108,-1.0,18.0,15
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\support\hsf\HSFJSONUtilsTest_3.java,com.alibaba.json.bvt.support.hsf.HSFJSONUtilsTest_3$1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,15
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\path\JSONPath_min.java,com.alibaba.json.bvt.path.JSONPath_min,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,9
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\path\JSONPath_enum.java,com.alibaba.json.bvt.path.JSONPath_enum$Size,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,29
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\builder\BuilderTest_error.java,com.alibaba.json.bvt.builder.BuilderTest_error,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,11
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\CurrencyTest3.java,com.alibaba.json.bvt.CurrencyTest3,0.0,0.0,5.0,0.0,0.0,-1.0,2.0,12
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\parser\deser\DefaultObjectDeserializerTest2.java,com.alibaba.json.bvt.parser.deser.DefaultObjectDeserializerTest2$Map2,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,48
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\path\JSONPath_0.java,com.alibaba.json.bvt.path.JSONPath_0$Entity,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,35
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\date\DateFieldTest4.java,com.alibaba.json.bvt.date.DateFieldTest4$V0,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,89
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\parser\deser\asm\TestASM_object.java,com.alibaba.json.bvt.parser.deser.asm.TestASM_object$V0,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,18
C:\Users\syuuj\gitProject\fastjson\src\test\java\com\alibaba\json\bvt\basicType\FloatTest.java,com.alibaba.json.bvt.basicType.FloatTest$Model,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,57
