file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\io\FileWriteMode.java,com.google.common.io.FileWriteMode,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,26
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\ForwardingMap.java,com.google.common.collect.ForwardingMap,1.0,0.041666668,3.0,0.0,0.0,0.0,2.0,58
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\UnmodifiableIterator.java,com.google.common.collect.UnmodifiableIterator,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,34
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\TreeTraverser.java,com.google.common.collect.TreeTraverser$4,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,232
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\base\Suppliers.java,com.google.common.base.Suppliers$SupplierFunction,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,349
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\ImmutableList.java,com.google.common.collect.ImmutableList$Itr,1.0,1.0,1.0,1.0,0.5,0.0,1.0,376
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\io\BaseEncoding.java,com.google.common.io.BaseEncoding$DecodingException,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,136
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\reflect\Types.java,com.google.common.reflect.Types$ClassOwnership$1LocalClass,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,132
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\util\concurrent\MoreExecutors.java,com.google.common.util.concurrent.MoreExecutors$DirectExecutorService,2.0,0.0,0.0,17.0,1.0,0.0,0.0,239
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\cache\LocalCache.java,com.google.common.cache.LocalCache$2,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,893
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\LinkedHashMultimap.java,com.google.common.collect.LinkedHashMultimap$ValueEntry,0.0,0.0,1.0,11.0,0.9166667,-1.0,1.0,149
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\hash\PrimitiveSink.java,com.google.common.hash.PrimitiveSink,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,30
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\graph\EndpointPair.java,com.google.common.graph.EndpointPair$Ordered,0.0,0.8333333,0.0,0.0,-1.0,-1.0,0.0,145
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\graph\MapIteratorCache.java,com.google.common.graph.MapIteratorCache$1$1,0.0,0.0,2.0,0.0,0.0,-1.0,2.0,98
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\cache\LocalCache.java,com.google.common.cache.LocalCache$LocalLoadingCache,0.0,0.16666667,3.0,3.0,0.5,-1.0,2.0,4762
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\Maps.java,com.google.common.collect.Maps$TransformedEntriesSortedMap,0.0,0.0,0.0,4.0,1.0,-1.0,0.0,1940
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\Maps.java,com.google.common.collect.Maps$EntryTransformer,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1796
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\Sets.java,com.google.common.collect.Sets$SubSet$1,0.0,0.0,1.0,3.0,0.75,-1.0,1.0,1433
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\MultimapBuilder.java,com.google.common.collect.MultimapBuilder$MultimapBuilderWithKeys$5,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,374
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\util\concurrent\AggregateFuture.java,com.google.common.util.concurrent.AggregateFuture$2,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,173
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\TreeMultiset.java,com.google.common.collect.TreeMultiset$Aggregate$2,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,141
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\util\concurrent\ListenableFutureTask.java,com.google.common.util.concurrent.ListenableFutureTask,0.0,0.0,5.0,0.0,0.0,-1.0,3.0,44
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\io\CharSource.java,com.google.common.io.CharSource$CharSequenceCharSource$1,2.0,1.0,0.0,0.0,-1.0,0.5,0.0,493
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\hash\Funnels.java,com.google.common.hash.Funnels$LongFunnel,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,214
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\Ordering.java,com.google.common.collect.Ordering,0.0,-1.0,6.0,0.0,0.0,-1.0,6.0,147
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\util\concurrent\AbstractService.java,com.google.common.util.concurrent.AbstractService$4,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,105
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\Multimaps.java,com.google.common.collect.Multimaps$AsMap$EntrySet,0.0,0.6666667,2.0,0.0,0.0,-1.0,2.0,1723
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\Maps.java,com.google.common.collect.Maps$FilteredEntryMap$KeySet,0.0,0.6,4.0,0.0,0.0,-1.0,1.0,2781
C:\Users\syuuj\gitProject\guava\android\guava\src\com\google\common\collect\ImmutableSetMultimap.java,com.google.common.collect.ImmutableSetMultimap$Builder,0.0,1.0,2.0,3.0,0.6,-1.0,1.0,147
