file,class,method,variable,usage
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"zrangeByScoreWithScores/3[java.lang.String,java.lang.String,java.lang.String]",min,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"zrangeByScoreWithScores/3[java.lang.String,java.lang.String,java.lang.String]",max,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"zrangeByScoreWithScores/3[java.lang.String,java.lang.String,java.lang.String]",key,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"convertScoreMembersToBinary/1[java.util.Map<java.lang.String,java.lang.Double>]",entry,2
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"convertScoreMembersToBinary/1[java.util.Map<java.lang.String,java.lang.Double>]",binaryScoreMembers,2
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"convertScoreMembersToBinary/1[java.util.Map<java.lang.String,java.lang.Double>]",scoreMembers,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,touch/1[java.lang.String[]],keys,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"hrandfieldWithValues/2[java.lang.String,long]",count,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"hrandfieldWithValues/2[java.lang.String,long]",key,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,blpop/1[java.lang.String[]],args,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"encodeStringMap/1[java.util.Map<java.lang.String,java.lang.String>]",entry,2
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"encodeStringMap/1[java.util.Map<java.lang.String,java.lang.String>]",bhash,2
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"encodeStringMap/1[java.util.Map<java.lang.String,java.lang.String>]",map,2
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,punsubscribe/1[java.lang.String[]],patterns,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,pttl/1[java.lang.String],key,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,dump/1[java.lang.String],key,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"zadd/2[java.lang.String,java.util.Map<java.lang.String,java.lang.Double>]",binaryScoreMembers,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"zadd/2[java.lang.String,java.util.Map<java.lang.String,java.lang.Double>]",scoreMembers,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"zadd/2[java.lang.String,java.util.Map<java.lang.String,java.lang.Double>]",key,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"setbit/3[java.lang.String,long,java.lang.String]",offset,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"setbit/3[java.lang.String,long,java.lang.String]",value,1
C:\Users\syuuj\gitProject\jedis\src\main\java\redis\clients\jedis\Client.java,redis.clients.jedis.Client,"setbit/3[java.lang.String,long,java.lang.String]",key,1
