file,class,method,ATFD,ATLD,LAA,FDP,line
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"_main/1[java.lang.String[]]",30.0,2.0,0.0625,11.0,108
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"computeVersion/0",2.0,0.0,0.0,2.0,471
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"getFileFromArguments/1[java.util.List]",1.0,0.0,0.0,1.0,328
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"loadKey/1[java.io.File]",0.0,0.0,-1.0,0.0,495
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"loadKey/2[java.io.File, java.lang.String]",0.0,0.0,-1.0,0.0,491
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"loadKey/1[java.lang.String]",0.0,0.0,-1.0,0.0,506
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"loadKey/2[java.lang.String, java.lang.String]",0.0,0.0,-1.0,0.0,502
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"main/1[java.lang.String[]]",1.0,0.0,0.0,1.0,94
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"plainHttpConnection/3[java.lang.String, java.util.List, hudson.cli.CLIConnectionFactory]",6.0,2.0,0.25,4.0,372
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"printUsage/1[java.lang.String]",0.0,0.0,-1.0,0.0,515
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"readAuthFromFile/1[java.lang.String]",0.0,0.0,-1.0,0.0,323
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"usage/0",0.0,0.0,-1.0,0.0,511
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"verifyJenkinsConnection/1[java.net.URLConnection]",2.0,0.0,0.0,1.0,80
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"webSocketConnection/3[java.lang.String, java.util.List, hudson.cli.CLIConnectionFactory]",7.0,0.0,0.0,6.0,332
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,"CLI/0",0.0,0.0,-1.0,0.0,71
