file,class,method,ATFD,ATLD,LAA,FDP,line,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,_main/1[java.lang.String[]],30.0,2.0,0.0625,11.0,108.0,1,16,57,182,12,17,1,3,1,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,computeVersion/0,2.0,0.0,0.0,2.0,471.0,1,0,3,18,1,2,0,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,loadKey/1[java.io.File],0.0,0.0,-1.0,0.0,495.0,0,1,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,loadKey/1[java.lang.String],0.0,0.0,-1.0,0.0,506.0,0,1,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,main/1[java.lang.String[]],1.0,0.0,0.0,1.0,94.0,0,1,3,13,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,printUsage/1[java.lang.String],0.0,0.0,-1.0,0.0,515.0,1,1,2,4,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,readAuthFromFile/1[java.lang.String],0.0,0.0,-1.0,0.0,323.0,1,0,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,usage/0,0.0,0.0,-1.0,0.0,511.0,2,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,verifyJenkinsConnection/1[java.net.URLConnection],2.0,0.0,0.0,1.0,80.0,1,1,3,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\CLI.java,hudson.cli.CLI,CLI/0,0.0,0.0,-1.0,0.0,71.0,0,0,1,2,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\HexDump.java,hudson.cli.HexDump,toHex/1[byte[]],1.0,0.0,0.0,1.0,11.0,2,1,1,3,1,0,1,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\test\java\hudson\cli\PlainCLIProtocolTest.java,hudson.cli.PlainCLIProtocolTest,ignoreUnknownOperations/0,9.0,0.0,0.0,3.0,41.0,0,5,4,94,0,4,0,3,0,2
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\DiagnosedStreamCorruptionException.java,hudson.cli.DiagnosedStreamCorruptionException,getDiagnoseFailure/0,0.0,1.0,1.0,0.0,26.0,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\jenkins\cli\src\main\java\hudson\cli\DiagnosedStreamCorruptionException.java,hudson.cli.DiagnosedStreamCorruptionException,getReadAhead/0,0.0,1.0,1.0,0.0,34.0,0,0,1,3,1,0,0,0,0,0
