file,class,method,ATFD,ATLD,LAA,FDP,line,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator.MatchText,toString/0,0.0,0.0,-1.0,0.0,786.0,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\nodes\CommentTest.java,org.jsoup.nodes.CommentTest,asXmlDeclaration/0,0.0,0.0,-1.0,0.0,61.0,0,1,1,4,0,1,0,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\nodes\CommentTest.java,org.jsoup.nodes.CommentTest,getData/0,1.0,0.0,0.0,1.0,18.0,0,1,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\nodes\CommentTest.java,org.jsoup.nodes.CommentTest,isXmlDeclaration/0,0.0,0.0,-1.0,0.0,55.0,0,1,1,4,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\nodes\CommentTest.java,org.jsoup.nodes.CommentTest,nodeName/0,0.0,0.0,-1.0,0.0,13.0,0,1,1,3,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\nodes\CommentTest.java,org.jsoup.nodes.CommentTest,testClone/0,6.0,1.0,0.14285715,1.0,45.0,0,3,1,8,0,1,0,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\nodes\CommentTest.java,org.jsoup.nodes.CommentTest,testHtmlNoPretty/0,0.0,0.0,-1.0,0.0,35.0,0,6,1,8,0,3,0,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\nodes\CommentTest.java,org.jsoup.nodes.CommentTest,testToString/0,0.0,0.0,-1.0,0.0,23.0,0,5,1,8,0,1,0,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\Validate.java,org.jsoup.helper.Validate,fail/1[java.lang.String],0.0,0.0,-1.0,0.0,119.0,4,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\Validate.java,org.jsoup.helper.Validate,isFalse/1[boolean],0.0,0.0,-1.0,0.0,54.0,3,0,2,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\Validate.java,org.jsoup.helper.Validate,isTrue/1[boolean],0.0,0.0,-1.0,0.0,35.0,10,0,2,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\Validate.java,org.jsoup.helper.Validate,noNullElements/1[java.lang.Object[]],0.0,0.0,-1.0,0.0,73.0,1,1,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\Validate.java,org.jsoup.helper.Validate,notEmpty/1[java.lang.String],0.0,0.0,-1.0,0.0,92.0,33,0,3,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\Validate.java,org.jsoup.helper.Validate,notNull/1[java.lang.Object],0.0,0.0,-1.0,0.0,16.0,77,0,2,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\Validate.java,org.jsoup.helper.Validate,wtf/1[java.lang.String],0.0,0.0,-1.0,0.0,111.0,0,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\helper\Validate.java,org.jsoup.helper.Validate,Validate/0,0.0,0.0,-1.0,0.0,10.0,0,0,1,2,0,0,0,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\select\StructuralEvaluator.java,org.jsoup.select.StructuralEvaluator.ImmediatePreviousSibling,toString/0,0.0,1.0,1.0,0.0,136.0,0,0,1,3,1,0,0,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\select\StructuralEvaluator.java,org.jsoup.select.StructuralEvaluator.ImmediatePreviousSibling,ImmediatePreviousSibling/1[org.jsoup.select.Evaluator],0.0,1.0,1.0,0.0,123.0,1,0,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\integration\SafelistExtensionTest.java,org.jsoup.integration.SafelistExtensionTest,canCustomizeSafeTests/0,0.0,0.0,-1.0,0.0,16.0,0,4,1,9,0,5,0,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\Token.java,org.jsoup.parser.Token.Tag,appendAttributeName/1[char],0.0,0.0,-1.0,0.0,180.0,1,1,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\Token.java,org.jsoup.parser.Token.Tag,appendAttributeName/1[java.lang.String],0.0,2.0,1.0,0.0,176.0,2,0,2,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\Token.java,org.jsoup.parser.Token.Tag,appendAttributeValue/1[char],0.0,0.0,-1.0,0.0,193.0,1,1,1,4,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\Token.java,org.jsoup.parser.Token.Tag,appendAttributeValue/1[char[]],0.0,0.0,-1.0,0.0,198.0,0,1,1,4,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\Token.java,org.jsoup.parser.Token.Tag,appendAttributeValue/1[int[]],0.0,0.0,-1.0,0.0,203.0,1,1,2,6,0,0,1,1,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\Token.java,org.jsoup.parser.Token.Tag,appendAttributeValue/1[java.lang.String],0.0,1.0,1.0,0.0,184.0,1,1,2,9,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\Token.java,org.jsoup.parser.Token.Tag,appendTagName/1[char],0.0,0.0,-1.0,0.0,172.0,1,1,1,3,0,0,1,0,0,0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\Token.java,org.jsoup.parser.Token.Tag,appendTagName/1[java.lang.String],0.0,4.0,1.0,0.0,167.0,3,1,2,4,0,0,1,0,0,0
