file,class,method,ATFD,ATLD,LAA,FDP,line
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\running\methods\AnnotationTest.java,org.junit.tests.running.methods.AnnotationTest$SuperStaticFieldShadowing$1,"after/0",1.0,0.0,0.0,1.0,656
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\running\methods\AnnotationTest.java,org.junit.tests.running.methods.AnnotationTest$SuperStaticFieldShadowing$1,"before/0",1.0,0.0,0.0,1.0,651
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\manipulation\SortableTest.java,org.junit.tests.manipulation.SortableTest$UnsortableRunnersAreHandledWithoutCrashing$Unsortable,"a/0",0.0,0.0,-1.0,0.0,220
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\manipulation\SortableTest.java,org.junit.tests.manipulation.SortableTest$UnsortableRunnersAreHandledWithoutCrashing$Unsortable,"Unsortable/0",0.0,0.0,-1.0,0.0,
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\TestWatcherTest.java,org.junit.rules.TestWatcherTest$Callbacks$ErroneousTestWatcher,"failed/2[java.lang.Throwable, org.junit.runner.Description]",0.0,0.0,-1.0,0.0,122
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\TestWatcherTest.java,org.junit.rules.TestWatcherTest$Callbacks$ErroneousTestWatcher,"finished/1[org.junit.runner.Description]",0.0,0.0,-1.0,0.0,143
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\TestWatcherTest.java,org.junit.rules.TestWatcherTest$Callbacks$ErroneousTestWatcher,"skipped/2[org.junit.AssumptionViolatedException, org.junit.runner.Description]",0.0,0.0,-1.0,0.0,127
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\TestWatcherTest.java,org.junit.rules.TestWatcherTest$Callbacks$ErroneousTestWatcher,"skipped/2[org.junit.internal.AssumptionViolatedException, org.junit.runner.Description]",0.0,0.0,-1.0,0.0,133
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\TestWatcherTest.java,org.junit.rules.TestWatcherTest$Callbacks$ErroneousTestWatcher,"starting/1[org.junit.runner.Description]",0.0,0.0,-1.0,0.0,138
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\TestWatcherTest.java,org.junit.rules.TestWatcherTest$Callbacks$ErroneousTestWatcher,"succeeded/1[org.junit.runner.Description]",0.0,0.0,-1.0,0.0,117
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\TestWatcherTest.java,org.junit.rules.TestWatcherTest$Callbacks$ErroneousTestWatcher,"ErroneousTestWatcher/0",0.0,0.0,-1.0,0.0,
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\experimental\categories\MultiCategoryTest.java,org.junit.experimental.categories.MultiCategoryTest$InheritanceAnyAll,"InheritanceAnyAll/0",0.0,0.0,-1.0,0.0,
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\experimental\categories\CategoryTest.java,org.junit.experimental.categories.CategoryTest$OneVerySlowTest,"a/0",1.0,0.0,0.0,1.0,313
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\experimental\categories\CategoryTest.java,org.junit.experimental.categories.CategoryTest$OneVerySlowTest,"OneVerySlowTest/0",0.0,0.0,-1.0,0.0,
C:\Users\syuuj\gitProject\junit4\src\main\java\org\junit\internal\Throwables.java,org.junit.internal.Throwables$State$4,"processLine/1[java.lang.String]",0.0,0.0,-1.0,0.0,216
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\ClassRulesTest.java,org.junit.rules.ClassRulesTest$OrderTestRule$1,"evaluate/0",1.0,0.0,0.0,1.0,124
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\BlockJUnit4ClassRunnerOverrideTest.java,org.junit.rules.BlockJUnit4ClassRunnerOverrideTest$OverrideRulesTest,"testFlipBit/0",0.0,1.0,1.0,0.0,54
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\rules\BlockJUnit4ClassRunnerOverrideTest.java,org.junit.rules.BlockJUnit4ClassRunnerOverrideTest$OverrideRulesTest,"OverrideRulesTest/0",0.0,0.0,-1.0,0.0,
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\experimental\categories\CategoryTest.java,org.junit.experimental.categories.CategoryTest$ExcludedTest1,"test/0",0.0,0.0,-1.0,0.0,479
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\experimental\categories\CategoryTest.java,org.junit.experimental.categories.CategoryTest$ExcludedTest1,"ExcludedTest1/0",0.0,0.0,-1.0,0.0,
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\junit3compatibility\SuiteMethodTest.java,org.junit.tests.junit3compatibility.SuiteMethodTest$NewTestSuiteFails,"sample/0",1.0,0.0,0.0,1.0,86
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\junit3compatibility\SuiteMethodTest.java,org.junit.tests.junit3compatibility.SuiteMethodTest$NewTestSuiteFails,"suite/0",0.0,0.0,-1.0,0.0,90
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\junit3compatibility\SuiteMethodTest.java,org.junit.tests.junit3compatibility.SuiteMethodTest$NewTestSuiteFails,"NewTestSuiteFails/0",0.0,0.0,-1.0,0.0,
C:\Users\syuuj\gitProject\junit4\src\main\java\org\junit\experimental\max\MaxHistory.java,org.junit.experimental.max.MaxHistory$TestComparator,"compare/2[org.junit.runner.Description, org.junit.runner.Description]",2.0,2.0,0.5,1.0,139
C:\Users\syuuj\gitProject\junit4\src\main\java\org\junit\experimental\max\MaxHistory.java,org.junit.experimental.max.MaxHistory$TestComparator,"getFailure/1[org.junit.runner.Description]",1.0,0.0,0.0,1.0,154
C:\Users\syuuj\gitProject\junit4\src\main\java\org\junit\experimental\max\MaxHistory.java,org.junit.experimental.max.MaxHistory$TestComparator,"TestComparator/0",0.0,0.0,-1.0,0.0,
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\running\methods\AnnotationTest.java,org.junit.tests.running.methods.AnnotationTest$RunAllAfterClasses,"bad/0",0.0,0.0,-1.0,0.0,789
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\running\methods\AnnotationTest.java,org.junit.tests.running.methods.AnnotationTest$RunAllAfterClasses,"empty/0",0.0,0.0,-1.0,0.0,794
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\running\methods\AnnotationTest.java,org.junit.tests.running.methods.AnnotationTest$RunAllAfterClasses,"good/0",0.0,0.0,-1.0,0.0,785
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\running\methods\AnnotationTest.java,org.junit.tests.running.methods.AnnotationTest$RunAllAfterClasses,"one/0",1.0,0.0,0.0,1.0,798
C:\Users\syuuj\gitProject\junit4\src\test\java\org\junit\tests\running\methods\AnnotationTest.java,org.junit.tests.running.methods.AnnotationTest$RunAllAfterClasses,"two/0",1.0,0.0,0.0,1.0,803
