file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line
C:\Users\sugii syuji\gitProject\mapstruct\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader$1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,101
C:\Users\sugii syuji\gitProject\mapstruct\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader,0.0,-1.0,15.0,5.0,0.25,-1.0,6.0,21
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\PackagePrivateMapper.java,org.mapstruct.factory.PackagePrivateMapper,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,8
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\NullValueCheckStrategy.java,org.mapstruct.NullValueCheckStrategy,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,21
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\test\model\Foo.java,org.mapstruct.test.model.Foo,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,8
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\test\model\SomeClass$NestedClass$FooImpl.java,org.mapstruct.test.model.SomeClass$NestedClass$FooImpl,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,18
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\MappingInheritanceStrategy.java,org.mapstruct.MappingInheritanceStrategy,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,14
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\ReportingPolicy.java,org.mapstruct.ReportingPolicy,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,16
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\test\model\SomeClass.java,org.mapstruct.test.model.SomeClass$NestedClass,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,16
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\test\model\SomeClass.java,org.mapstruct.test.model.SomeClass$NestedClass$Foo,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,17
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\PackagePrivateMapperImpl.java,org.mapstruct.factory.PackagePrivateMapperImpl,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,8
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\NullValueMappingStrategy.java,org.mapstruct.NullValueMappingStrategy,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,13
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\InjectionStrategy.java,org.mapstruct.InjectionStrategy,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,14
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\MappingConstants.java,org.mapstruct.MappingConstants,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,13
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\NullValuePropertyMappingStrategy.java,org.mapstruct.NullValuePropertyMappingStrategy,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,27
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\test\model\SomeClass.java,org.mapstruct.test.model.SomeClass,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,13
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,0.0,-1.0,17.0,0.0,0.0,-1.0,5.0,19
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\test\model\SomeClass.java,org.mapstruct.test.model.SomeClass$Foo,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,14
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\test\model\FooImpl.java,org.mapstruct.test.model.FooImpl,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,8
C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,0.0,-1.0,12.0,6.0,0.33333334,-1.0,4.0,39
C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\test\model\SomeClass$FooImpl.java,org.mapstruct.test.model.SomeClass$FooImpl,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,18
