,file,class,method,ATFD,ATLD,LAA,FDP,line,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
0,C:\Users\sugii syuji\gitProject\mapstruct\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader.1,getPasswordAuthentication/0,0.0,0.0,-1.0,0.0,103.0,0,0,1,3,1,0,0,0,0,0
1,C:\Users\sugii syuji\gitProject\mapstruct\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader,main/1[java.lang.String[]],8.0,5.0,0.3846154,2.0,48.0,0,1,8,46,0,6,1,0,0,0
2,C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\MappingConstants.java,org.mapstruct.MappingConstants,MappingConstants/0,0.0,0.0,-1.0,0.0,15.0,0,0,1,2,0,0,0,0,0,0
3,C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,findsNestedMapperImpl/0,4.0,0.0,0.0,3.0,41.0,0,2,1,4,0,0,0,0,0,0
4,C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,findsNestedMapperImplClass/0,4.0,0.0,0.0,3.0,47.0,0,2,1,4,0,0,0,0,0,0
5,C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,shouldReturnImplementationClass/0,3.0,0.0,0.0,2.0,29.0,0,1,1,5,0,1,0,0,0,0
6,C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,shouldReturnImplementationInstance/0,2.0,0.0,0.0,2.0,22.0,0,1,1,4,0,1,0,0,0,0
7,C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,shouldReturnPackagePrivateImplementationClass/0,2.0,0.0,0.0,2.0,58.0,0,1,1,3,0,0,0,0,0,0
8,C:\Users\sugii syuji\gitProject\mapstruct\core\src\test\java\org\mapstruct\factory\MappersTest.java,org.mapstruct.factory.MappersTest,shouldReturnPackagePrivateImplementationInstance/0,2.0,0.0,0.0,2.0,53.0,0,1,1,3,0,0,0,0,0,0
9,C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,collectClassLoaders/1[java.lang.ClassLoader],3.0,0.0,0.0,2.0,156.0,2,0,2,9,1,1,1,0,0,0
10,C:\Users\sugii syuji\gitProject\mapstruct\core\src\main\java\org\mapstruct\factory\Mappers.java,org.mapstruct.factory.Mappers,Mappers/0,0.0,0.0,-1.0,0.0,43.0,0,0,1,2,0,0,0,0,0,0
