file,class,method,variable,usage
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\file\FileReader.java,org.mockserver.file.FileReader,openReaderToFileFromClassPathOrPath/1[java.lang.String],filename,1
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\file\FileReader.java,org.mockserver.file.FileReader,getURL/1[java.lang.String],file,2
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\file\FileReader.java,org.mockserver.file.FileReader,getURL/1[java.lang.String],filepath,2
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\file\FileReader.java,org.mockserver.file.FileReader,getURL/1[java.lang.String],murle,2
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\file\FileReader.java,org.mockserver.file.FileReader,openStreamToFileFromClassPathOrPath/1[java.lang.String],filename,2
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\file\FileReader.java,org.mockserver.file.FileReader,openStreamToFileFromClassPathOrPath/1[java.lang.String],inputStream,3
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\file\FileReader.java,org.mockserver.file.FileReader,readFileFromClassPathOrPath/1[java.lang.String],filePath,2
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\file\FileReader.java,org.mockserver.file.FileReader,readFileFromClassPathOrPath/1[java.lang.String],inputStream,1
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\file\FileReader.java,org.mockserver.file.FileReader,readFileFromClassPathOrPath/1[java.lang.String],ioe,1
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldReadServletRequestToBinaryBodyWithBinaryContentTypeAndCharset/0,result,1
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldReadServletRequestToBinaryBodyWithBinaryContentTypeAndCharset/0,servletRequest,3
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldHandleExceptionWhenReadInputStreamToByteArray/0,servletRequest,3
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldSerialiseBodyToServletResponseWithNoContentType/0,servletResponse,2
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldSerialiseBodyToServletResponseWithNoContentType/0,outputStream,2
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldSerialiseBodyToServletResponseWithNoContentType/0,body,1
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldReadServletRequestToBinaryBodyWithBinaryContentType/0,result,1
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldReadServletRequestToBinaryBodyWithBinaryContentType/0,servletRequest,3
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldReadServletRequestToStringBodyWithNoContentType/0,result,1
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldReadServletRequestToStringBodyWithNoContentType/0,servletRequest,2
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldReadServletRequestToStringBodyWithStringContentTypeAndCharset/0,result,1
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldReadServletRequestToStringBodyWithStringContentTypeAndCharset/0,servletRequest,3
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldReadServletRequestToJsonBodyWithJsonContentTypeAndCharset/0,result,1
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldReadServletRequestToJsonBodyWithJsonContentTypeAndCharset/0,servletRequest,3
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldSerialiseBodyToServletResponseWithJsonContentType/0,servletResponse,2
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldSerialiseBodyToServletResponseWithJsonContentType/0,outputStream,2
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldSerialiseBodyToServletResponseWithJsonContentType/0,body,1
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\codec\BodyServletDecoderEncoderTest.java,org.mockserver.codec.BodyServletDecoderEncoderTest,shouldReadServletRequestToStringBodyWithStringContentType/0,result,1
