file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line
C:\Users\syuuj\gitProject\mockserver\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader$1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,101
C:\Users\syuuj\gitProject\mockserver\.mvn\wrapper\MavenWrapperDownloader.java,MavenWrapperDownloader,0.0,-1.0,15.0,5.0,0.25,-1.0,6.0,21
C:\Users\syuuj\gitProject\mockserver\mockserver-client-java\src\main\java\org\mockserver\client\ForwardChainExpectation.java,org.mockserver.client.ForwardChainExpectation,0.0,-1.0,9.0,20.0,0.6896552,-1.0,6.0,28
C:\Users\syuuj\gitProject\mockserver\mockserver-client-java\src\test\java\org\mockserver\client\ForwardChainExpectationTest.java,org.mockserver.client.ForwardChainExpectationTest,0.0,-1.0,4.0,39.0,0.90697676,-1.0,3.0,27
C:\Users\syuuj\gitProject\mockserver\mockserver-client-java\src\test\java\org\mockserver\client\MockServerClientIntegrationTest.java,org.mockserver.client.MockServerClientIntegrationTest,0.0,-1.0,450.0,19.0,0.040511727,-1.0,12.0,58
C:\Users\syuuj\gitProject\mockserver\mockserver-client-java\src\main\java\org\mockserver\client\initialize\ExpectationInitializer.java,org.mockserver.client.initialize.ExpectationInitializer,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,10
C:\Users\syuuj\gitProject\mockserver\mockserver-client-java\src\test\java\org\mockserver\javaserialization\CompileGeneratedJavaCodeTest.java,org.mockserver.javaserialization.CompileGeneratedJavaCodeTest,0.0,-1.0,37.0,4.0,0.09756097,-1.0,7.0,29
C:\Users\syuuj\gitProject\mockserver\mockserver-client-java\src\test\java\org\mockserver\javaserialization\CompileGeneratedJavaCodeTest.java,org.mockserver.javaserialization.CompileGeneratedJavaCodeTest$1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,271
C:\Users\syuuj\gitProject\mockserver\mockserver-client-java\src\main\java\org\mockserver\client\MockServerClient.java,org.mockserver.client.MockServerClient,0.0,-1.0,145.0,36.0,0.19889502,-1.0,26.0,51
C:\Users\syuuj\gitProject\mockserver\mockserver-client-java\src\main\java\org\mockserver\client\MockServerEventBus.java,org.mockserver.client.MockServerEventBus,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,11
C:\Users\syuuj\gitProject\mockserver\mockserver-client-java\src\test\java\org\mockserver\client\MockServerClientTest.java,org.mockserver.client.MockServerClientTest,0.0,-1.0,205.0,48.0,0.18972331,-1.0,28.0,52
C:\Users\syuuj\gitProject\mockserver\mockserver-client-java\src\main\java\org\mockserver\client\MockServerEventBus.java,org.mockserver.client.MockServerEventBus$EventType,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,26
C:\Users\syuuj\gitProject\mockserver\mockserver-client-java\src\test\java\org\mockserver\client\MockServerEventBusTest.java,org.mockserver.client.MockServerEventBusTest,0.0,-1.0,11.0,10.0,0.47619048,-1.0,1.0,18
C:\Users\syuuj\gitProject\mockserver\mockserver-client-java\src\main\java\org\mockserver\client\ClientException.java,org.mockserver.client.ClientException,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,6
C:\Users\syuuj\gitProject\mockserver\mockserver-client-java\src\main\java\org\mockserver\client\MockServerEventBus.java,org.mockserver.client.MockServerEventBus$SubscriberHandler,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,30
C:\Users\syuuj\gitProject\mockserver\mockserver-client-java\src\test\java\org\mockserver\client\MockServerClientServerValidationErrorsTest.java,org.mockserver.client.MockServerClientServerValidationErrorsTest,0.0,-1.0,75.0,2.0,0.025974026,-1.0,5.0,22
C:\Users\syuuj\gitProject\mockserver\mockserver-client-java\src\main\java\org\mockserver\client\initialize\PluginExpectationInitializer.java,org.mockserver.client.initialize.PluginExpectationInitializer,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,16
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\validator\xmlschema\XmlSchemaValidator.java,org.mockserver.validator.xmlschema.XmlSchemaValidator,1.0,0.0,20.0,5.0,0.2,0.0,10.0,27
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\log\model\LogEntry.java,org.mockserver.log.model.LogEntry,0.0,-1.0,11.0,188.0,0.9447236,-1.0,7.0,29
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\serialization\serializers\body\ParameterBodyDTOSerializerTest.java,org.mockserver.serialization.serializers.body.ParameterBodyDTOSerializerTest,0.0,-1.0,44.0,0.0,0.0,-1.0,1.0,18
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\mock\action\http\HttpForwardTemplateActionHandlerTest.java,org.mockserver.mock.action.http.HttpForwardTemplateActionHandlerTest,0.0,-1.0,12.0,5.0,0.29411766,-1.0,7.0,28
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\serialization\serializers\body\BinaryBodyDTOSerializer.java,org.mockserver.serialization.serializers.body.BinaryBodyDTOSerializer,0.0,0.0,11.0,0.0,0.0,-1.0,4.0,13
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\serialization\OpenAPIExpectationSerializer.java,org.mockserver.serialization.OpenAPIExpectationSerializer,0.0,-1.0,33.0,6.0,0.15384616,-1.0,9.0,27
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\serialization\model\WebSocketClientIdDTO.java,org.mockserver.serialization.model.WebSocketClientIdDTO,1.0,0.0,0.0,2.0,1.0,0.0,0.0,8
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\matchers\HashMapMatcherWithNottedStringsTest.java,org.mockserver.matchers.HashMapMatcherWithNottedStringsTest,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,13
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\main\java\org\mockserver\serialization\serializers\body\JsonBodyDTOSerializer.java,org.mockserver.serialization.serializers.body.JsonBodyDTOSerializer,0.0,0.0,25.0,0.0,0.0,-1.0,8.0,20
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\model\XpathBodyTest.java,org.mockserver.model.XpathBodyTest,0.0,-1.0,14.0,0.0,0.0,-1.0,4.0,15
C:\Users\syuuj\gitProject\mockserver\mockserver-core\src\test\java\org\mockserver\socket\PortFactoryTest.java,org.mockserver.socket.PortFactoryTest,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,13
